193: reward=0.00 vs 91.14, recent_win=1 vs 49, winner=blue, win=3 vs 190, draw=0, time=117/16621
194: reward=0.00 vs 94.68, recent_win=1 vs 49, winner=blue, win=3 vs 191, draw=0, time=68/16689
195: reward=0.00 vs 94.84, recent_win=1 vs 49, winner=blue, win=3 vs 192, draw=0, time=65/16754
196: reward=0.00 vs 95.68, recent_win=1 vs 49, winner=blue, win=3 vs 193, draw=0, time=54/16808
197: reward=0.00 vs 93.87, recent_win=1 vs 49, winner=blue, win=3 vs 194, draw=0, time=78/16887
198: reward=0.00 vs 92.06, recent_win=1 vs 49, winner=blue, win=3 vs 195, draw=0, time=104/16991
199: reward=0.00 vs 93.95, recent_win=1 vs 49, winner=blue, win=3 vs 196, draw=0, time=77/17068
200: reward=0.00 vs 94.03, recent_win=1 vs 49, winner=blue, win=3 vs 197, draw=0, time=76/17144
201: reward=0.00 vs 94.19, recent_win=1 vs 49, winner=blue, win=3 vs 198, draw=0, time=74/17218
202: reward=0.00 vs 94.27, recent_win=1 vs 49, winner=blue, win=3 vs 199, draw=0, time=73/17291
203: reward=0.00 vs 94.52, recent_win=1 vs 49, winner=blue, win=3 vs 200, draw=0, time=70/17361
204: reward=0.00 vs 94.43, recent_win=1 vs 49, winner=blue, win=3 vs 201, draw=0, time=71/17432
205: reward=0.00 vs 94.19, recent_win=1 vs 49, winner=blue, win=3 vs 202, draw=0, time=74/17506
206: reward=0.00 vs 91.83, recent_win=1 vs 49, winner=blue, win=3 vs 203, draw=0, time=107/17613
207: reward=0.00 vs 95.68, recent_win=1 vs 49, winner=blue, win=3 vs 204, draw=0, time=54/17667
208: reward=0.00 vs 93.95, recent_win=1 vs 49, winner=blue, win=3 vs 205, draw=0, time=77/17745
209: reward=0.00 vs 95.61, recent_win=1 vs 49, winner=blue, win=3 vs 206, draw=0, time=55/17800
210: reward=0.00 vs 94.03, recent_win=1 vs 49, winner=blue, win=3 vs 207, draw=0, time=76/17876
211: reward=0.00 vs 93.63, recent_win=1 vs 49, winner=blue, win=3 vs 208, draw=0, time=82/17958
212: reward=0.00 vs 94.03, recent_win=1 vs 49, winner=blue, win=3 vs 209, draw=0, time=76/18034
213: reward=0.00 vs 91.29, recent_win=1 vs 49, winner=blue, win=3 vs 210, draw=0, time=115/18149
214: reward=0.00 vs 94.03, recent_win=0 vs 50, winner=blue, win=3 vs 211, draw=0, time=76/18225
215: reward=0.00 vs 92.44, recent_win=0 vs 50, winner=blue, win=3 vs 212, draw=0, time=98/18324
216: reward=0.00 vs 95.00, recent_win=0 vs 50, winner=blue, win=3 vs 213, draw=0, time=63/18387
217: reward=0.00 vs 93.55, recent_win=0 vs 50, winner=blue, win=3 vs 214, draw=0, time=83/18470
218: reward=0.00 vs 92.13, recent_win=0 vs 50, winner=blue, win=3 vs 215, draw=0, time=103/18572
