150: reward=-0.35 vs 1.90, win=21 vs 86, recent_win=8 vs 36, draw=43, winner=blue, time=76/16284
151: reward=0.55 vs 3.80, win=21 vs 86, recent_win=8 vs 36, draw=44, winner=draw, time=119/16403
152: reward=2.00 vs 6.60, win=21 vs 87, recent_win=8 vs 36, draw=44, winner=blue, time=170/16573
153: reward=2.85 vs 3.70, win=22 vs 87, recent_win=9 vs 35, draw=44, winner=red, time=147/16720
154: reward=2.20 vs 5.50, win=22 vs 88, recent_win=9 vs 35, draw=44, winner=blue, time=179/16898
155: reward=1.30 vs 2.80, win=22 vs 89, recent_win=8 vs 36, draw=44, winner=blue, time=86/16985
156: reward=0.50 vs 1.80, win=22 vs 90, recent_win=7 vs 37, draw=44, winner=blue, time=88/17073
157: reward=2.40 vs 5.50, win=22 vs 91, recent_win=7 vs 38, draw=44, winner=blue, time=205/17278
158: reward=2.80 vs 6.50, win=22 vs 92, recent_win=7 vs 38, draw=44, winner=blue, time=198/17476
159: reward=1.90 vs 5.60, win=22 vs 93, recent_win=7 vs 39, draw=44, winner=blue, time=181/17657
160: reward=3.05 vs 1.60, win=22 vs 94, recent_win=6 vs 40, draw=44, winner=blue, time=119/17776
161: reward=4.50 vs 19.80, win=22 vs 95, recent_win=6 vs 41, draw=44, winner=blue, time=471/18247
162: reward=0.50 vs 3.90, win=22 vs 96, recent_win=5 vs 42, draw=44, winner=blue, time=78/18326
163: reward=0.85 vs 3.80, win=22 vs 96, recent_win=5 vs 41, draw=45, winner=draw, time=104/18429
164: reward=3.60 vs 13.30, win=22 vs 97, recent_win=5 vs 42, draw=45, winner=blue, time=299/18728
165: reward=-0.05 vs 6.60, win=22 vs 98, recent_win=5 vs 42, draw=45, winner=blue, time=198/18926
166: reward=0.30 vs 4.70, win=22 vs 98, recent_win=5 vs 41, draw=46, winner=draw, time=137/19063
167: reward=1.20 vs 2.80, win=22 vs 99, recent_win=4 vs 42, draw=46, winner=blue, time=93/19156
168: reward=-0.10 vs 2.80, win=22 vs 99, recent_win=4 vs 41, draw=47, winner=draw, time=45/19201
169: reward=0.70 vs 3.80, win=22 vs 100, recent_win=4 vs 41, draw=47, winner=blue, time=113/19314
170: reward=0.55 vs 2.80, win=22 vs 101, recent_win=4 vs 41, draw=47, winner=blue, time=88/19402
171: reward=2.20 vs 3.60, win=22 vs 102, recent_win=4 vs 41, draw=47, winner=blue, time=119/19521
172: reward=-0.55 vs 4.00, win=22 vs 103, recent_win=4 vs 41, draw=47, winner=blue, time=87/19609
173: reward=0.60 vs 8.70, win=22 vs 104, recent_win=4 vs 41, draw=47, winner=blue, time=195/19804
174: reward=0.90 vs 0.80, win=22 vs 105, recent_win=4 vs 41, draw=47, winner=blue, time=82/19886
175: reward=-0.05 vs 3.90, win=22 vs 106, recent_win=4 vs 41, draw=47, winner=blue, time=85/19971
176: reward=6.30 vs 12.90, win=22 vs 107, recent_win=4 vs 41, draw=47, winner=blue, time=395/20365
177: reward=1.50 vs 2.80, win=22 vs 108, recent_win=4 vs 42, draw=47, winner=blue, time=97/20462
178: reward=0.15 vs 3.80, win=22 vs 109, recent_win=4 vs 42, draw=47, winner=blue, time=107/20570
179: reward=1.75 vs 2.70, win=23 vs 109, recent_win=5 vs 41, draw=47, winner=red, time=115/20684
180: reward=0.15 vs 2.80, win=23 vs 110, recent_win=5 vs 41, draw=47, winner=blue, time=88/20773
