195: reward=-32.30 vs 79.85, winner=blue, r_win=17:28:5, win=61:112:22, time=322/82268
196: reward=-30.04 vs 72.85, winner=blue, r_win=17:28:5, win=61:113:22, time=511/82779
197: reward=-29.64 vs 69.45, winner=blue, r_win=16:29:5, win=61:114:22, time=671/83450
198: reward=-31.26 vs 75.61, winner=blue, r_win=16:29:5, win=61:115:22, time=443/83892
199: reward=-31.84 vs 76.60, winner=blue, r_win=15:30:5, win=61:116:22, time=426/84318
200: reward=-31.68 vs 73.94, winner=blue, r_win=15:30:5, win=61:117:22, time=537/84854
201: reward=-29.03 vs 70.62, winner=blue, r_win=15:30:5, win=61:118:22, time=571/85425
202: reward=81.48 vs -31.81, winner=red, r_win=15:30:5, win=62:118:22, time=253/85678
203: reward=-31.13 vs 75.12, winner=blue, r_win=15:30:5, win=62:119:22, time=458/86136
204: reward=-31.11 vs 75.22, winner=blue, r_win=15:30:5, win=62:120:22, time=453/86589
205: reward=77.70 vs -30.12, winner=red, r_win=15:30:5, win=63:120:22, time=321/86909
206: reward=76.57 vs -29.85, winner=red, r_win=16:29:5, win=64:120:22, time=351/87260
207: reward=-30.75 vs 74.33, winner=blue, r_win=16:29:5, win=64:121:22, time=476/87735
208: reward=75.66 vs -29.18, winner=red, r_win=16:29:5, win=65:121:22, time=360/88095
209: reward=-29.58 vs 69.46, winner=blue, r_win=16:29:5, win=65:122:22, time=667/88762
210: reward=-30.11 vs 72.88, winner=blue, r_win=16:30:4, win=65:123:22, time=513/89274
211: reward=-31.69 vs 78.47, winner=blue, r_win=16:30:4, win=65:124:22, time=349/89623
212: reward=-30.75 vs 72.38, winner=blue, r_win=16:30:4, win=65:125:22, time=569/90191
213: reward=78.49 vs -30.44, winner=red, r_win=16:30:4, win=66:125:22, time=305/90496
214: reward=-30.57 vs 73.88, winner=blue, r_win=15:31:4, win=66:126:22, time=488/90984
215: reward=-31.87 vs 74.57, winner=blue, r_win=14:32:4, win=66:127:22, time=516/91499
216: reward=-33.00 vs 79.50, winner=blue, r_win=13:33:4, win=66:128:22, time=359/91858
217: reward=-30.70 vs 74.35, winner=blue, r_win=13:33:4, win=66:129:22, time=473/92330
218: reward=-33.81 vs 82.73, winner=blue, r_win=13:33:4, win=66:130:22, time=277/92607
219: reward=-30.01 vs 73.08, winner=blue, r_win=13:33:4, win=66:131:22, time=499/93106
220: reward=-30.32 vs 73.69, winner=blue, r_win=12:34:4, win=66:132:22, time=485/93590
221: reward=79.71 vs -31.10, winner=red, r_win=13:33:4, win=67:132:22, time=287/93877
222: reward=77.70 vs -30.12, winner=red, r_win=13:33:4, win=68:132:22, time=321/94197
223: reward=-29.74 vs 72.26, winner=blue, r_win=13:33:4, win=68:133:22, time=525/94722
224: reward=-32.15 vs 79.33, winner=blue, r_win=13:33:4, win=68:134:22, time=335/95057
225: reward=61.99 vs -23.41, winner=red, r_win=13:33:4, win=69:134:22, time=752/95808
226: reward=-29.97 vs 72.07, winner=blue, r_win=13:33:4, win=69:135:22, time=545/96353
227: reward=-28.41 vs 67.42, winner=blue, r_win=13:33:4, win=69:136:22, time=722/97074
228: reward=-17.54 vs -14.74, winner=draw, r_win=12:33:5, win=69:136:23, time=293/97367
229: reward=76.14 vs -29.56, winner=red, r_win=13:32:5, win=70:136:23, time=356/97723
230: reward=75.27 vs -29.15, winner=red, r_win=14:31:5, win=71:136:23, time=373/98095
231: reward=73.93 vs -28.31, winner=red, r_win=15:31:4, win=72:136:23, time=392/98487
232: reward=80.33 vs -31.47, winner=red, r_win=15:31:4, win=73:136:23, time=279/98765
233: reward=-30.89 vs 72.27, winner=blue, r_win=14:32:4, win=73:137:23, time=582/99347
234: reward=-17.23 vs -14.63, winner=draw, r_win=13:32:5, win=73:137:24, time=314/99661
235: reward=-30.25 vs 71.42, winner=blue, r_win=13:33:4, win=73:138:24, time=593/100253
236: reward=-30.52 vs 70.75, winner=blue, r_win=13:33:4, win=73:139:24, time=646/100899
237: reward=-31.30 vs 75.55, winner=blue, r_win=13:34:3, win=73:140:24, time=447/101345
238: reward=-32.90 vs 80.31, winner=blue, r_win=13:34:3, win=73:141:24, time=327/101672
239: reward=-29.32 vs 71.51, winner=blue, r_win=12:35:3, win=73:142:24, time=541/102213
240: reward=-17.31 vs -13.71, winner=draw, r_win=12:34:4, win=73:142:25, time=358/102570
241: reward=77.46 vs -29.96, winner=red, r_win=13:33:4, win=74:142:25, time=324/102894
242: reward=-32.60 vs 79.10, winner=blue, r_win=13:33:4, win=74:143:25, time=359/103252
243: reward=-32.66 vs 80.30, winner=blue, r_win=13:34:3, win=74:144:25, time=319/103571
244: reward=-31.23 vs 75.22, winner=blue, r_win=13:34:3, win=74:145:25, time=458/104029
245: reward=-33.69 vs 82.42, winner=blue, r_win=13:34:3, win=74:146:25, time=283/104311
246: reward=-32.54 vs 77.45, winner=blue, r_win=13:34:3, win=74:147:25, time=420/104731
247: reward=70.56 vs -27.02, winner=red, r_win=14:33:3, win=75:147:25, time=478/105208
248: reward=-17.18 vs -13.98, winner=draw, r_win=14:32:4, win=75:147:26, time=350/105558
