170: reward=0.00 vs 20.32, winner=blue, r_win=0:50:0, win=0:170:0, time=75/15111
171: reward=0.00 vs 20.39, winner=blue, r_win=0:50:0, win=0:171:0, time=71/15182
172: reward=0.00 vs 20.29, winner=blue, r_win=0:50:0, win=0:172:0, time=77/15259
173: reward=0.00 vs 19.83, winner=blue, r_win=0:50:0, win=0:173:0, time=109/15369
174: reward=0.00 vs 19.81, winner=blue, r_win=0:50:0, win=0:174:0, time=76/15445
175: reward=0.00 vs 19.68, winner=blue, r_win=0:50:0, win=0:175:0, time=120/15565
176: reward=0.00 vs 20.37, winner=blue, r_win=0:50:0, win=0:176:0, time=72/15637
177: reward=0.00 vs 19.74, winner=blue, r_win=0:50:0, win=0:177:0, time=81/15718
178: reward=0.00 vs 20.26, winner=blue, r_win=0:50:0, win=0:178:0, time=80/15797
179: reward=0.00 vs 19.82, winner=blue, r_win=0:50:0, win=0:179:0, time=110/15908
180: reward=0.00 vs 20.32, winner=blue, r_win=0:50:0, win=0:180:0, time=75/15983
181: reward=0.00 vs 20.00, winner=blue, r_win=0:50:0, win=0:181:0, time=97/16080
182: reward=0.00 vs 19.73, winner=blue, r_win=0:50:0, win=0:182:0, time=117/16197
183: reward=0.00 vs 20.37, winner=blue, r_win=0:50:0, win=0:183:0, time=72/16269
184: reward=0.00 vs 20.34, winner=blue, r_win=0:50:0, win=0:184:0, time=74/16343
185: reward=0.00 vs 20.40, winner=blue, r_win=0:50:0, win=0:185:0, time=70/16413
186: reward=0.00 vs 20.31, winner=blue, r_win=0:50:0, win=0:186:0, time=76/16489
187: reward=0.00 vs 20.31, winner=blue, r_win=0:50:0, win=0:187:0, time=76/16565
188: reward=0.00 vs 19.85, winner=blue, r_win=0:50:0, win=0:188:0, time=108/16674
189: reward=0.00 vs 19.74, winner=blue, r_win=0:50:0, win=0:189:0, time=116/16790
190: reward=0.00 vs 20.31, winner=blue, r_win=0:50:0, win=0:190:0, time=76/16866
191: reward=0.00 vs 20.35, winner=blue, r_win=0:50:0, win=0:191:0, time=73/16939
192: reward=0.00 vs 20.29, winner=blue, r_win=0:50:0, win=0:192:0, time=77/17016
193: reward=0.00 vs 20.37, winner=blue, r_win=0:50:0, win=0:193:0, time=72/17088
194: reward=0.00 vs 20.26, winner=blue, r_win=0:50:0, win=0:194:0, time=80/17168
195: reward=0.00 vs 20.31, winner=blue, r_win=0:50:0, win=0:195:0, time=76/17244
196: reward=0.00 vs 19.62, winner=blue, r_win=0:50:0, win=0:196:0, time=125/17369
197: reward=0.00 vs 20.42, winner=blue, r_win=0:50:0, win=0:197:0, time=69/17437
198: reward=0.00 vs 20.29, winner=blue, r_win=0:50:0, win=0:198:0, time=77/17515
199: reward=0.00 vs 20.39, winner=blue, r_win=0:50:0, win=0:199:0, time=71/17586
200: reward=0.00 vs 20.11, winner=blue, r_win=0:50:0, win=0:200:0, time=89/17675
201: reward=0.00 vs 19.79, winner=blue, r_win=0:50:0, win=0:201:0, time=113/17788
202: reward=0.00 vs 20.31, winner=blue, r_win=0:50:0, win=0:202:0, time=76/17864
203: reward=0.00 vs 20.32, winner=blue, r_win=0:50:0, win=0:203:0, time=75/17939
204: reward=0.00 vs 19.55, winner=blue, r_win=0:50:0, win=0:204:0, time=94/18033
205: reward=0.00 vs 20.40, winner=blue, r_win=0:50:0, win=0:205:0, time=70/18103
206: reward=0.00 vs 19.59, winner=blue, r_win=0:50:0, win=0:206:0, time=127/18230
207: reward=0.00 vs 20.31, winner=blue, r_win=0:50:0, win=0:207:0, time=76/18306
208: reward=0.00 vs 20.35, winner=blue, r_win=0:50:0, win=0:208:0, time=73/18379
209: reward=0.00 vs 19.62, winner=blue, r_win=0:50:0, win=0:209:0, time=125/18504
210: reward=0.00 vs 20.31, winner=blue, r_win=0:50:0, win=0:210:0, time=76/18580
211: reward=0.00 vs 20.37, winner=blue, r_win=0:50:0, win=0:211:0, time=72/18652
212: reward=0.00 vs 20.31, winner=blue, r_win=0:50:0, win=0:212:0, time=76/18728
213: reward=0.00 vs 20.42, winner=blue, r_win=0:50:0, win=0:213:0, time=69/18797
214: reward=0.00 vs 20.23, winner=blue, r_win=0:50:0, win=0:214:0, time=82/18879
215: reward=0.00 vs 19.70, winner=blue, r_win=0:50:0, win=0:215:0, time=119/18998
216: reward=0.00 vs 20.16, winner=blue, r_win=0:50:0, win=0:216:0, time=86/19084
217: reward=0.00 vs 20.32, winner=blue, r_win=0:50:0, win=0:217:0, time=75/19159
218: reward=0.00 vs 19.99, winner=blue, r_win=0:50:0, win=0:218:0, time=98/19257
219: reward=0.00 vs 20.05, winner=blue, r_win=0:50:0, win=0:219:0, time=94/19351
220: reward=0.00 vs 19.40, winner=blue, r_win=0:50:0, win=0:220:0, time=105/19456
221: reward=0.00 vs 20.35, winner=blue, r_win=0:50:0, win=0:221:0, time=73/19529
222: reward=0.00 vs 20.26, winner=blue, r_win=0:50:0, win=0:222:0, time=80/19609
223: reward=0.00 vs 19.94, winner=blue, r_win=0:50:0, win=0:223:0, time=102/19710
224: reward=0.00 vs 19.97, winner=blue, r_win=0:50:0, win=0:224:0, time=65/19776
225: reward=0.00 vs 20.24, winner=blue, r_win=0:50:0, win=0:225:0, time=81/19856
226: reward=0.00 vs 20.32, winner=blue, r_win=0:50:0, win=0:226:0, time=75/19932
227: reward=0.00 vs 20.26, winner=blue, r_win=0:50:0, win=0:227:0, time=80/20011
228: reward=0.00 vs 20.40, winner=blue, r_win=0:50:0, win=0:228:0, time=70/20081
229: reward=0.00 vs 19.55, winner=blue, r_win=0:50:0, win=0:229:0, time=94/20175
230: reward=0.00 vs 20.34, winner=blue, r_win=0:50:0, win=0:230:0, time=74/20249
231: reward=0.00 vs 20.31, winner=blue, r_win=0:50:0, win=0:231:0, time=76/20325
232: reward=0.00 vs 19.76, winner=blue, r_win=0:50:0, win=0:232:0, time=115/20440
233: reward=0.00 vs 20.32, winner=blue, r_win=0:50:0, win=0:233:0, time=75/20515
234: reward=0.00 vs 20.32, winner=blue, r_win=0:50:0, win=0:234:0, time=75/20590
235: reward=0.00 vs 19.81, winner=blue, r_win=0:50:0, win=0:235:0, time=76/20667
236: reward=0.00 vs 20.42, winner=blue, r_win=0:50:0, win=0:236:0, time=69/20735
