214: reward=1.68 vs 93.91, winner=blue, r_win=7:36:7, win=20:139:55, time=109/25793
215: reward=0.18 vs 93.68, winner=blue, r_win=7:36:7, win=20:140:55, time=115/25907
216: reward=0.21 vs 94.29, winner=blue, r_win=6:37:7, win=20:141:55, time=106/26013
217: reward=0.21 vs 2.08, winner=draw, r_win=6:37:7, win=20:141:56, time=92/26105
218: reward=0.21 vs 91.12, winner=blue, r_win=6:37:7, win=20:142:56, time=150/26255
219: reward=1.23 vs 92.55, winner=blue, r_win=6:37:7, win=20:143:56, time=137/26392
220: reward=1.18 vs 1.50, winner=draw, r_win=6:36:8, win=20:143:57, time=83/26475
221: reward=92.75 vs 1.93, winner=red, r_win=7:35:8, win=21:143:57, time=118/26593
222: reward=1.23 vs 92.04, winner=blue, r_win=7:35:8, win=21:144:57, time=142/26735
223: reward=0.18 vs 93.86, winner=blue, r_win=7:36:7, win=21:145:57, time=109/26844
224: reward=1.65 vs 91.10, winner=blue, r_win=7:36:7, win=21:146:57, time=148/26992
225: reward=1.21 vs 93.27, winner=blue, r_win=7:36:7, win=21:147:57, time=121/27114
226: reward=1.10 vs 1.00, winner=draw, r_win=7:35:8, win=21:147:58, time=84/27198
227: reward=1.18 vs 2.18, winner=draw, r_win=7:34:9, win=21:147:59, time=140/27338
228: reward=1.23 vs 91.95, winner=blue, r_win=7:34:9, win=21:148:59, time=141/27479
229: reward=91.81 vs 2.18, winner=red, r_win=8:33:9, win=22:148:59, time=132/27611
230: reward=0.15 vs 1.50, winner=draw, r_win=8:33:9, win=22:148:60, time=88/27700
231: reward=1.21 vs 2.18, winner=draw, r_win=8:32:10, win=22:148:61, time=133/27833
232: reward=92.04 vs 2.47, winner=red, r_win=9:31:10, win=23:148:61, time=138/27971
233: reward=1.18 vs 94.24, winner=blue, r_win=9:31:10, win=23:149:61, time=104/28075
234: reward=1.15 vs 1.50, winner=draw, r_win=9:30:11, win=23:149:62, time=114/28189
235: reward=1.71 vs 93.16, winner=blue, r_win=9:30:11, win=23:150:62, time=124/28312
236: reward=0.23 vs 2.28, winner=draw, r_win=8:30:12, win=23:150:63, time=142/28455
237: reward=1.23 vs 2.38, winner=draw, r_win=8:30:12, win=23:150:64, time=141/28596
238: reward=2.06 vs 2.47, winner=draw, r_win=8:29:13, win=23:150:65, time=140/28736
239: reward=93.55 vs 1.83, winner=red, r_win=9:28:13, win=24:150:65, time=99/28835
240: reward=1.23 vs 92.41, winner=blue, r_win=9:28:13, win=24:151:65, time=137/28972
241: reward=0.18 vs 95.02, winner=blue, r_win=9:28:13, win=24:152:65, time=93/29065
242: reward=1.15 vs 1.50, winner=draw, r_win=9:27:14, win=24:152:66, time=119/29184
243: reward=1.71 vs 2.23, winner=draw, r_win=9:27:14, win=24:152:67, time=115/29299
244: reward=1.18 vs 92.38, winner=blue, r_win=9:27:14, win=24:153:67, time=128/29427
245: reward=0.18 vs 95.02, winner=blue, r_win=9:27:14, win=24:154:67, time=93/29520
246: reward=0.18 vs 94.83, winner=blue, r_win=9:27:14, win=24:155:67, time=98/29618
247: reward=92.66 vs 2.23, winner=red, r_win=9:27:14, win=25:155:67, time=125/29743
248: reward=1.23 vs 92.48, winner=blue, r_win=9:27:14, win=25:156:67, time=136/29878
249: reward=1.73 vs 90.62, winner=blue, r_win=8:28:14, win=25:157:67, time=164/30043
250: reward=1.21 vs 93.07, winner=blue, r_win=8:28:14, win=25:158:67, time=121/30164
251: reward=1.73 vs 90.62, winner=blue, r_win=7:29:14, win=25:159:67, time=164/30328
252: reward=94.97 vs 1.00, winner=red, r_win=8:28:14, win=26:159:67, time=78/30407
253: reward=1.18 vs 93.35, winner=blue, r_win=8:29:13, win=26:160:67, time=120/30527
254: reward=93.63 vs 1.50, winner=red, r_win=8:29:13, win=27:160:67, time=98/30625
255: reward=0.18 vs 93.02, winner=blue, r_win=8:29:13, win=27:161:67, time=121/30747
256: reward=1.71 vs 92.49, winner=blue, r_win=8:29:13, win=27:162:67, time=133/30880
257: reward=94.54 vs 1.00, winner=red, r_win=9:28:13, win=28:162:67, time=72/30952
258: reward=1.18 vs 1.93, winner=draw, r_win=9:28:13, win=28:162:68, time=89/31042
259: reward=1.21 vs 91.39, winner=blue, r_win=9:28:13, win=28:163:68, time=147/31188
260: reward=0.18 vs 1.83, winner=draw, r_win=9:27:14, win=28:163:69, time=113/31301
261: reward=1.21 vs 92.57, winner=blue, r_win=8:28:14, win=28:164:69, time=132/31433
262: reward=0.15 vs 92.11, winner=blue, r_win=8:28:14, win=28:165:69, time=131/31565
263: reward=1.21 vs 92.31, winner=blue, r_win=8:28:14, win=28:166:69, time=136/31700
