162: reward=1.00 vs 91.07, reward_evade=1.00 vs 1.00, win=0 vs 161, recent_win=0 vs 49, draw=1, winner=blue, time=118/21324
163: reward=2.28 vs 86.99, reward_evade=2.28 vs 1.00, win=0 vs 162, recent_win=0 vs 49, draw=1, winner=blue, time=181/21505
164: reward=1.50 vs 90.77, reward_evade=1.50 vs 1.00, win=0 vs 163, recent_win=0 vs 49, draw=1, winner=blue, time=122/21628
165: reward=1.00 vs 91.75, reward_evade=1.00 vs 1.00, win=0 vs 164, recent_win=0 vs 49, draw=1, winner=blue, time=108/21736
166: reward=1.00 vs 94.31, reward_evade=1.00 vs 1.00, win=0 vs 165, recent_win=0 vs 49, draw=1, winner=blue, time=86/21822
167: reward=1.00 vs 91.29, reward_evade=1.00 vs 1.00, win=0 vs 166, recent_win=0 vs 49, draw=1, winner=blue, time=115/21937
168: reward=1.83 vs 90.69, reward_evade=1.83 vs 1.00, win=0 vs 167, recent_win=0 vs 49, draw=1, winner=blue, time=124/22061
169: reward=1.50 vs 90.03, reward_evade=1.50 vs 1.00, win=0 vs 168, recent_win=0 vs 49, draw=1, winner=blue, time=133/22194
170: reward=1.50 vs 90.99, reward_evade=1.50 vs 1.00, win=0 vs 169, recent_win=0 vs 49, draw=1, winner=blue, time=119/22313
171: reward=1.50 vs 92.67, reward_evade=1.50 vs 1.00, win=0 vs 170, recent_win=0 vs 49, draw=1, winner=blue, time=109/22423
172: reward=1.50 vs 93.99, reward_evade=1.50 vs 1.00, win=0 vs 171, recent_win=0 vs 49, draw=1, winner=blue, time=91/22513
173: reward=1.00 vs 89.81, reward_evade=1.00 vs 1.00, win=0 vs 172, recent_win=0 vs 49, draw=1, winner=blue, time=137/22650
174: reward=1.50 vs 89.66, reward_evade=1.50 vs 1.50, win=0 vs 173, recent_win=0 vs 49, draw=1, winner=blue, time=162/22812
175: reward=1.00 vs 92.13, reward_evade=1.00 vs 1.50, win=0 vs 174, recent_win=0 vs 49, draw=1, winner=blue, time=103/22915
176: reward=1.00 vs 88.66, reward_evade=1.00 vs 1.50, win=0 vs 175, recent_win=0 vs 49, draw=1, winner=blue, time=154/23069
177: reward=1.83 vs 90.52, reward_evade=1.83 vs 1.00, win=0 vs 176, recent_win=0 vs 49, draw=1, winner=blue, time=141/23210
178: reward=1.00 vs 89.95, reward_evade=1.00 vs 1.00, win=0 vs 177, recent_win=0 vs 49, draw=1, winner=blue, time=135/23345
179: reward=2.28 vs 88.02, reward_evade=2.28 vs 1.00, win=0 vs 178, recent_win=0 vs 49, draw=1, winner=blue, time=164/23509
180: reward=1.83 vs 91.62, reward_evade=1.83 vs 1.00, win=0 vs 179, recent_win=0 vs 49, draw=1, winner=blue, time=125/23634
181: reward=1.83 vs 88.73, reward_evade=1.83 vs 1.00, win=0 vs 180, recent_win=0 vs 49, draw=1, winner=blue, time=153/23787
182: reward=1.83 vs 90.17, reward_evade=1.83 vs 1.00, win=0 vs 181, recent_win=0 vs 49, draw=1, winner=blue, time=131/23919
183: reward=1.50 vs 88.66, reward_evade=1.50 vs 1.00, win=0 vs 182, recent_win=0 vs 49, draw=1, winner=blue, time=154/24073
184: reward=1.00 vs 91.67, reward_evade=1.00 vs 1.00, win=0 vs 183, recent_win=0 vs 49, draw=1, winner=blue, time=109/24182
185: reward=1.00 vs 90.66, reward_evade=1.00 vs 1.00, win=0 vs 184, recent_win=0 vs 49, draw=1, winner=blue, time=139/24321
186: reward=2.08 vs 89.37, reward_evade=2.08 vs 1.00, win=0 vs 185, recent_win=0 vs 49, draw=1, winner=blue, time=143/24465
187: reward=1.00 vs 91.69, reward_evade=1.00 vs 1.00, win=0 vs 186, recent_win=0 vs 49, draw=1, winner=blue, time=124/24588
188: reward=2.59 vs 82.01, reward_evade=2.59 vs 1.00, win=0 vs 187, recent_win=0 vs 49, draw=1, winner=blue, time=268/24856
189: reward=1.50 vs 90.77, reward_evade=1.50 vs 1.00, win=0 vs 188, recent_win=0 vs 49, draw=1, winner=blue, time=122/24978
190: reward=1.50 vs 92.52, reward_evade=1.50 vs 1.00, win=0 vs 189, recent_win=0 vs 49, draw=1, winner=blue, time=97/25076
191: reward=2.45 vs 87.26, reward_evade=2.45 vs 1.00, win=0 vs 190, recent_win=0 vs 49, draw=1, winner=blue, time=176/25252
192: reward=1.00 vs 89.73, reward_evade=1.00 vs 1.00, win=0 vs 191, recent_win=0 vs 49, draw=1, winner=blue, time=138/25390
193: reward=1.50 vs 89.81, reward_evade=1.50 vs 1.00, win=0 vs 192, recent_win=0 vs 49, draw=1, winner=blue, time=137/25527
194: reward=1.50 vs 91.98, reward_evade=1.50 vs 1.00, win=0 vs 193, recent_win=0 vs 49, draw=1, winner=blue, time=105/25632
