165: reward=0.18 vs 1.83, winner=draw, r_win=28:1:21, win=83:4:78, time=91/13573
166: reward=93.75 vs 1.50, winner=red, r_win=28:1:21, win=84:4:78, time=96/13669
167: reward=93.78 vs 1.83, winner=red, r_win=28:1:21, win=85:4:78, time=96/13765
168: reward=0.18 vs 1.83, winner=draw, r_win=28:1:21, win=85:4:79, time=97/13862
169: reward=93.78 vs 1.83, winner=red, r_win=29:1:20, win=86:4:79, time=96/13958
170: reward=0.10 vs 1.00, winner=draw, r_win=29:1:20, win=86:4:80, time=56/14014
171: reward=95.75 vs 1.00, winner=red, r_win=29:1:20, win=87:4:80, time=69/14083
172: reward=95.58 vs 1.00, winner=red, r_win=29:1:20, win=88:4:80, time=71/14154
173: reward=1.71 vs 94.29, winner=blue, r_win=29:2:19, win=88:5:80, time=107/14261
174: reward=92.93 vs 1.50, winner=red, r_win=29:2:19, win=89:5:80, time=108/14369
175: reward=95.83 vs 1.00, winner=red, r_win=29:2:19, win=90:5:80, time=68/14437
176: reward=93.05 vs 1.00, winner=red, r_win=30:2:18, win=91:5:80, time=106/14543
177: reward=95.91 vs 1.00, winner=red, r_win=30:2:18, win=92:5:80, time=66/14609
178: reward=96.63 vs 1.00, winner=red, r_win=31:2:17, win=93:5:80, time=56/14665
179: reward=0.15 vs 1.50, winner=draw, r_win=30:2:18, win=93:5:81, time=94/14759
180: reward=96.33 vs 1.00, winner=red, r_win=30:2:18, win=94:5:81, time=60/14819
181: reward=0.10 vs 1.00, winner=draw, r_win=29:2:19, win=94:5:82, time=50/14870
182: reward=94.18 vs 1.50, winner=red, r_win=29:2:19, win=95:5:82, time=91/14960
183: reward=0.15 vs 1.50, winner=draw, r_win=29:2:19, win=95:5:83, time=68/15028
184: reward=96.40 vs 1.00, winner=red, r_win=29:2:19, win=96:5:83, time=59/15087
185: reward=0.15 vs 1.50, winner=draw, r_win=28:2:20, win=96:5:84, time=105/15192
186: reward=92.86 vs 1.50, winner=red, r_win=28:2:20, win=97:5:84, time=109/15301
187: reward=0.10 vs 1.00, winner=draw, r_win=28:2:20, win=97:5:85, time=51/15352
188: reward=95.83 vs 1.00, winner=red, r_win=29:2:19, win=98:5:85, time=68/15420
189: reward=93.83 vs 1.50, winner=red, r_win=29:2:19, win=99:5:85, time=95/15515
190: reward=96.28 vs 1.00, winner=red, r_win=29:2:19, win=100:5:85, time=68/15582
191: reward=96.86 vs 1.00, winner=red, r_win=30:2:18, win=101:5:85, time=53/15635
192: reward=96.49 vs 1.00, winner=red, r_win=30:2:18, win=102:5:85, time=65/15701
193: reward=95.75 vs 1.00, winner=red, r_win=31:2:17, win=103:5:85, time=69/15769
194: reward=92.17 vs 1.83, winner=red, r_win=32:2:16, win=104:5:85, time=119/15889
195: reward=0.10 vs 1.00, winner=draw, r_win=32:2:16, win=104:5:86, time=55/15944
196: reward=93.13 vs 1.83, winner=red, r_win=32:2:16, win=105:5:86, time=113/16056
197: reward=0.10 vs 1.00, winner=draw, r_win=32:2:16, win=105:5:87, time=103/16159
198: reward=94.36 vs 1.93, winner=red, r_win=33:2:15, win=106:5:87, time=95/16254
199: reward=0.15 vs 1.50, winner=draw, r_win=32:2:16, win=106:5:88, time=111/16366
200: reward=0.10 vs 1.00, winner=draw, r_win=31:2:17, win=106:5:89, time=57/16423
201: reward=0.10 vs 1.00, winner=draw, r_win=30:2:18, win=106:5:90, time=55/16478
202: reward=0.15 vs 1.50, winner=draw, r_win=29:2:19, win=106:5:91, time=73/16551
203: reward=95.91 vs 1.00, winner=red, r_win=29:2:19, win=107:5:91, time=66/16617
204: reward=0.15 vs 1.50, winner=draw, r_win=28:2:20, win=107:5:92, time=70/16687
205: reward=0.10 vs 1.00, winner=draw, r_win=27:2:21, win=107:5:93, time=57/16744
206: reward=93.86 vs 1.50, winner=red, r_win=28:1:21, win=108:5:93, time=95/16839
207: reward=0.10 vs 1.00, winner=draw, r_win=27:1:22, win=108:5:94, time=61/16900
208: reward=0.15 vs 1.50, winner=draw, r_win=27:1:22, win=108:5:95, time=88/16989
209: reward=95.67 vs 1.00, winner=red, r_win=28:1:21, win=109:5:95, time=70/17059
210: reward=94.73 vs 1.50, winner=red, r_win=29:1:20, win=110:5:95, time=83/17141
211: reward=0.15 vs 1.50, winner=draw, r_win=28:1:21, win=110:5:96, time=85/17227
212: reward=95.83 vs 1.00, winner=red, r_win=28:1:21, win=111:5:96, time=68/17294
213: reward=0.15 vs 1.50, winner=draw, r_win=28:1:21, win=111:5:97, time=99/17393
214: reward=93.39 vs 1.50, winner=red, r_win=29:1:20, win=112:5:97, time=102/17495
215: reward=95.04 vs 1.50, winner=red, r_win=30:1:19, win=113:5:97, time=85/17580
216: reward=92.78 vs 1.50, winner=red, r_win=30:1:19, win=114:5:97, time=110/17691
217: reward=95.91 vs 1.00, winner=red, r_win=30:1:19, win=115:5:97, time=66/17757
218: reward=95.91 vs 1.00, winner=red, r_win=31:1:18, win=116:5:97, time=66/17823
219: reward=96.91 vs 0.00, winner=red, r_win=31:1:18, win=117:5:97, time=53/17877
220: reward=1.15 vs 1.50, winner=draw, r_win=31:1:18, win=117:5:98, time=76/17953
221: reward=93.44 vs 1.83, winner=red, r_win=31:1:18, win=118:5:98, time=102/18054
222: reward=0.10 vs 1.00, winner=draw, r_win=30:1:19, win=118:5:99, time=56/18111
223: reward=92.27 vs 2.28, winner=red, r_win=31:0:19, win=119:5:99, time=126/18236
224: reward=0.15 vs 1.50, winner=draw, r_win=30:0:20, win=119:5:100, time=95/18331
225: reward=96.71 vs 0.00, winner=red, r_win=30:0:20, win=120:5:100, time=55/18387
226: reward=0.15 vs 1.50, winner=draw, r_win=29:0:21, win=120:5:101, time=100/18487
227: reward=0.10 vs 1.00, winner=draw, r_win=28:0:22, win=120:5:102, time=51/18538
228: reward=93.03 vs 1.50, winner=red, r_win=28:0:22, win=121:5:102, time=107/18645
229: reward=95.67 vs 1.00, winner=red, r_win=29:0:21, win=122:5:102, time=70/18715
230: reward=0.15 vs 1.50, winner=draw, r_win=28:0:22, win=122:5:103, time=62/18777
