133: reward=1.00 vs 18.84, winner=blue, r_win=0:50:0, win=0:132:1, time=158/16243
134: reward=1.00 vs 19.27, winner=blue, r_win=0:50:0, win=0:133:1, time=125/16368
135: reward=1.50 vs 19.16, winner=blue, r_win=0:50:0, win=0:134:1, time=133/16501
136: reward=0.00 vs 18.54, winner=blue, r_win=0:50:0, win=0:135:1, time=102/16603
137: reward=1.50 vs 18.56, winner=blue, r_win=0:50:0, win=0:136:1, time=104/16707
138: reward=0.00 vs 20.00, winner=blue, r_win=0:50:0, win=0:137:1, time=97/16804
139: reward=1.00 vs 18.23, winner=blue, r_win=0:50:0, win=0:138:1, time=128/16932
140: reward=1.50 vs 18.67, winner=blue, r_win=0:50:0, win=0:139:1, time=171/17103
141: reward=1.50 vs 18.01, winner=blue, r_win=0:50:0, win=0:140:1, time=147/17249
142: reward=0.00 vs 19.66, winner=blue, r_win=0:50:0, win=0:141:1, time=86/17336
143: reward=1.00 vs 18.44, winner=blue, r_win=0:50:0, win=0:142:1, time=113/17448
144: reward=2.45 vs 0.24, winner=draw, r_win=0:49:1, win=0:142:2, time=239/17687
145: reward=0.00 vs 19.74, winner=blue, r_win=0:49:1, win=0:143:2, time=81/17768
146: reward=1.83 vs 18.52, winner=blue, r_win=0:49:1, win=0:144:2, time=109/17877
147: reward=2.28 vs 18.06, winner=blue, r_win=0:49:1, win=0:145:2, time=148/18025
148: reward=1.83 vs 19.25, winner=blue, r_win=0:49:1, win=0:146:2, time=129/18154
149: reward=1.00 vs 18.17, winner=blue, r_win=0:49:1, win=0:147:2, time=132/18287
150: reward=0.00 vs 18.95, winner=blue, r_win=0:49:1, win=0:148:2, time=138/18424
151: reward=0.00 vs 17.96, winner=blue, r_win=0:49:1, win=0:149:2, time=144/18569
152: reward=1.00 vs 18.32, winner=blue, r_win=0:49:1, win=0:150:2, time=121/18690
153: reward=0.00 vs 19.99, winner=blue, r_win=0:49:1, win=0:151:2, time=98/18789
154: reward=1.00 vs 18.26, winner=blue, r_win=0:49:1, win=0:152:2, time=126/18914
155: reward=1.00 vs 19.32, winner=blue, r_win=0:49:1, win=0:153:2, time=121/19036
156: reward=0.00 vs 19.85, winner=blue, r_win=0:49:1, win=0:154:2, time=73/19109
