122: reward=1.70 vs 2.80, win=1 vs 116, recent_win=0 vs 50, draw=5, winner=blue, time=119/40584
123: reward=1.70 vs 2.80, win=1 vs 117, recent_win=0 vs 50, draw=5, winner=blue, time=133/40717
124: reward=1.20 vs 2.80, win=1 vs 118, recent_win=0 vs 50, draw=5, winner=blue, time=107/40824
125: reward=3.70 vs 2.50, win=1 vs 119, recent_win=0 vs 50, draw=5, winner=blue, time=320/41144
126: reward=10.50 vs 1.90, win=1 vs 120, recent_win=0 vs 50, draw=5, winner=blue, time=609/41752
127: reward=3.80 vs 2.50, win=1 vs 121, recent_win=0 vs 50, draw=5, winner=blue, time=367/42119
128: reward=4.30 vs 2.50, win=1 vs 122, recent_win=0 vs 50, draw=5, winner=blue, time=378/42497
129: reward=3.65 vs 2.50, win=1 vs 123, recent_win=0 vs 50, draw=5, winner=blue, time=297/42793
130: reward=1.20 vs 2.80, win=1 vs 124, recent_win=0 vs 50, draw=5, winner=blue, time=99/42893
131: reward=4.70 vs 2.40, win=1 vs 125, recent_win=0 vs 50, draw=5, winner=blue, time=561/43453
132: reward=3.80 vs 2.50, win=1 vs 126, recent_win=0 vs 50, draw=5, winner=blue, time=287/43740
133: reward=0.75 vs 1.00, win=1 vs 126, recent_win=0 vs 49, draw=6, winner=draw, time=74/43814
134: reward=4.30 vs 2.40, win=1 vs 127, recent_win=0 vs 49, draw=6, winner=blue, time=552/44365
135: reward=1.25 vs 2.80, win=1 vs 128, recent_win=0 vs 49, draw=6, winner=blue, time=119/44485
136: reward=2.55 vs 2.70, win=1 vs 129, recent_win=0 vs 49, draw=6, winner=blue, time=246/44730
137: reward=8.20 vs 3.00, win=1 vs 130, recent_win=0 vs 49, draw=6, winner=blue, time=575/45305
138: reward=8.10 vs 3.00, win=1 vs 131, recent_win=0 vs 49, draw=6, winner=blue, time=691/45996
139: reward=1.35 vs 2.80, win=1 vs 132, recent_win=0 vs 49, draw=6, winner=blue, time=114/46109
140: reward=1.25 vs 2.80, win=1 vs 133, recent_win=0 vs 49, draw=6, winner=blue, time=106/46215
141: reward=1.55 vs 2.80, win=1 vs 134, recent_win=0 vs 49, draw=6, winner=blue, time=102/46317
142: reward=1.45 vs 2.80, win=1 vs 135, recent_win=0 vs 49, draw=6, winner=blue, time=120/46437
143: reward=1.55 vs 2.80, win=1 vs 136, recent_win=0 vs 49, draw=6, winner=blue, time=102/46539
144: reward=9.30 vs 1.90, win=1 vs 137, recent_win=0 vs 49, draw=6, winner=blue, time=564/47102
145: reward=1.70 vs 2.80, win=1 vs 138, recent_win=0 vs 49, draw=6, winner=blue, time=124/47226
146: reward=1.50 vs 2.80, win=1 vs 139, recent_win=0 vs 49, draw=6, winner=blue, time=124/47350
147: reward=5.90 vs 3.30, win=1 vs 140, recent_win=0 vs 49, draw=6, winner=blue, time=480/47829
148: reward=5.60 vs 3.30, win=1 vs 141, recent_win=0 vs 49, draw=6, winner=blue, time=591/48420
149: reward=10.70 vs 2.70, win=1 vs 142, recent_win=0 vs 49, draw=6, winner=blue, time=830/49249
150: reward=6.90 vs 3.10, win=1 vs 143, recent_win=0 vs 49, draw=6, winner=blue, time=701/49950
151: reward=0.70 vs 3.90, win=1 vs 144, recent_win=0 vs 49, draw=6, winner=blue, time=107/50057
152: reward=8.30 vs 2.90, win=1 vs 145, recent_win=0 vs 49, draw=6, winner=blue, time=663/50720
153: reward=1.55 vs 2.80, win=1 vs 146, recent_win=0 vs 49, draw=6, winner=blue, time=136/50855
154: reward=9.80 vs 1.90, win=1 vs 147, recent_win=0 vs 49, draw=6, winner=blue, time=682/51537
155: reward=11.00 vs 2.70, win=1 vs 148, recent_win=0 vs 49, draw=6, winner=blue, time=888/52425
156: reward=6.85 vs 2.20, win=1 vs 149, recent_win=0 vs 49, draw=6, winner=blue, time=516/52940
157: reward=4.10 vs 2.50, win=1 vs 150, recent_win=0 vs 49, draw=6, winner=blue, time=357/53297
158: reward=8.35 vs 1.90, win=1 vs 151, recent_win=0 vs 49, draw=6, winner=blue, time=565/53861
159: reward=6.60 vs 2.20, win=1 vs 152, recent_win=0 vs 49, draw=6, winner=blue, time=401/54262
160: reward=3.25 vs 3.60, win=1 vs 153, recent_win=0 vs 49, draw=6, winner=blue, time=284/54546
161: reward=0.90 vs 2.80, win=1 vs 154, recent_win=0 vs 49, draw=6, winner=blue, time=120/54666
162: reward=20.85 vs 0.60, win=1 vs 154, recent_win=0 vs 48, draw=7, winner=draw, time=1800/56466
163: reward=0.65 vs 3.90, win=1 vs 155, recent_win=0 vs 48, draw=7, winner=blue, time=110/56576
164: reward=3.40 vs 3.60, win=1 vs 156, recent_win=0 vs 48, draw=7, winner=blue, time=337/56913
165: reward=7.50 vs 3.10, win=1 vs 157, recent_win=0 vs 48, draw=7, winner=blue, time=578/57491
166: reward=11.70 vs 2.70, win=1 vs 158, recent_win=0 vs 48, draw=7, winner=blue, time=632/58122
167: reward=9.20 vs 3.00, win=1 vs 159, recent_win=0 vs 48, draw=7, winner=blue, time=546/58668
168: reward=9.25 vs 3.00, win=1 vs 160, recent_win=0 vs 48, draw=7, winner=blue, time=564/59231
169: reward=3.50 vs 3.60, win=1 vs 161, recent_win=0 vs 48, draw=7, winner=blue, time=368/59599
170: reward=7.55 vs 2.20, win=1 vs 162, recent_win=0 vs 48, draw=7, winner=blue, time=563/60162
171: reward=15.80 vs 1.20, win=1 vs 163, recent_win=0 vs 48, draw=7, winner=blue, time=1042/61204
172: reward=6.35 vs 3.30, win=1 vs 164, recent_win=0 vs 48, draw=7, winner=blue, time=633/61837
173: reward=3.50 vs 3.50, win=1 vs 165, recent_win=0 vs 48, draw=7, winner=blue, time=360/62196
174: reward=12.20 vs 2.60, win=1 vs 166, recent_win=0 vs 48, draw=7, winner=blue, time=1048/63244
175: reward=0.55 vs 2.90, win=1 vs 167, recent_win=0 vs 48, draw=7, winner=blue, time=113/63357
176: reward=6.30 vs 3.30, win=1 vs 168, recent_win=0 vs 48, draw=7, winner=blue, time=534/63890
177: reward=0.40 vs 3.80, win=1 vs 169, recent_win=0 vs 48, draw=7, winner=blue, time=133/64024
178: reward=4.45 vs 2.50, win=1 vs 170, recent_win=0 vs 48, draw=7, winner=blue, time=321/64344
179: reward=2.70 vs 2.70, win=1 vs 171, recent_win=0 vs 48, draw=7, winner=blue, time=293/64637
180: reward=0.60 vs 3.90, win=1 vs 172, recent_win=0 vs 48, draw=7, winner=blue, time=114/64751
181: reward=13.85 vs 3.50, win=1 vs 173, recent_win=0 vs 48, draw=7, winner=blue, time=1303/66054
182: reward=4.65 vs 2.50, win=1 vs 174, recent_win=0 vs 48, draw=7, winner=blue, time=325/66378
183: reward=13.20 vs 1.60, win=1 vs 175, recent_win=0 vs 49, draw=7, winner=blue, time=761/67139
184: reward=3.45 vs 3.60, win=1 vs 176, recent_win=0 vs 49, draw=7, winner=blue, time=446/67584
185: reward=7.45 vs 2.20, win=1 vs 177, recent_win=0 vs 49, draw=7, winner=blue, time=719/68303
186: reward=5.60 vs 2.40, win=1 vs 178, recent_win=0 vs 49, draw=7, winner=blue, time=541/68844
187: reward=21.65 vs 0.60, win=1 vs 179, recent_win=0 vs 49, draw=7, winner=blue, time=1688/70532
188: reward=0.80 vs 1.00, win=2 vs 179, recent_win=1 vs 48, draw=7, winner=red, time=66/70598
189: reward=13.40 vs 2.50, win=2 vs 180, recent_win=1 vs 48, draw=7, winner=blue, time=682/71280
190: reward=7.70 vs 3.10, win=2 vs 181, recent_win=1 vs 48, draw=7, winner=blue, time=511/71790
191: reward=10.20 vs 1.90, win=2 vs 182, recent_win=1 vs 48, draw=7, winner=blue, time=524/72314
192: reward=7.10 vs 2.20, win=2 vs 183, recent_win=1 vs 48, draw=7, winner=blue, time=531/72844
193: reward=5.80 vs 3.30, win=2 vs 184, recent_win=1 vs 48, draw=7, winner=blue, time=432/73276
194: reward=10.15 vs 1.90, win=2 vs 185, recent_win=1 vs 48, draw=7, winner=blue, time=621/73897
195: reward=5.30 vs 3.40, win=2 vs 186, recent_win=1 vs 48, draw=7, winner=blue, time=547/74443
196: reward=12.40 vs 1.60, win=2 vs 187, recent_win=1 vs 48, draw=7, winner=blue, time=676/75119
197: reward=13.55 vs 2.50, win=2 vs 188, recent_win=1 vs 48, draw=7, winner=blue, time=759/75877
198: reward=11.25 vs 2.70, win=2 vs 189, recent_win=1 vs 48, draw=7, winner=blue, time=808/76685
199: reward=14.10 vs 1.40, win=2 vs 190, recent_win=1 vs 48, draw=7, winner=blue, time=685/77370
200: reward=10.50 vs 1.90, win=2 vs 191, recent_win=1 vs 48, draw=7, winner=blue, time=703/78072
201: reward=1.60 vs 2.80, win=2 vs 192, recent_win=1 vs 48, draw=7, winner=blue, time=122/78195
202: reward=14.50 vs 1.40, win=2 vs 193, recent_win=1 vs 48, draw=7, winner=blue, time=727/78921
203: reward=8.70 vs 3.00, win=2 vs 194, recent_win=1 vs 48, draw=7, winner=blue, time=753/79674
204: reward=14.35 vs 2.50, win=2 vs 195, recent_win=1 vs 48, draw=7, winner=blue, time=760/80433
205: reward=2.05 vs 2.40, win=2 vs 196, recent_win=1 vs 48, draw=7, winner=blue, time=652/81085
206: reward=14.95 vs 1.40, win=2 vs 197, recent_win=1 vs 48, draw=7, winner=blue, time=716/81801
207: reward=11.15 vs 2.80, win=2 vs 198, recent_win=1 vs 48, draw=7, winner=blue, time=806/82606
208: reward=2.70 vs 3.70, win=2 vs 199, recent_win=1 vs 48, draw=7, winner=blue, time=270/82876
209: reward=8.50 vs 3.10, win=2 vs 200, recent_win=1 vs 48, draw=7, winner=blue, time=497/83372
210: reward=12.50 vs 2.60, win=2 vs 201, recent_win=1 vs 48, draw=7, winner=blue, time=788/84160
211: reward=20.85 vs 1.80, win=2 vs 202, recent_win=1 vs 48, draw=7, winner=blue, time=996/85156
212: reward=10.90 vs 2.80, win=2 vs 203, recent_win=1 vs 49, draw=7, winner=blue, time=681/85836
213: reward=8.60 vs 3.00, win=2 vs 204, recent_win=1 vs 49, draw=7, winner=blue, time=533/86369
214: reward=5.40 vs 3.40, win=2 vs 205, recent_win=1 vs 49, draw=7, winner=blue, time=381/86749
215: reward=14.85 vs 2.40, win=2 vs 206, recent_win=1 vs 49, draw=7, winner=blue, time=807/87556
216: reward=13.10 vs 1.60, win=2 vs 207, recent_win=1 vs 49, draw=7, winner=blue, time=627/88183
217: reward=7.90 vs 3.10, win=2 vs 208, recent_win=1 vs 49, draw=7, winner=blue, time=512/88694
218: reward=15.45 vs 2.40, win=2 vs 209, recent_win=1 vs 49, draw=7, winner=blue, time=797/89491
219: reward=15.40 vs 2.40, win=2 vs 210, recent_win=1 vs 49, draw=7, winner=blue, time=768/90258
220: reward=7.45 vs 2.20, win=2 vs 211, recent_win=1 vs 49, draw=7, winner=blue, time=413/90671
221: reward=15.35 vs 2.40, win=2 vs 212, recent_win=1 vs 49, draw=7, winner=blue, time=923/91594
222: reward=24.30 vs 0.50, win=2 vs 213, recent_win=1 vs 49, draw=7, winner=blue, time=1048/92641
223: reward=1.85 vs 1.80, win=2 vs 214, recent_win=1 vs 49, draw=7, winner=blue, time=117/92758
224: reward=23.85 vs 1.50, win=2 vs 215, recent_win=1 vs 49, draw=7, winner=blue, time=1197/93956
225: reward=18.30 vs 1.10, win=2 vs 216, recent_win=1 vs 49, draw=7, winner=blue, time=932/94887
226: reward=23.55 vs 0.50, win=2 vs 217, recent_win=1 vs 49, draw=7, winner=blue, time=1325/96212
227: reward=13.60 vs 1.60, win=2 vs 218, recent_win=1 vs 49, draw=7, winner=blue, time=840/97052
228: reward=18.30 vs 1.10, win=2 vs 219, recent_win=1 vs 49, draw=7, winner=blue, time=894/97946
229: reward=10.35 vs 1.90, win=2 vs 220, recent_win=1 vs 49, draw=7, winner=blue, time=588/98533
230: reward=10.55 vs 1.90, win=2 vs 221, recent_win=1 vs 49, draw=7, winner=blue, time=585/99118
231: reward=13.40 vs 1.60, win=2 vs 222, recent_win=1 vs 49, draw=7, winner=blue, time=684/99801
232: reward=9.55 vs 3.00, win=2 vs 223, recent_win=1 vs 49, draw=7, winner=blue, time=560/100361
