111: reward=3.00 vs 0.70, reward_evade=3.00 vs 1.00, win=0 vs 62, recent_win=0 vs 25, draw=49, winner=draw, time=161/13772
112: reward=1.00 vs 0.70, reward_evade=3.00 vs 1.00, win=0 vs 62, recent_win=0 vs 24, draw=50, winner=draw, time=76/13849
113: reward=1.00 vs 1.00, reward_evade=3.00 vs 1.00, win=0 vs 62, recent_win=0 vs 23, draw=51, winner=draw, time=93/13941
114: reward=2.00 vs 93.01, reward_evade=2.00 vs 1.00, win=0 vs 63, recent_win=0 vs 23, draw=51, winner=blue, time=102/14043
115: reward=1.00 vs 90.46, reward_evade=1.00 vs 1.00, win=0 vs 64, recent_win=0 vs 24, draw=51, winner=blue, time=139/14182
116: reward=1.00 vs 0.90, reward_evade=1.00 vs 1.00, win=0 vs 64, recent_win=0 vs 23, draw=52, winner=draw, time=137/14319
117: reward=1.00 vs 90.90, reward_evade=1.00 vs 1.00, win=0 vs 65, recent_win=0 vs 24, draw=52, winner=blue, time=132/14451
118: reward=1.00 vs 93.42, reward_evade=1.00 vs 1.00, win=0 vs 66, recent_win=0 vs 25, draw=52, winner=blue, time=97/14548
119: reward=1.00 vs 90.97, reward_evade=1.00 vs 1.00, win=0 vs 67, recent_win=0 vs 25, draw=52, winner=blue, time=131/14680
120: reward=1.00 vs 90.97, reward_evade=1.00 vs 1.00, win=0 vs 67, recent_win=0 vs 24, draw=53, winner=draw, time=91/14770
121: reward=1.00 vs 92.80, reward_evade=1.00 vs 1.00, win=0 vs 68, recent_win=0 vs 24, draw=53, winner=blue, time=106/14876
122: reward=1.00 vs 0.90, reward_evade=1.00 vs 1.00, win=0 vs 68, recent_win=0 vs 24, draw=54, winner=draw, time=91/14967
123: reward=4.00 vs 91.82, reward_evade=4.00 vs 1.00, win=0 vs 69, recent_win=0 vs 24, draw=54, winner=blue, time=116/15083
124: reward=1.00 vs 91.42, reward_evade=1.00 vs 1.00, win=0 vs 70, recent_win=0 vs 24, draw=54, winner=blue, time=125/15208
125: reward=1.00 vs 91.42, reward_evade=1.00 vs 1.00, win=0 vs 70, recent_win=0 vs 24, draw=55, winner=draw, time=80/15287
126: reward=2.00 vs 90.14, reward_evade=2.00 vs 1.00, win=0 vs 71, recent_win=0 vs 25, draw=55, winner=blue, time=142/15429
127: reward=2.00 vs 1.00, reward_evade=2.00 vs 1.00, win=0 vs 71, recent_win=0 vs 25, draw=56, winner=draw, time=70/15499
128: reward=1.00 vs 90.75, reward_evade=1.00 vs 1.00, win=0 vs 72, recent_win=0 vs 25, draw=56, winner=blue, time=135/15634
129: reward=1.00 vs 1.00, reward_evade=1.00 vs 1.00, win=0 vs 72, recent_win=0 vs 25, draw=57, winner=draw, time=139/15773
130: reward=1.00 vs 91.72, reward_evade=1.00 vs 1.00, win=0 vs 73, recent_win=0 vs 25, draw=57, winner=blue, time=120/15893
131: reward=1.00 vs 91.72, reward_evade=1.00 vs 1.00, win=0 vs 73, recent_win=0 vs 24, draw=58, winner=draw, time=68/15961
132: reward=6.00 vs -0.60, reward_evade=6.00 vs 1.00, win=0 vs 73, recent_win=0 vs 24, draw=59, winner=draw, time=160/16120
133: reward=2.00 vs 92.17, reward_evade=2.00 vs 1.00, win=0 vs 74, recent_win=0 vs 25, draw=59, winner=blue, time=114/16234
134: reward=1.00 vs 92.86, reward_evade=1.00 vs 1.00, win=0 vs 75, recent_win=0 vs 26, draw=59, winner=blue, time=104/16338
135: reward=4.00 vs 89.68, reward_evade=4.00 vs 1.00, win=0 vs 76, recent_win=0 vs 26, draw=59, winner=blue, time=148/16486
136: reward=2.00 vs 90.14, reward_evade=2.00 vs 1.00, win=0 vs 77, recent_win=0 vs 26, draw=59, winner=blue, time=142/16628
137: reward=2.00 vs 93.58, reward_evade=2.00 vs 1.00, win=0 vs 78, recent_win=0 vs 27, draw=59, winner=blue, time=95/16723
138: reward=4.00 vs 89.40, reward_evade=4.00 vs 1.00, win=0 vs 79, recent_win=0 vs 28, draw=59, winner=blue, time=152/16875
139: reward=4.00 vs 1.00, reward_evade=4.00 vs 1.00, win=0 vs 79, recent_win=0 vs 28, draw=60, winner=draw, time=88/16964
