187: reward=5.00 vs -0.50, win=20 vs 108, recent_win=9 vs 33, draw=59, winner=red, time=309/29474
188: reward=6.00 vs -0.60, win=20 vs 109, recent_win=9 vs 33, draw=59, winner=blue, time=278/29752
189: reward=2.00 vs 0.80, win=20 vs 110, recent_win=9 vs 33, draw=59, winner=blue, time=169/29921
190: reward=1.00 vs 0.90, win=20 vs 110, recent_win=9 vs 33, draw=60, winner=draw, time=151/30072
191: reward=4.00 vs -0.40, win=20 vs 111, recent_win=9 vs 34, draw=60, winner=blue, time=292/30363
192: reward=3.00 vs 0.70, win=20 vs 112, recent_win=9 vs 34, draw=60, winner=blue, time=155/30519
193: reward=3.90 vs 0.60, win=21 vs 112, recent_win=10 vs 33, draw=60, winner=red, time=321/30839
194: reward=3.90 vs 1.00, win=21 vs 112, recent_win=10 vs 32, draw=61, winner=draw, time=149/30988
195: reward=1.00 vs 0.90, win=21 vs 113, recent_win=10 vs 32, draw=61, winner=blue, time=128/31116
196: reward=6.00 vs 0.40, win=21 vs 114, recent_win=10 vs 32, draw=61, winner=blue, time=199/31316
197: reward=5.00 vs -0.50, win=21 vs 115, recent_win=9 vs 33, draw=61, winner=blue, time=229/31545
198: reward=5.00 vs -0.50, win=22 vs 115, recent_win=10 vs 33, draw=61, winner=red, time=201/31746
199: reward=5.00 vs -0.50, win=23 vs 115, recent_win=10 vs 33, draw=61, winner=red, time=326/32071
200: reward=6.00 vs -0.60, win=24 vs 115, recent_win=11 vs 32, draw=61, winner=red, time=263/32334
201: reward=5.00 vs -0.50, win=25 vs 115, recent_win=12 vs 31, draw=61, winner=red, time=224/32557
202: reward=3.00 vs 0.70, win=25 vs 116, recent_win=12 vs 32, draw=61, winner=blue, time=146/32703
203: reward=4.00 vs -0.40, win=26 vs 116, recent_win=13 vs 31, draw=61, winner=red, time=220/32923
204: reward=4.00 vs 0.60, win=26 vs 116, recent_win=13 vs 30, draw=62, winner=draw, time=195/33119
205: reward=3.00 vs 0.70, win=26 vs 116, recent_win=13 vs 29, draw=63, winner=draw, time=151/33270
206: reward=4.00 vs -0.40, win=26 vs 117, recent_win=13 vs 29, draw=63, winner=blue, time=144/33414
207: reward=5.00 vs -0.50, win=26 vs 118, recent_win=13 vs 29, draw=63, winner=blue, time=303/33717
208: reward=1.00 vs 0.90, win=26 vs 118, recent_win=13 vs 28, draw=64, winner=draw, time=136/33852
209: reward=2.00 vs 0.80, win=26 vs 119, recent_win=13 vs 28, draw=64, winner=blue, time=146/33998
210: reward=2.00 vs 0.80, win=26 vs 120, recent_win=13 vs 28, draw=64, winner=blue, time=146/34144
211: reward=5.00 vs -0.50, win=27 vs 120, recent_win=14 vs 28, draw=64, winner=red, time=215/34359
212: reward=2.00 vs 0.80, win=27 vs 121, recent_win=14 vs 28, draw=64, winner=blue, time=281/34639
213: reward=3.00 vs 0.70, win=27 vs 122, recent_win=14 vs 28, draw=64, winner=blue, time=169/34808
214: reward=3.00 vs 0.70, win=27 vs 123, recent_win=14 vs 28, draw=64, winner=blue, time=161/34969
215: reward=3.00 vs 0.70, win=27 vs 124, recent_win=14 vs 28, draw=64, winner=blue, time=163/35132
216: reward=5.00 vs -0.50, win=28 vs 124, recent_win=15 vs 28, draw=64, winner=red, time=243/35376
217: reward=5.00 vs -0.50, win=29 vs 124, recent_win=16 vs 27, draw=64, winner=red, time=176/35552
218: reward=5.00 vs -0.50, win=30 vs 124, recent_win=16 vs 27, draw=64, winner=red, time=213/35765
219: reward=5.00 vs 1.00, win=30 vs 124, recent_win=15 vs 27, draw=65, winner=draw, time=246/36010
