168: reward=-33.99 vs 90.53, winner=blue, r_win=0:47:3, win=3:158:7, time=138/22534
169: reward=-32.61 vs 90.21, winner=blue, r_win=0:47:3, win=3:159:7, time=157/22691
170: reward=-33.35 vs 91.32, winner=blue, r_win=0:47:3, win=3:160:7, time=125/22816
171: reward=-33.34 vs 90.54, winner=blue, r_win=0:47:3, win=3:161:7, time=121/22937
172: reward=-33.88 vs 90.24, winner=blue, r_win=0:48:2, win=3:162:7, time=142/23079
173: reward=-11.58 vs -15.98, winner=draw, r_win=0:47:3, win=3:162:8, time=350/23429
174: reward=-34.10 vs 90.05, winner=blue, r_win=0:47:3, win=3:163:8, time=130/23559
175: reward=-34.73 vs 91.63, winner=blue, r_win=0:47:3, win=3:164:8, time=107/23666
176: reward=-37.24 vs 94.60, winner=blue, r_win=0:47:3, win=3:165:8, time=96/23762
177: reward=-12.35 vs -14.55, winner=draw, r_win=0:46:4, win=3:165:9, time=292/24054
178: reward=-34.11 vs 90.83, winner=blue, r_win=0:46:4, win=3:166:9, time=133/24188
179: reward=-37.08 vs 93.44, winner=blue, r_win=0:46:4, win=3:167:9, time=98/24286
180: reward=-33.85 vs 91.83, winner=blue, r_win=0:46:4, win=3:168:9, time=103/24389
181: reward=-32.84 vs 89.29, winner=blue, r_win=0:46:4, win=3:169:9, time=140/24529
182: reward=-33.64 vs 91.30, winner=blue, r_win=0:46:4, win=3:170:9, time=110/24639
183: reward=-34.95 vs 92.17, winner=blue, r_win=0:46:4, win=3:171:9, time=99/24738
184: reward=-36.42 vs 94.21, winner=blue, r_win=0:46:4, win=3:172:9, time=86/24825
185: reward=-35.86 vs 92.80, winner=blue, r_win=0:46:4, win=3:173:9, time=106/24931
186: reward=-36.42 vs 94.21, winner=blue, r_win=0:46:4, win=3:174:9, time=86/25017
187: reward=-34.40 vs 90.79, winner=blue, r_win=0:46:4, win=3:175:9, time=119/25136
188: reward=-37.46 vs 95.15, winner=blue, r_win=0:46:4, win=3:176:9, time=88/25224
189: reward=-32.99 vs 90.43, winner=blue, r_win=0:46:4, win=3:177:9, time=138/25362
190: reward=-35.98 vs 92.34, winner=blue, r_win=0:46:4, win=3:178:9, time=98/25461
191: reward=-34.20 vs 91.05, winner=blue, r_win=0:46:4, win=3:179:9, time=130/25591
192: reward=-34.10 vs 90.05, winner=blue, r_win=0:46:4, win=3:180:9, time=130/25721
193: reward=-33.92 vs 91.99, winner=blue, r_win=0:46:4, win=3:181:9, time=100/25822
194: reward=-36.13 vs 92.74, winner=blue, r_win=0:46:4, win=3:182:9, time=93/25914
195: reward=-32.80 vs 90.71, winner=blue, r_win=0:46:4, win=3:183:9, time=149/26063
196: reward=-35.56 vs 92.04, winner=blue, r_win=0:46:4, win=3:184:9, time=117/26180
197: reward=-35.14 vs 92.49, winner=blue, r_win=0:46:4, win=3:185:9, time=140/26320
198: reward=-34.22 vs 90.34, winner=blue, r_win=0:46:4, win=3:186:9, time=126/26446
199: reward=-32.99 vs 90.43, winner=blue, r_win=0:46:4, win=3:187:9, time=138/26584
200: reward=-36.95 vs 93.13, winner=blue, r_win=0:46:4, win=3:188:9, time=103/26687
201: reward=-37.52 vs 95.31, winner=blue, r_win=0:46:4, win=3:189:9, time=86/26773
202: reward=-37.81 vs 95.27, winner=blue, r_win=0:47:3, win=3:190:9, time=73/26846
203: reward=-32.72 vs 90.50, winner=blue, r_win=0:47:3, win=3:191:9, time=152/26998
204: reward=-33.25 vs 90.32, winner=blue, r_win=0:47:3, win=3:192:9, time=125/27123
205: reward=-33.32 vs 91.24, winner=blue, r_win=0:47:3, win=3:193:9, time=126/27249
206: reward=-37.49 vs 95.23, winner=blue, r_win=0:47:3, win=3:194:9, time=87/27336
207: reward=-35.23 vs 93.64, winner=blue, r_win=0:47:3, win=3:195:9, time=93/27429
208: reward=-34.88 vs 92.01, winner=blue, r_win=0:47:3, win=3:196:9, time=102/27530
209: reward=-34.43 vs 90.87, winner=blue, r_win=0:47:3, win=3:197:9, time=118/27648
210: reward=-32.89 vs 89.43, winner=blue, r_win=0:47:3, win=3:198:9, time=138/27786
211: reward=-37.49 vs 95.23, winner=blue, r_win=0:47:3, win=3:199:9, time=87/27874
212: reward=-33.16 vs 90.09, winner=blue, r_win=0:47:3, win=3:200:9, time=128/28002
213: reward=-34.17 vs 90.97, winner=blue, r_win=0:47:3, win=3:201:9, time=131/28133
214: reward=-34.62 vs 92.09, winner=blue, r_win=0:47:3, win=3:202:9, time=115/28248
215: reward=-34.05 vs 90.68, winner=blue, r_win=0:47:3, win=3:203:9, time=136/28383
216: reward=-33.38 vs 91.39, winner=blue, r_win=0:48:2, win=3:204:9, time=124/28507
217: reward=-35.62 vs 92.19, winner=blue, r_win=0:48:2, win=3:205:9, time=115/28622
218: reward=-34.40 vs 90.79, winner=blue, r_win=0:48:2, win=3:206:9, time=119/28741
219: reward=-33.65 vs 89.67, winner=blue, r_win=0:48:2, win=3:207:9, time=151/28892
220: reward=-33.79 vs 91.68, winner=blue, r_win=0:48:2, win=3:208:9, time=105/28997
221: reward=-35.83 vs 91.08, winner=blue, r_win=0:48:2, win=3:209:9, time=148/29145
222: reward=-33.64 vs 91.30, winner=blue, r_win=0:48:2, win=3:210:9, time=110/29255
223: reward=-34.14 vs 90.90, winner=blue, r_win=0:49:1, win=3:211:9, time=132/29388
224: reward=-36.30 vs 93.89, winner=blue, r_win=0:49:1, win=3:212:9, time=91/29478
225: reward=-32.73 vs 89.78, winner=blue, r_win=0:49:1, win=3:213:9, time=148/29626
226: reward=-36.42 vs 94.21, winner=blue, r_win=0:49:1, win=3:214:9, time=86/29712
227: reward=-33.98 vs 92.14, winner=blue, r_win=0:50:0, win=3:215:9, time=98/29811
228: reward=-34.27 vs 91.97, winner=blue, r_win=0:50:0, win=3:216:9, time=131/29942
