95: reward=6.00 vs 95.23, reward_evade=6.00 vs 1.00, win=0 vs 95, recent_win=0 vs 50, draw=0, winner=blue, time=87/11866
96: reward=2.00 vs 88.65, reward_evade=2.00 vs 1.00, win=0 vs 96, recent_win=0 vs 50, draw=0, winner=blue, time=165/12032
97: reward=1.00 vs 92.76, reward_evade=1.00 vs 1.00, win=0 vs 97, recent_win=0 vs 50, draw=0, winner=blue, time=104/12135
98: reward=2.00 vs 91.02, reward_evade=2.00 vs 1.00, win=0 vs 98, recent_win=0 vs 50, draw=0, winner=blue, time=129/12265
99: reward=1.00 vs 89.00, reward_evade=1.00 vs 1.00, win=0 vs 99, recent_win=0 vs 50, draw=0, winner=blue, time=160/12424
100: reward=3.00 vs 91.80, reward_evade=3.00 vs 1.00, win=0 vs 100, recent_win=0 vs 50, draw=0, winner=blue, time=132/12557
101: reward=3.00 vs 94.99, reward_evade=3.00 vs 1.00, win=0 vs 101, recent_win=0 vs 50, draw=0, winner=blue, time=91/12647
102: reward=4.00 vs 89.11, reward_evade=4.00 vs 1.00, win=0 vs 102, recent_win=0 vs 50, draw=0, winner=blue, time=157/12804
103: reward=4.00 vs 96.03, reward_evade=4.00 vs 1.00, win=0 vs 103, recent_win=0 vs 50, draw=0, winner=blue, time=76/12880
104: reward=4.00 vs 94.66, reward_evade=4.00 vs 1.00, win=0 vs 104, recent_win=0 vs 50, draw=0, winner=blue, time=94/12974
105: reward=1.00 vs 90.90, reward_evade=1.00 vs 1.00, win=0 vs 105, recent_win=0 vs 50, draw=0, winner=blue, time=132/13107
106: reward=1.00 vs 91.49, reward_evade=1.00 vs 1.00, win=0 vs 106, recent_win=0 vs 50, draw=0, winner=blue, time=140/13247
107: reward=1.00 vs 94.91, reward_evade=1.00 vs 1.00, win=0 vs 107, recent_win=0 vs 50, draw=0, winner=blue, time=92/13338
108: reward=1.00 vs 91.19, reward_evade=1.00 vs 1.00, win=0 vs 108, recent_win=0 vs 50, draw=0, winner=blue, time=128/13466
109: reward=3.00 vs 91.39, reward_evade=3.00 vs 1.00, win=0 vs 109, recent_win=0 vs 50, draw=0, winner=blue, time=124/13590
110: reward=1.00 vs 90.68, reward_evade=1.00 vs 1.00, win=0 vs 110, recent_win=0 vs 50, draw=0, winner=blue, time=136/13726
111: reward=2.00 vs 91.02, reward_evade=2.00 vs 1.00, win=0 vs 111, recent_win=0 vs 50, draw=0, winner=blue, time=129/13855
112: reward=1.00 vs 91.79, reward_evade=1.00 vs 1.00, win=0 vs 112, recent_win=0 vs 50, draw=0, winner=blue, time=119/13974
113: reward=1.00 vs 91.49, reward_evade=1.00 vs 1.00, win=0 vs 113, recent_win=0 vs 50, draw=0, winner=blue, time=124/14098
114: reward=2.00 vs 88.38, reward_evade=2.00 vs 1.00, win=0 vs 114, recent_win=0 vs 50, draw=0, winner=blue, time=170/14267
115: reward=6.00 vs -0.60, reward_evade=6.00 vs 1.00, win=0 vs 114, recent_win=0 vs 49, draw=1, winner=draw, time=229/14497
116: reward=2.00 vs 89.43, reward_evade=2.00 vs 1.00, win=0 vs 115, recent_win=0 vs 49, draw=1, winner=blue, time=153/14650
117: reward=2.00 vs 96.15, reward_evade=2.00 vs 2.00, win=0 vs 116, recent_win=0 vs 49, draw=1, winner=blue, time=88/14738
118: reward=2.00 vs 94.03, reward_evade=2.00 vs 1.00, win=0 vs 117, recent_win=0 vs 49, draw=1, winner=blue, time=103/14841
119: reward=2.00 vs 93.96, reward_evade=2.00 vs 1.00, win=0 vs 118, recent_win=0 vs 49, draw=1, winner=blue, time=104/14945
120: reward=3.00 vs 91.32, reward_evade=3.00 vs 1.00, win=0 vs 119, recent_win=0 vs 49, draw=1, winner=blue, time=125/15070
121: reward=6.00 vs -0.60, reward_evade=6.00 vs 1.00, win=0 vs 119, recent_win=0 vs 48, draw=2, winner=draw, time=157/15226
122: reward=2.00 vs 89.57, reward_evade=2.00 vs 1.00, win=0 vs 120, recent_win=0 vs 48, draw=2, winner=blue, time=151/15377
123: reward=3.00 vs 90.51, reward_evade=3.00 vs 1.00, win=0 vs 121, recent_win=0 vs 48, draw=2, winner=blue, time=137/15514
124: reward=3.00 vs 90.29, reward_evade=3.00 vs 1.00, win=0 vs 122, recent_win=0 vs 48, draw=2, winner=blue, time=140/15654
125: reward=2.00 vs 92.02, reward_evade=2.00 vs 1.00, win=0 vs 123, recent_win=0 vs 48, draw=2, winner=blue, time=116/15770
126: reward=1.00 vs 93.09, reward_evade=1.00 vs 1.00, win=0 vs 124, recent_win=0 vs 48, draw=2, winner=blue, time=100/15871
127: reward=2.00 vs 92.78, reward_evade=2.00 vs 1.00, win=0 vs 125, recent_win=0 vs 48, draw=2, winner=blue, time=105/15975
128: reward=2.00 vs 91.82, reward_evade=2.00 vs 1.00, win=0 vs 126, recent_win=0 vs 48, draw=2, winner=blue, time=120/16096
129: reward=1.00 vs 89.38, reward_evade=1.00 vs 1.00, win=0 vs 127, recent_win=0 vs 48, draw=2, winner=blue, time=155/16251
130: reward=1.00 vs 89.95, reward_evade=1.00 vs 1.00, win=0 vs 128, recent_win=0 vs 48, draw=2, winner=blue, time=147/16398
131: reward=4.00 vs 88.28, reward_evade=4.00 vs 1.00, win=0 vs 129, recent_win=0 vs 48, draw=2, winner=blue, time=170/16568
132: reward=1.00 vs 92.32, reward_evade=1.00 vs 1.00, win=0 vs 130, recent_win=0 vs 48, draw=2, winner=blue, time=111/16679
133: reward=1.00 vs 92.09, reward_evade=1.00 vs 1.00, win=0 vs 131, recent_win=0 vs 48, draw=2, winner=blue, time=115/16794
134: reward=1.00 vs 94.60, reward_evade=1.00 vs 1.00, win=0 vs 132, recent_win=0 vs 48, draw=2, winner=blue, time=96/16890
135: reward=1.00 vs 92.00, reward_evade=1.00 vs 1.00, win=0 vs 133, recent_win=0 vs 48, draw=2, winner=blue, time=132/17023
136: reward=3.00 vs 91.62, reward_evade=3.00 vs 1.00, win=0 vs 134, recent_win=0 vs 48, draw=2, winner=blue, time=120/17143
137: reward=3.00 vs 93.83, reward_evade=3.00 vs 1.00, win=0 vs 135, recent_win=0 vs 48, draw=2, winner=blue, time=107/17250
138: reward=4.00 vs 89.54, reward_evade=4.00 vs 1.00, win=0 vs 136, recent_win=0 vs 48, draw=2, winner=blue, time=150/17400
139: reward=4.00 vs 89.84, reward_evade=4.00 vs 1.00, win=0 vs 137, recent_win=0 vs 48, draw=2, winner=blue, time=150/17550
140: reward=1.00 vs 91.57, reward_evade=1.00 vs 1.00, win=0 vs 138, recent_win=0 vs 48, draw=2, winner=blue, time=122/17672
141: reward=3.00 vs 91.29, reward_evade=3.00 vs 1.00, win=0 vs 139, recent_win=0 vs 48, draw=2, winner=blue, time=140/17813
142: reward=4.00 vs 90.47, reward_evade=4.00 vs 1.00, win=0 vs 140, recent_win=0 vs 48, draw=2, winner=blue, time=151/17964
143: reward=1.00 vs 91.94, reward_evade=1.00 vs 1.00, win=0 vs 141, recent_win=0 vs 48, draw=2, winner=blue, time=117/18081
144: reward=1.00 vs 92.09, reward_evade=1.00 vs 1.00, win=0 vs 142, recent_win=0 vs 48, draw=2, winner=blue, time=115/18195
145: reward=7.00 vs 84.42, reward_evade=7.00 vs 1.00, win=0 vs 143, recent_win=0 vs 48, draw=2, winner=blue, time=229/18425
146: reward=7.00 vs 91.87, reward_evade=7.00 vs 1.00, win=0 vs 144, recent_win=0 vs 48, draw=2, winner=blue, time=118/18543
147: reward=1.00 vs 92.24, reward_evade=1.00 vs 1.00, win=0 vs 145, recent_win=0 vs 48, draw=2, winner=blue, time=113/18655
148: reward=1.00 vs 94.58, reward_evade=1.00 vs 1.00, win=0 vs 146, recent_win=0 vs 48, draw=2, winner=blue, time=95/18750
149: reward=5.00 vs 87.36, reward_evade=5.00 vs 1.00, win=0 vs 147, recent_win=0 vs 48, draw=2, winner=blue, time=183/18933
150: reward=1.00 vs 90.83, reward_evade=1.00 vs 1.00, win=0 vs 148, recent_win=0 vs 48, draw=2, winner=blue, time=133/19067
151: reward=1.00 vs 90.61, reward_evade=1.00 vs 1.00, win=0 vs 149, recent_win=0 vs 48, draw=2, winner=blue, time=137/19204
152: reward=6.00 vs 84.28, reward_evade=6.00 vs 1.00, win=0 vs 150, recent_win=0 vs 48, draw=2, winner=blue, time=234/19437
153: reward=6.00 vs -0.60, reward_evade=6.00 vs 1.00, win=0 vs 150, recent_win=0 vs 47, draw=3, winner=draw, time=172/19609
154: reward=2.00 vs 91.09, reward_evade=2.00 vs 1.00, win=0 vs 151, recent_win=0 vs 47, draw=3, winner=blue, time=128/19737
155: reward=1.00 vs 91.93, reward_evade=1.00 vs 1.00, win=0 vs 152, recent_win=0 vs 47, draw=3, winner=blue, time=133/19871
156: reward=1.00 vs 91.20, reward_evade=1.00 vs 1.00, win=0 vs 153, recent_win=0 vs 47, draw=3, winner=blue, time=144/20015
157: reward=7.00 vs -0.70, reward_evade=7.00 vs 1.00, win=0 vs 153, recent_win=0 vs 46, draw=4, winner=draw, time=183/20198
158: reward=7.00 vs 93.90, reward_evade=7.00 vs 1.00, win=0 vs 154, recent_win=0 vs 46, draw=4, winner=blue, time=106/20304
159: reward=8.00 vs -0.80, reward_evade=8.00 vs 1.00, win=0 vs 154, recent_win=0 vs 45, draw=5, winner=draw, time=263/20567
160: reward=2.00 vs 89.85, reward_evade=2.00 vs 1.00, win=0 vs 155, recent_win=0 vs 45, draw=5, winner=blue, time=147/20714
161: reward=6.00 vs -0.60, reward_evade=6.00 vs 1.00, win=0 vs 155, recent_win=0 vs 44, draw=6, winner=draw, time=170/20883
162: reward=1.00 vs 89.24, reward_evade=1.00 vs 1.00, win=0 vs 156, recent_win=0 vs 44, draw=6, winner=blue, time=158/21041
163: reward=5.00 vs 89.80, reward_evade=5.00 vs 1.00, win=0 vs 157, recent_win=0 vs 44, draw=6, winner=blue, time=144/21186
164: reward=1.00 vs 90.68, reward_evade=1.00 vs 1.00, win=0 vs 158, recent_win=0 vs 44, draw=6, winner=blue, time=136/21321
165: reward=6.00 vs -0.60, reward_evade=6.00 vs 1.00, win=0 vs 158, recent_win=0 vs 44, draw=7, winner=draw, time=180/21501
166: reward=1.00 vs 90.53, reward_evade=1.00 vs 1.00, win=0 vs 159, recent_win=0 vs 44, draw=7, winner=blue, time=138/21639
167: reward=1.00 vs 92.24, reward_evade=1.00 vs 1.00, win=0 vs 160, recent_win=0 vs 44, draw=7, winner=blue, time=113/21751
168: reward=4.00 vs 91.44, reward_evade=4.00 vs 1.00, win=0 vs 161, recent_win=0 vs 44, draw=7, winner=blue, time=121/21873
169: reward=2.00 vs 88.58, reward_evade=2.00 vs 1.00, win=0 vs 162, recent_win=0 vs 44, draw=7, winner=blue, time=166/22039
170: reward=5.00 vs 90.16, reward_evade=5.00 vs 1.00, win=0 vs 163, recent_win=0 vs 44, draw=7, winner=blue, time=139/22178
171: reward=5.00 vs 93.73, reward_evade=5.00 vs 1.00, win=0 vs 164, recent_win=0 vs 45, draw=7, winner=blue, time=107/22285
172: reward=1.00 vs 90.53, reward_evade=1.00 vs 1.00, win=0 vs 165, recent_win=0 vs 45, draw=7, winner=blue, time=138/22423
173: reward=1.00 vs 89.17, reward_evade=1.00 vs 1.00, win=0 vs 166, recent_win=0 vs 45, draw=7, winner=blue, time=159/22582
174: reward=7.00 vs 85.89, reward_evade=7.00 vs 1.00, win=0 vs 167, recent_win=0 vs 45, draw=7, winner=blue, time=204/22786
175: reward=5.00 vs -0.50, reward_evade=5.00 vs 1.00, win=0 vs 167, recent_win=0 vs 44, draw=8, winner=draw, time=154/22940
176: reward=8.00 vs 84.01, reward_evade=8.00 vs 1.00, win=0 vs 168, recent_win=0 vs 44, draw=8, winner=blue, time=235/23175
177: reward=5.00 vs 86.06, reward_evade=5.00 vs 1.00, win=0 vs 169, recent_win=0 vs 44, draw=8, winner=blue, time=203/23378
178: reward=2.00 vs 89.28, reward_evade=2.00 vs 1.00, win=0 vs 170, recent_win=0 vs 44, draw=8, winner=blue, time=155/23533
179: reward=2.00 vs 93.65, reward_evade=2.00 vs 1.00, win=0 vs 171, recent_win=0 vs 44, draw=8, winner=blue, time=108/23642
180: reward=2.00 vs 89.43, reward_evade=2.00 vs 1.00, win=0 vs 172, recent_win=0 vs 44, draw=8, winner=blue, time=153/23795
181: reward=5.00 vs 89.65, reward_evade=5.00 vs 1.00, win=0 vs 173, recent_win=0 vs 44, draw=8, winner=blue, time=147/23942
182: reward=3.00 vs 91.92, reward_evade=3.00 vs 1.00, win=0 vs 174, recent_win=0 vs 44, draw=8, winner=blue, time=116/24058
183: reward=3.00 vs 92.22, reward_evade=3.00 vs 1.00, win=0 vs 175, recent_win=0 vs 44, draw=8, winner=blue, time=129/24187
184: reward=1.00 vs 91.57, reward_evade=1.00 vs 1.00, win=0 vs 176, recent_win=0 vs 44, draw=8, winner=blue, time=122/24309
185: reward=1.00 vs 92.86, reward_evade=1.00 vs 1.00, win=0 vs 177, recent_win=0 vs 44, draw=8, winner=blue, time=104/24413
186: reward=1.00 vs 91.42, reward_evade=1.00 vs 1.00, win=0 vs 178, recent_win=0 vs 44, draw=8, winner=blue, time=125/24538
187: reward=4.00 vs 90.26, reward_evade=4.00 vs 1.00, win=0 vs 179, recent_win=0 vs 44, draw=8, winner=blue, time=139/24677
188: reward=1.00 vs 92.17, reward_evade=1.00 vs 1.00, win=0 vs 180, recent_win=0 vs 44, draw=8, winner=blue, time=114/24790
189: reward=1.00 vs 92.87, reward_evade=1.00 vs 1.00, win=0 vs 181, recent_win=0 vs 44, draw=8, winner=blue, time=118/24908
190: reward=3.00 vs 88.93, reward_evade=3.00 vs 1.00, win=0 vs 182, recent_win=0 vs 44, draw=8, winner=blue, time=161/25069
191: reward=5.00 vs 86.92, reward_evade=5.00 vs 1.00, win=0 vs 183, recent_win=0 vs 44, draw=8, winner=blue, time=188/25258
192: reward=1.00 vs 92.32, reward_evade=1.00 vs 1.00, win=0 vs 184, recent_win=0 vs 44, draw=8, winner=blue, time=111/25369
193: reward=5.00 vs 88.70, reward_evade=5.00 vs 1.00, win=0 vs 185, recent_win=0 vs 44, draw=8, winner=blue, time=160/25529
194: reward=3.00 vs 91.62, reward_evade=3.00 vs 1.00, win=0 vs 186, recent_win=0 vs 44, draw=8, winner=blue, time=120/25650
