171: reward=-36.45 vs 93.13, winner=blue, r_win=2:45:3, win=21:137:13, time=82/41769
172: reward=-36.52 vs 93.29, winner=blue, r_win=2:46:2, win=21:138:13, time=80/41848
173: reward=-31.16 vs 87.65, winner=blue, r_win=1:47:2, win=21:139:13, time=147/41995
174: reward=-35.54 vs 91.61, winner=blue, r_win=1:48:1, win=21:140:13, time=171/42166
175: reward=-35.99 vs 90.97, winner=blue, r_win=1:48:1, win=21:141:13, time=173/42339
176: reward=-34.93 vs 90.33, winner=blue, r_win=0:49:1, win=21:142:13, time=175/42514
177: reward=-31.11 vs 87.78, winner=blue, r_win=0:49:1, win=21:143:13, time=253/42768
178: reward=-32.16 vs 86.90, winner=blue, r_win=0:49:1, win=21:144:13, time=251/43019
179: reward=-37.24 vs 93.59, winner=blue, r_win=0:49:1, win=21:145:13, time=163/43182
180: reward=-36.31 vs 92.27, winner=blue, r_win=0:49:1, win=21:146:13, time=122/43305
181: reward=-28.96 vs 86.16, winner=blue, r_win=0:49:1, win=21:147:13, time=154/43459
182: reward=-35.92 vs 91.79, winner=blue, r_win=0:49:1, win=21:148:13, time=100/43560
183: reward=-38.13 vs 94.84, winner=blue, r_win=0:49:1, win=21:149:13, time=93/43652
184: reward=-30.48 vs 86.69, winner=blue, r_win=0:49:1, win=21:150:13, time=237/43889
185: reward=-39.08 vs 94.94, winner=blue, r_win=0:49:1, win=21:151:13, time=232/44122
186: reward=-32.43 vs 88.58, winner=blue, r_win=0:49:1, win=21:152:13, time=155/44277
187: reward=-32.77 vs 89.16, winner=blue, r_win=0:50:0, win=21:153:13, time=162/44439
188: reward=-37.98 vs 93.95, winner=blue, r_win=0:50:0, win=21:154:13, time=135/44574
189: reward=-36.98 vs 94.21, winner=blue, r_win=0:50:0, win=21:155:13, time=81/44655
190: reward=-36.49 vs 92.72, winner=blue, r_win=0:50:0, win=21:156:13, time=116/44771
191: reward=-36.87 vs 94.18, winner=blue, r_win=0:50:0, win=21:157:13, time=68/44838
192: reward=-35.36 vs 92.39, winner=blue, r_win=0:50:0, win=21:158:13, time=85/44923
193: reward=-37.96 vs 94.14, winner=blue, r_win=0:50:0, win=21:159:13, time=117/45040
194: reward=-38.24 vs 95.35, winner=blue, r_win=0:50:0, win=21:160:13, time=72/45112
195: reward=-36.49 vs 92.72, winner=blue, r_win=0:50:0, win=21:161:13, time=116/45228
196: reward=-32.49 vs 88.47, winner=blue, r_win=0:50:0, win=21:162:13, time=173/45401
197: reward=-36.51 vs 93.02, winner=blue, r_win=0:50:0, win=21:163:13, time=97/45498
198: reward=-31.82 vs 88.56, winner=blue, r_win=0:50:0, win=21:164:13, time=180/45678
199: reward=-36.79 vs 93.73, winner=blue, r_win=0:50:0, win=21:165:13, time=87/45765
200: reward=-32.49 vs 88.73, winner=blue, r_win=0:50:0, win=21:166:13, time=153/45919
201: reward=-36.93 vs 93.08, winner=blue, r_win=0:50:0, win=21:167:13, time=155/46074
202: reward=-33.16 vs 88.89, winner=blue, r_win=0:50:0, win=21:168:13, time=128/46202
203: reward=-36.42 vs 92.79, winner=blue, r_win=0:50:0, win=21:169:13, time=100/46303
204: reward=-34.92 vs 90.81, winner=blue, r_win=0:50:0, win=21:170:13, time=137/46439
205: reward=-36.16 vs 91.89, winner=blue, r_win=0:50:0, win=21:171:13, time=128/46567
206: reward=-36.52 vs 92.79, winner=blue, r_win=0:50:0, win=21:172:13, time=115/46682
207: reward=-30.00 vs 86.25, winner=blue, r_win=0:50:0, win=21:173:13, time=193/46875
208: reward=-31.18 vs 87.45, winner=blue, r_win=0:50:0, win=21:174:13, time=165/47041
209: reward=-36.70 vs 93.25, winner=blue, r_win=0:50:0, win=21:175:13, time=108/47149
210: reward=-31.07 vs 87.18, winner=blue, r_win=0:50:0, win=21:176:13, time=170/47319
211: reward=-35.75 vs 90.87, winner=blue, r_win=0:50:0, win=21:177:13, time=143/47462
212: reward=-36.82 vs 93.81, winner=blue, r_win=0:50:0, win=21:178:13, time=86/47548
213: reward=-38.38 vs 95.21, winner=blue, r_win=0:50:0, win=21:179:13, time=102/47650
214: reward=-30.84 vs 87.09, winner=blue, r_win=0:50:0, win=21:180:13, time=140/47790
215: reward=-36.43 vs 91.83, winner=blue, r_win=0:50:0, win=21:181:13, time=175/47965
216: reward=-35.08 vs 91.44, winner=blue, r_win=0:50:0, win=21:182:13, time=113/48078
217: reward=-35.72 vs 91.04, winner=blue, r_win=0:50:0, win=21:183:13, time=126/48204
218: reward=-35.87 vs 92.92, winner=blue, r_win=0:50:0, win=21:184:13, time=120/48324
219: reward=-35.93 vs 91.57, winner=blue, r_win=0:50:0, win=21:185:13, time=118/48442
220: reward=-34.45 vs 91.87, winner=blue, r_win=0:50:0, win=21:186:13, time=99/48541
221: reward=-36.10 vs 91.75, winner=blue, r_win=0:50:0, win=21:187:13, time=130/48672
