167: reward=82.32 vs -32.33, winner=red, r_win=9:29:12, win=19:126:22, time=243/44381
168: reward=82.42 vs -32.43, winner=red, r_win=10:28:12, win=20:126:22, time=243/44624
169: reward=-17.19 vs -14.99, winner=draw, r_win=10:27:13, win=20:126:23, time=298/44922
170: reward=-33.39 vs 82.12, winner=blue, r_win=10:27:13, win=20:127:23, time=283/45204
171: reward=-32.28 vs 79.95, winner=blue, r_win=10:27:13, win=20:128:23, time=318/45522
172: reward=82.74 vs -32.68, winner=red, r_win=11:26:13, win=21:128:23, time=241/45763
173: reward=-33.16 vs 81.71, winner=blue, r_win=11:26:13, win=21:129:23, time=289/46052
174: reward=62.28 vs -24.31, winner=red, r_win=12:25:13, win=22:129:23, time=796/46848
175: reward=-31.28 vs 77.76, winner=blue, r_win=12:26:12, win=22:130:23, time=360/47207
176: reward=-25.30 vs 62.06, winner=blue, r_win=12:26:12, win=22:131:23, time=895/48102
177: reward=-17.58 vs -15.98, winner=draw, r_win=12:26:12, win=22:131:24, time=234/48335
178: reward=-34.63 vs 85.52, winner=blue, r_win=12:27:11, win=22:132:24, time=217/48552
179: reward=-32.54 vs 80.15, winner=blue, r_win=12:27:11, win=22:133:24, time=320/48872
180: reward=-30.69 vs 75.97, winner=blue, r_win=11:28:11, win=22:134:24, time=405/49277
181: reward=82.26 vs -32.48, winner=red, r_win=12:28:10, win=23:134:24, time=250/49527
182: reward=84.34 vs -33.26, winner=red, r_win=13:28:9, win=24:134:24, time=212/49738
183: reward=-33.41 vs 82.17, winner=blue, r_win=13:29:8, win=24:135:24, time=282/50020
184: reward=-32.80 vs 80.95, winner=blue, r_win=13:29:8, win=24:136:24, time=302/50322
185: reward=83.25 vs -32.70, winner=red, r_win=13:29:8, win=25:136:24, time=227/50549
186: reward=-17.25 vs -15.25, winner=draw, r_win=13:28:9, win=25:136:25, time=282/50830
187: reward=73.90 vs -28.54, winner=red, r_win=14:28:8, win=26:136:25, time=402/51232
188: reward=-32.41 vs 78.31, winner=blue, r_win=14:29:7, win=26:137:25, time=381/51612
189: reward=-31.33 vs 78.03, winner=blue, r_win=14:29:7, win=26:138:25, time=352/51964
190: reward=-31.09 vs 77.43, winner=blue, r_win=14:29:7, win=26:139:25, time=365/52329
191: reward=-30.68 vs 76.25, winner=blue, r_win=14:29:7, win=26:140:25, time=394/52722
192: reward=77.17 vs -29.91, winner=red, r_win=15:29:6, win=27:140:25, time=332/53054
193: reward=64.78 vs -24.95, winner=red, r_win=16:28:6, win=28:140:25, time=670/53723
194: reward=-33.48 vs 82.94, winner=blue, r_win=16:28:6, win=28:141:25, time=260/53983
195: reward=-33.65 vs 80.83, winner=blue, r_win=16:28:6, win=28:142:25, time=335/54318
196: reward=-34.25 vs 84.28, winner=blue, r_win=16:28:6, win=28:143:25, time=242/54560
197: reward=58.71 vs -22.46, winner=red, r_win=16:28:6, win=29:143:25, time=942/55502
198: reward=-33.41 vs 80.67, winner=blue, r_win=16:28:6, win=29:144:25, time=332/55833
199: reward=-33.83 vs 82.62, winner=blue, r_win=16:28:6, win=29:145:25, time=281/56114
200: reward=76.64 vs -29.57, winner=red, r_win=17:27:6, win=30:145:25, time=339/56452
201: reward=64.54 vs -24.85, winner=red, r_win=18:26:6, win=31:145:25, time=679/57131
202: reward=-33.30 vs 82.51, winner=blue, r_win=18:26:6, win=31:146:25, time=268/57399
203: reward=85.59 vs -33.63, winner=red, r_win=19:25:6, win=32:146:25, time=187/57586
204: reward=66.88 vs -26.09, winner=red, r_win=20:25:5, win=33:146:25, time=614/58200
205: reward=-31.15 vs 77.57, winner=blue, r_win=20:26:4, win=33:147:25, time=362/58561
206: reward=67.96 vs -26.52, winner=red, r_win=20:26:4, win=34:147:25, time=579/59140
207: reward=75.35 vs -29.12, winner=red, r_win=20:26:4, win=35:147:25, time=369/59508
208: reward=-31.38 vs 77.99, winner=blue, r_win=20:27:3, win=35:148:25, time=355/59863
209: reward=-33.56 vs 81.65, winner=blue, r_win=20:27:3, win=35:149:25, time=304/60167
210: reward=76.31 vs -29.51, winner=red, r_win=21:26:3, win=36:149:25, time=348/60514
211: reward=-33.80 vs 81.79, winner=blue, r_win=21:26:3, win=36:150:25, time=307/60821
212: reward=-30.15 vs 75.24, winner=blue, r_win=21:26:3, win=36:151:25, time=413/61233
213: reward=-18.21 vs -16.01, winner=draw, r_win=20:26:4, win=36:151:26, time=205/61438
214: reward=75.84 vs -29.26, winner=red, r_win=20:26:4, win=37:151:26, time=356/61794
215: reward=-31.26 vs 77.84, winner=blue, r_win=19:27:4, win=37:152:26, time=356/62150
216: reward=-33.84 vs 81.89, winner=blue, r_win=19:27:4, win=37:153:26, time=305/62454
217: reward=-32.90 vs 81.51, winner=blue, r_win=18:28:4, win=37:154:26, time=287/62741
218: reward=-32.90 vs 81.35, winner=blue, r_win=17:29:4, win=37:155:26, time=292/63032
219: reward=83.49 vs -32.68, winner=red, r_win=18:29:3, win=38:155:26, time=219/63252
220: reward=-33.42 vs 80.40, winner=blue, r_win=18:29:3, win=38:156:26, time=342/63593
221: reward=-33.86 vs 83.46, winner=blue, r_win=18:29:3, win=38:157:26, time=256/63849
222: reward=83.41 vs -32.83, winner=red, r_win=18:29:3, win=39:157:26, time=226/64075
223: reward=84.47 vs -33.31, winner=red, r_win=19:28:3, win=40:157:26, time=209/64284
224: reward=-17.29 vs -14.49, winner=draw, r_win=18:28:4, win=40:157:27, time=318/64602
225: reward=-16.79 vs -15.19, winner=draw, r_win=18:27:5, win=40:157:28, time=308/64909
226: reward=74.49 vs -28.72, winner=red, r_win=19:26:5, win=41:157:28, time=386/65295
227: reward=83.98 vs -32.93, winner=red, r_win=20:26:4, win=42:157:28, time=213/65508
228: reward=-33.30 vs 81.91, winner=blue, r_win=20:26:4, win=42:158:28, time=287/65794
229: reward=81.12 vs -31.85, winner=red, r_win=21:25:4, win=43:158:28, time=266/66060
230: reward=-30.36 vs 75.14, winner=blue, r_win=21:25:4, win=43:159:28, time=425/66485
231: reward=-33.96 vs 82.20, winner=blue, r_win=20:26:4, win=43:160:28, time=299/66783
232: reward=-17.26 vs -15.46, winner=draw, r_win=19:26:5, win=43:160:29, time=272/67055
233: reward=-24.89 vs 62.38, winner=blue, r_win=19:26:5, win=43:161:29, time=833/67887
234: reward=81.79 vs -32.30, winner=red, r_win=20:25:5, win=44:161:29, time=259/68146
235: reward=-32.56 vs 80.65, winner=blue, r_win=19:26:5, win=44:162:29, time=304/68450
236: reward=83.72 vs -32.83, winner=red, r_win=20:26:4, win=45:162:29, time=217/68667
237: reward=83.95 vs -32.98, winner=red, r_win=20:26:4, win=46:162:29, time=215/68882
238: reward=-32.30 vs 80.00, winner=blue, r_win=20:26:4, win=46:163:29, time=317/69198
239: reward=-33.04 vs 81.56, winner=blue, r_win=20:26:4, win=46:164:29, time=290/69488
240: reward=80.32 vs -31.59, winner=red, r_win=21:25:4, win=47:164:29, time=283/69770
241: reward=83.60 vs -32.90, winner=red, r_win=22:24:4, win=48:164:29, time=223/69993
242: reward=-17.59 vs -14.19, winner=draw, r_win=21:24:5, win=48:164:30, time=318/70311
243: reward=-31.97 vs 79.17, winner=blue, r_win=20:25:5, win=48:165:30, time=334/70644
244: reward=-24.67 vs 61.83, winner=blue, r_win=20:25:5, win=48:166:30, time=860/71504
245: reward=82.25 vs -32.00, winner=red, r_win=21:24:5, win=49:166:30, time=236/71740
246: reward=-26.39 vs 64.78, winner=blue, r_win=21:24:5, win=49:167:30, time=765/72504
247: reward=-30.01 vs 74.86, winner=blue, r_win=20:25:5, win=49:168:30, time=422/72926
248: reward=67.62 vs -26.39, winner=red, r_win=21:24:5, win=50:168:30, time=590/73515
249: reward=-32.90 vs 81.35, winner=blue, r_win=21:24:5, win=50:169:30, time=292/73807
250: reward=50.94 vs -18.75, winner=red, r_win=21:24:5, win=51:169:30, time=1572/75379
251: reward=-33.65 vs 82.92, winner=blue, r_win=20:25:5, win=51:170:30, time=266/75645
252: reward=55.61 vs -20.63, winner=red, r_win=21:24:5, win=52:170:30, time=1076/76721
253: reward=-30.97 vs 77.29, winner=blue, r_win=20:25:5, win=52:171:30, time=366/77087
254: reward=63.47 vs -24.37, winner=red, r_win=20:25:5, win=53:171:30, time=716/77803
255: reward=61.62 vs -23.33, winner=red, r_win=21:24:5, win=54:171:30, time=772/78574
256: reward=69.01 vs -26.94, winner=red, r_win=21:24:5, win=55:171:30, time=547/79121
257: reward=-35.32 vs 86.79, winner=blue, r_win=20:25:5, win=55:172:30, time=201/79321
258: reward=76.50 vs -29.58, winner=red, r_win=21:24:5, win=56:172:30, time=344/79665
259: reward=78.25 vs -30.40, winner=red, r_win=22:23:5, win=57:172:30, time=312/79977
260: reward=75.33 vs -28.99, winner=red, r_win=22:23:5, win=58:172:30, time=365/80341
261: reward=-35.29 vs 86.73, winner=blue, r_win=22:23:5, win=58:173:30, time=202/80543
262: reward=64.02 vs -24.53, winner=red, r_win=23:22:5, win=59:173:30, time=691/81234
263: reward=-17.62 vs -14.02, winner=draw, r_win=23:22:5, win=59:173:31, time=325/81558
264: reward=77.22 vs -29.93, winner=red, r_win=23:22:5, win=60:173:31, time=331/81889
265: reward=78.59 vs -30.54, winner=red, r_win=24:21:5, win=61:173:31, time=305/82193
266: reward=52.19 vs -19.62, winner=red, r_win=25:20:5, win=62:173:31, time=1473/83667
267: reward=-31.09 vs 77.43, winner=blue, r_win=25:20:5, win=62:174:31, time=365/84031
268: reward=63.67 vs -24.51, winner=red, r_win=26:19:5, win=63:174:31, time=712/84743
269: reward=-17.54 vs -14.14, winner=draw, r_win=25:19:6, win=63:174:32, time=323/85066
270: reward=68.38 vs -26.69, winner=red, r_win=26:18:6, win=64:174:32, time=566/85631
271: reward=-30.38 vs 75.79, winner=blue, r_win=26:18:6, win=64:175:32, time=400/86031
272: reward=64.22 vs -24.73, winner=red, r_win=26:18:6, win=65:175:32, time=691/86721
273: reward=-17.49 vs -14.09, winner=draw, r_win=25:18:7, win=65:175:33, time=328/87049
274: reward=64.80 vs -25.02, winner=red, r_win=26:18:6, win=66:175:33, time=673/87722
275: reward=69.55 vs -27.22, winner=red, r_win=27:18:5, win=67:175:33, time=534/88255
276: reward=61.93 vs -23.57, winner=red, r_win=27:18:5, win=68:175:33, time=767/89022
277: reward=77.41 vs -30.07, winner=red, r_win=27:18:5, win=69:175:33, time=329/89350
278: reward=75.61 vs -29.17, winner=red, r_win=28:17:5, win=70:175:33, time=361/89711
279: reward=-32.52 vs 80.85, winner=blue, r_win=27:18:5, win=70:176:33, time=296/90007
280: reward=-32.62 vs 80.80, winner=blue, r_win=27:18:5, win=70:177:33, time=301/90307
281: reward=85.79 vs -33.72, winner=red, r_win=28:17:5, win=71:177:33, time=184/90491
282: reward=-34.45 vs 84.92, winner=blue, r_win=28:18:4, win=71:178:33, time=229/90721
283: reward=-32.40 vs 80.10, winner=blue, r_win=28:18:4, win=71:179:33, time=317/91037
284: reward=68.65 vs -26.98, winner=red, r_win=28:18:4, win=72:179:33, time=567/91604
285: reward=83.19 vs -32.67, winner=red, r_win=29:17:4, win=73:179:33, time=228/91832
286: reward=84.33 vs -33.13, winner=red, r_win=29:17:4, win=74:179:33, time=208/92040
287: reward=84.53 vs -33.21, winner=red, r_win=29:17:4, win=75:179:33, time=205/92245
288: reward=-33.96 vs 83.70, winner=blue, r_win=29:17:4, win=75:180:33, time=251/92496
289: reward=-31.64 vs 78.51, winner=blue, r_win=29:17:4, win=75:181:33, time=346/92842
290: reward=68.08 vs -26.81, winner=red, r_win=29:17:4, win=76:181:33, time=588/93430
291: reward=-17.62 vs -13.82, winner=draw, r_win=28:17:5, win=76:181:34, time=336/93765
292: reward=-17.29 vs -15.89, winner=draw, r_win=28:17:5, win=76:181:35, time=250/94015
293: reward=-34.40 vs 84.36, winner=blue, r_win=28:17:5, win=76:182:35, time=245/94260
294: reward=-32.50 vs 80.49, winner=blue, r_win=28:17:5, win=76:183:35, time=307/94566
