121: reward=1.50 vs 92.25, winner=blue, r_win=2:23:25, win=8:50:63, time=118/14271
122: reward=1.00 vs 92.13, winner=blue, r_win=2:24:24, win=8:51:63, time=105/14376
123: reward=0.00 vs 0.00, winner=draw, r_win=2:24:24, win=8:51:64, time=99/14476
124: reward=1.00 vs 0.10, winner=draw, r_win=2:24:24, win=8:51:65, time=110/14586
125: reward=0.00 vs 0.00, winner=draw, r_win=1:24:25, win=8:51:66, time=83/14669
126: reward=90.99 vs 0.10, winner=red, r_win=2:23:25, win=9:51:66, time=147/14816
127: reward=0.00 vs 0.00, winner=draw, r_win=1:23:26, win=9:51:67, time=96/14912
128: reward=1.83 vs 88.93, winner=blue, r_win=1:24:25, win=9:52:67, time=169/15080
129: reward=1.00 vs 0.10, winner=draw, r_win=1:24:25, win=9:52:68, time=118/15199
130: reward=1.00 vs 0.00, winner=draw, r_win=1:23:26, win=9:52:69, time=108/15307
131: reward=1.00 vs 92.36, winner=blue, r_win=1:24:25, win=9:53:69, time=102/15408
132: reward=1.00 vs 0.10, winner=draw, r_win=1:24:25, win=9:53:70, time=148/15556
133: reward=1.00 vs 91.07, winner=blue, r_win=1:24:25, win=9:54:70, time=120/15676
134: reward=2.08 vs 88.82, winner=blue, r_win=1:24:25, win=9:55:70, time=171/15847
135: reward=1.00 vs 91.29, winner=blue, r_win=1:24:25, win=9:56:70, time=117/15964
136: reward=1.00 vs 0.10, winner=draw, r_win=1:23:26, win=9:56:71, time=80/16044
137: reward=1.83 vs 91.02, winner=blue, r_win=1:24:25, win=9:57:71, time=121/16165
138: reward=1.00 vs 0.00, winner=draw, r_win=1:24:25, win=9:57:72, time=108/16274
139: reward=1.00 vs 91.52, winner=blue, r_win=1:24:25, win=9:58:72, time=114/16387
140: reward=1.00 vs 0.10, winner=draw, r_win=1:23:26, win=9:58:73, time=128/16515
141: reward=1.00 vs 0.00, winner=draw, r_win=1:23:26, win=9:58:74, time=130/16645
