133: reward=-32.30 vs 88.56, winner=blue, r_win=0:47:3, win=4:119:10, time=218/31937
134: reward=-31.33 vs 88.52, winner=blue, r_win=0:47:3, win=4:120:10, time=217/32155
135: reward=-32.47 vs 91.38, winner=blue, r_win=0:47:3, win=4:121:10, time=170/32324
136: reward=-30.86 vs 90.36, winner=blue, r_win=0:47:3, win=4:122:10, time=256/32580
137: reward=-33.39 vs 91.27, winner=blue, r_win=0:47:3, win=4:123:10, time=173/32753
138: reward=-33.09 vs 90.52, winner=blue, r_win=0:47:3, win=4:124:10, time=185/32938
139: reward=-35.35 vs 93.78, winner=blue, r_win=0:48:2, win=4:125:10, time=136/33074
140: reward=-31.18 vs 88.14, winner=blue, r_win=0:48:2, win=4:126:10, time=224/33298
141: reward=-33.28 vs 91.00, winner=blue, r_win=0:48:2, win=4:127:10, time=177/33475
142: reward=-31.28 vs 88.39, winner=blue, r_win=0:48:2, win=4:128:10, time=219/33694
143: reward=-33.95 vs 92.67, winner=blue, r_win=0:48:2, win=4:129:10, time=151/33846
144: reward=-34.67 vs 92.06, winner=blue, r_win=0:48:2, win=4:130:10, time=162/34008
145: reward=-31.82 vs 89.75, winner=blue, r_win=0:48:2, win=4:131:10, time=196/34204
146: reward=-34.83 vs 92.48, winner=blue, r_win=0:48:2, win=4:132:10, time=155/34359
147: reward=-33.48 vs 89.11, winner=blue, r_win=0:49:1, win=4:133:10, time=210/34570
148: reward=-34.61 vs 91.92, winner=blue, r_win=0:49:1, win=4:134:10, time=164/34734
149: reward=-33.17 vs 90.72, winner=blue, r_win=0:49:1, win=4:135:10, time=182/34916
150: reward=-34.20 vs 90.89, winner=blue, r_win=0:49:1, win=4:136:10, time=181/35097
151: reward=-34.69 vs 92.13, winner=blue, r_win=0:49:1, win=4:137:10, time=161/35258
152: reward=-12.59 vs -12.59, winner=draw, r_win=0:48:2, win=4:137:11, time=288/35545
153: reward=-30.76 vs 92.34, winner=blue, r_win=0:48:2, win=4:138:11, time=275/35820
154: reward=-32.12 vs 90.49, winner=blue, r_win=0:48:2, win=4:139:11, time=184/36004
155: reward=-32.06 vs 90.94, winner=blue, r_win=0:48:2, win=4:140:11, time=247/36251
156: reward=-31.20 vs 91.05, winner=blue, r_win=0:48:2, win=4:141:11, time=302/36553
157: reward=-35.00 vs 92.91, winner=blue, r_win=0:48:2, win=4:142:11, time=149/36701
158: reward=-31.15 vs 87.91, winner=blue, r_win=0:48:2, win=4:143:11, time=285/36986
159: reward=-31.38 vs 88.65, winner=blue, r_win=0:48:2, win=4:144:11, time=215/37201
160: reward=-31.66 vs 86.79, winner=blue, r_win=0:48:2, win=4:145:11, time=309/37510
161: reward=-32.12 vs 92.45, winner=blue, r_win=0:48:2, win=4:146:11, time=316/37825
162: reward=-33.22 vs 90.86, winner=blue, r_win=0:48:2, win=4:147:11, time=180/38005
163: reward=-31.82 vs 89.75, winner=blue, r_win=0:48:2, win=4:148:11, time=196/38201
164: reward=-34.83 vs 92.48, winner=blue, r_win=0:48:2, win=4:149:11, time=155/38357
165: reward=-34.03 vs 90.49, winner=blue, r_win=0:48:2, win=4:150:11, time=187/38544
166: reward=-34.20 vs 90.89, winner=blue, r_win=0:48:2, win=4:151:11, time=181/38725
167: reward=-31.92 vs 89.70, winner=blue, r_win=0:48:2, win=4:152:11, time=311/39035
168: reward=-34.89 vs 92.63, winner=blue, r_win=0:49:1, win=4:153:11, time=153/39189
169: reward=-31.49 vs 89.38, winner=blue, r_win=0:49:1, win=4:154:11, time=338/39526
170: reward=-32.59 vs 89.26, winner=blue, r_win=0:49:1, win=4:155:11, time=206/39732
171: reward=-13.93 vs 0.37, winner=draw, r_win=0:48:2, win=4:155:12, time=378/40110
172: reward=-30.70 vs 89.19, winner=blue, r_win=0:48:2, win=4:156:12, time=259/40369
173: reward=-31.00 vs 92.19, winner=blue, r_win=0:48:2, win=4:157:12, time=259/40627
174: reward=-33.42 vs 91.34, winner=blue, r_win=0:48:2, win=4:158:12, time=172/40799
175: reward=-13.25 vs -13.25, winner=draw, r_win=0:47:3, win=4:158:13, time=227/41026
176: reward=-30.92 vs 89.60, winner=blue, r_win=0:47:3, win=4:159:13, time=311/41337
