112: reward=71.56 vs 0.00, recent_win=3 vs 44, winner=red, win=9 vs 100, draw=3, time=505/49948
113: reward=0.00 vs 74.44, recent_win=3 vs 44, winner=blue, win=9 vs 101, draw=3, time=430/50377
114: reward=0.00 vs 68.56, recent_win=3 vs 44, winner=blue, win=9 vs 102, draw=3, time=595/50972
115: reward=0.00 vs 75.69, recent_win=3 vs 44, winner=blue, win=9 vs 103, draw=3, time=400/51372
116: reward=0.00 vs 60.12, recent_win=3 vs 44, winner=blue, win=9 vs 104, draw=3, time=959/52330
117: reward=0.00 vs 83.44, recent_win=2 vs 45, winner=blue, win=9 vs 105, draw=3, time=241/52572
118: reward=0.00 vs 71.14, recent_win=2 vs 46, winner=blue, win=9 vs 106, draw=3, time=517/53088
119: reward=62.61 vs 0.00, recent_win=3 vs 45, winner=red, win=10 vs 106, draw=3, time=827/53915
120: reward=0.00 vs 72.82, recent_win=3 vs 45, winner=blue, win=10 vs 107, draw=3, time=471/54385
121: reward=0.00 vs 74.72, recent_win=3 vs 45, winner=blue, win=10 vs 108, draw=3, time=423/54808
122: reward=0.00 vs 68.68, recent_win=3 vs 46, winner=blue, win=10 vs 109, draw=3, time=591/55399
123: reward=0.00 vs 75.39, recent_win=3 vs 46, winner=blue, win=10 vs 110, draw=3, time=407/55805
124: reward=0.00 vs 69.94, recent_win=3 vs 46, winner=blue, win=10 vs 111, draw=3, time=552/56357
125: reward=0.00 vs 69.68, recent_win=3 vs 46, winner=blue, win=10 vs 112, draw=3, time=560/56916
126: reward=0.00 vs 86.65, recent_win=3 vs 46, winner=blue, win=10 vs 113, draw=3, time=186/57103
127: reward=0.00 vs 77.05, recent_win=3 vs 46, winner=blue, win=10 vs 114, draw=3, time=369/57471
128: reward=0.00 vs 73.83, recent_win=3 vs 46, winner=blue, win=10 vs 115, draw=3, time=445/57916
129: reward=0.00 vs 78.58, recent_win=3 vs 46, winner=blue, win=10 vs 116, draw=3, time=336/58251
130: reward=0.00 vs 76.43, recent_win=3 vs 46, winner=blue, win=10 vs 117, draw=3, time=383/58634
131: reward=78.63 vs 0.00, recent_win=4 vs 45, winner=red, win=11 vs 117, draw=3, time=335/58969
132: reward=0.00 vs 77.92, recent_win=4 vs 45, winner=blue, win=11 vs 118, draw=3, time=350/59318
133: reward=0.00 vs 70.17, recent_win=4 vs 45, winner=blue, win=11 vs 119, draw=3, time=545/59863
134: reward=0.00 vs 75.47, recent_win=4 vs 45, winner=blue, win=11 vs 120, draw=3, time=405/60267
135: reward=0.00 vs 79.85, recent_win=4 vs 45, winner=blue, win=11 vs 121, draw=3, time=310/60577
136: reward=0.00 vs 72.22, recent_win=4 vs 45, winner=blue, win=11 vs 122, draw=3, time=487/61064
137: reward=0.00 vs 55.60, recent_win=4 vs 45, winner=blue, win=11 vs 123, draw=3, time=1314/62378
138: reward=0.00 vs 68.10, recent_win=4 vs 45, winner=blue, win=11 vs 124, draw=3, time=610/62987
139: reward=0.00 vs 73.83, recent_win=4 vs 45, winner=blue, win=11 vs 125, draw=3, time=445/63432
140: reward=0.00 vs 74.27, recent_win=4 vs 45, winner=blue, win=11 vs 126, draw=3, time=434/63865
141: reward=0.00 vs 80.60, recent_win=4 vs 45, winner=blue, win=11 vs 127, draw=3, time=295/64160
142: reward=0.00 vs 0.00, recent_win=4 vs 44, winner=draw, win=11 vs 127, draw=4, time=439/64599
143: reward=83.14 vs 0.00, recent_win=5 vs 43, winner=red, win=12 vs 127, draw=4, time=247/64845
144: reward=0.00 vs 59.37, recent_win=5 vs 43, winner=blue, win=12 vs 128, draw=4, time=1005/65850
145: reward=0.00 vs 81.69, recent_win=4 vs 44, winner=blue, win=12 vs 129, draw=4, time=274/66124
146: reward=0.00 vs 76.34, recent_win=4 vs 44, winner=blue, win=12 vs 130, draw=4, time=385/66508
147: reward=0.00 vs 75.31, recent_win=4 vs 44, winner=blue, win=12 vs 131, draw=4, time=409/66917
148: reward=0.00 vs 76.78, recent_win=4 vs 44, winner=blue, win=12 vs 132, draw=4, time=375/67291
149: reward=0.00 vs 78.87, recent_win=4 vs 45, winner=blue, win=12 vs 133, draw=4, time=330/67621
150: reward=0.00 vs 79.60, recent_win=4 vs 45, winner=blue, win=12 vs 134, draw=4, time=315/67936
151: reward=0.00 vs 81.11, recent_win=4 vs 45, winner=blue, win=12 vs 135, draw=4, time=285/68220
152: reward=0.00 vs 78.87, recent_win=4 vs 45, winner=blue, win=12 vs 136, draw=4, time=330/68550
