157: reward=3.00 vs 0.00, win=2 vs 81, recent_win=1 vs 26, draw=74, winner=draw, time=73/20376
158: reward=1.00 vs 0.00, win=2 vs 82, recent_win=1 vs 26, draw=74, winner=blue, time=140/20516
159: reward=1.00 vs 0.00, win=2 vs 82, recent_win=1 vs 26, draw=75, winner=draw, time=103/20619
160: reward=1.00 vs 0.00, win=2 vs 82, recent_win=1 vs 25, draw=76, winner=draw, time=131/20750
161: reward=1.00 vs 0.00, win=2 vs 82, recent_win=1 vs 24, draw=77, winner=draw, time=73/20823
162: reward=1.00 vs 0.00, win=2 vs 83, recent_win=1 vs 24, draw=77, winner=blue, time=143/20966
163: reward=2.00 vs 0.00, win=2 vs 83, recent_win=1 vs 23, draw=78, winner=draw, time=151/21118
164: reward=2.00 vs 0.00, win=2 vs 83, recent_win=1 vs 23, draw=79, winner=draw, time=127/21244
165: reward=4.00 vs 0.00, win=2 vs 84, recent_win=1 vs 24, draw=79, winner=blue, time=122/21367
166: reward=4.00 vs 0.00, win=2 vs 84, recent_win=1 vs 24, draw=80, winner=draw, time=89/21456
167: reward=5.00 vs 0.00, win=2 vs 85, recent_win=1 vs 25, draw=80, winner=blue, time=139/21595
168: reward=5.00 vs 0.00, win=2 vs 86, recent_win=1 vs 25, draw=80, winner=blue, time=88/21684
169: reward=1.00 vs 0.00, win=2 vs 86, recent_win=1 vs 24, draw=81, winner=draw, time=89/21773
170: reward=3.00 vs 0.00, win=2 vs 87, recent_win=1 vs 24, draw=81, winner=blue, time=135/21908
171: reward=3.00 vs 0.00, win=2 vs 87, recent_win=1 vs 23, draw=82, winner=draw, time=83/21991
172: reward=1.00 vs 0.00, win=2 vs 87, recent_win=1 vs 22, draw=83, winner=draw, time=133/22124
173: reward=1.00 vs 0.00, win=2 vs 87, recent_win=1 vs 21, draw=84, winner=draw, time=103/22227
174: reward=1.00 vs 0.00, win=2 vs 87, recent_win=1 vs 20, draw=85, winner=draw, time=133/22361
175: reward=1.00 vs 0.00, win=2 vs 87, recent_win=1 vs 19, draw=86, winner=draw, time=108/22469
176: reward=2.00 vs 0.00, win=2 vs 87, recent_win=1 vs 19, draw=87, winner=draw, time=140/22609
177: reward=1.00 vs 0.00, win=2 vs 88, recent_win=1 vs 20, draw=87, winner=blue, time=111/22720
178: reward=3.00 vs 0.00, win=2 vs 89, recent_win=1 vs 21, draw=87, winner=blue, time=128/22848
179: reward=4.00 vs 0.00, win=2 vs 90, recent_win=1 vs 21, draw=87, winner=blue, time=146/22994
180: reward=1.00 vs 0.00, win=2 vs 91, recent_win=0 vs 22, draw=87, winner=blue, time=119/23113
181: reward=1.00 vs 0.00, win=2 vs 91, recent_win=0 vs 22, draw=88, winner=draw, time=95/23208
182: reward=2.00 vs 0.00, win=2 vs 92, recent_win=0 vs 23, draw=88, winner=blue, time=96/23304
183: reward=2.00 vs 0.00, win=2 vs 92, recent_win=0 vs 23, draw=89, winner=draw, time=82/23386
184: reward=2.00 vs 0.00, win=2 vs 92, recent_win=0 vs 22, draw=90, winner=draw, time=77/23463
185: reward=1.00 vs 0.00, win=2 vs 93, recent_win=0 vs 22, draw=90, winner=blue, time=162/23626
186: reward=4.00 vs 0.00, win=2 vs 94, recent_win=0 vs 23, draw=90, winner=blue, time=132/23758
187: reward=3.00 vs 0.00, win=2 vs 95, recent_win=0 vs 23, draw=90, winner=blue, time=166/23924
188: reward=5.00 vs 0.00, win=2 vs 96, recent_win=0 vs 23, draw=90, winner=blue, time=166/24091
189: reward=5.00 vs 0.00, win=2 vs 96, recent_win=0 vs 22, draw=91, winner=draw, time=92/24183
190: reward=1.00 vs 0.00, win=2 vs 96, recent_win=0 vs 21, draw=92, winner=draw, time=150/24333
191: reward=3.00 vs 0.00, win=2 vs 97, recent_win=0 vs 22, draw=92, winner=blue, time=133/24466
192: reward=2.00 vs 0.00, win=2 vs 98, recent_win=0 vs 23, draw=92, winner=blue, time=103/24569
193: reward=2.00 vs 0.00, win=2 vs 98, recent_win=0 vs 23, draw=93, winner=draw, time=128/24697
194: reward=2.00 vs 0.00, win=2 vs 99, recent_win=0 vs 23, draw=93, winner=blue, time=121/24818
195: reward=4.00 vs 0.00, win=2 vs 100, recent_win=0 vs 24, draw=93, winner=blue, time=136/24954
196: reward=2.00 vs 0.00, win=2 vs 100, recent_win=0 vs 24, draw=94, winner=draw, time=135/25089
197: reward=2.00 vs 0.00, win=2 vs 100, recent_win=0 vs 23, draw=95, winner=draw, time=75/25164
198: reward=2.00 vs 0.00, win=2 vs 100, recent_win=0 vs 23, draw=96, winner=draw, time=73/25237
199: reward=1.00 vs 0.00, win=2 vs 100, recent_win=0 vs 23, draw=97, winner=draw, time=148/25385
200: reward=6.00 vs 0.00, win=2 vs 101, recent_win=0 vs 23, draw=97, winner=blue, time=209/25594
201: reward=4.00 vs 0.00, win=2 vs 102, recent_win=0 vs 24, draw=97, winner=blue, time=168/25762
202: reward=2.00 vs 0.00, win=2 vs 103, recent_win=0 vs 24, draw=97, winner=blue, time=148/25909
203: reward=1.00 vs 0.00, win=2 vs 103, recent_win=0 vs 23, draw=98, winner=draw, time=149/26058
204: reward=1.00 vs 0.00, win=2 vs 103, recent_win=0 vs 23, draw=99, winner=draw, time=93/26151
205: reward=1.00 vs 0.00, win=2 vs 104, recent_win=0 vs 24, draw=99, winner=blue, time=137/26288
206: reward=1.00 vs 0.00, win=2 vs 105, recent_win=0 vs 24, draw=99, winner=blue, time=108/26396
207: reward=1.00 vs 0.00, win=2 vs 106, recent_win=0 vs 25, draw=99, winner=blue, time=118/26514
208: reward=2.00 vs 0.00, win=2 vs 107, recent_win=0 vs 25, draw=99, winner=blue, time=146/26660
209: reward=4.00 vs 0.00, win=2 vs 108, recent_win=0 vs 26, draw=99, winner=blue, time=182/26842
210: reward=1.00 vs 0.00, win=2 vs 108, recent_win=0 vs 26, draw=100, winner=draw, time=105/26947
211: reward=5.00 vs 0.00, win=2 vs 109, recent_win=0 vs 27, draw=100, winner=blue, time=146/27092
212: reward=5.00 vs 0.00, win=2 vs 109, recent_win=0 vs 26, draw=101, winner=draw, time=87/27179
213: reward=1.00 vs 0.00, win=2 vs 110, recent_win=0 vs 27, draw=101, winner=blue, time=143/27323
214: reward=1.00 vs 0.00, win=2 vs 111, recent_win=0 vs 28, draw=101, winner=blue, time=125/27448
215: reward=1.00 vs 0.00, win=2 vs 111, recent_win=0 vs 27, draw=102, winner=draw, time=94/27541
216: reward=1.00 vs 0.00, win=2 vs 112, recent_win=0 vs 28, draw=102, winner=blue, time=136/27677
217: reward=1.00 vs 0.00, win=2 vs 113, recent_win=0 vs 28, draw=102, winner=blue, time=130/27807
218: reward=2.00 vs 0.00, win=2 vs 113, recent_win=0 vs 27, draw=103, winner=draw, time=143/27951
219: reward=3.00 vs 0.00, win=2 vs 114, recent_win=0 vs 28, draw=103, winner=blue, time=163/28114
220: reward=1.00 vs 0.00, win=2 vs 115, recent_win=0 vs 28, draw=103, winner=blue, time=141/28255
221: reward=1.00 vs 0.00, win=2 vs 116, recent_win=0 vs 29, draw=103, winner=blue, time=130/28385
222: reward=1.00 vs 0.00, win=2 vs 117, recent_win=0 vs 30, draw=103, winner=blue, time=107/28492
223: reward=1.00 vs 0.00, win=2 vs 117, recent_win=0 vs 30, draw=104, winner=draw, time=119/28612
224: reward=1.00 vs 0.00, win=2 vs 118, recent_win=0 vs 31, draw=104, winner=blue, time=104/28715
225: reward=2.00 vs 0.00, win=2 vs 118, recent_win=0 vs 31, draw=105, winner=draw, time=98/28814
226: reward=1.00 vs 0.00, win=2 vs 118, recent_win=0 vs 31, draw=106, winner=draw, time=97/28911
227: reward=3.00 vs 0.00, win=2 vs 119, recent_win=0 vs 31, draw=106, winner=blue, time=111/29022
228: reward=4.00 vs 0.00, win=2 vs 120, recent_win=0 vs 31, draw=106, winner=blue, time=139/29161
229: reward=4.00 vs 0.00, win=2 vs 120, recent_win=0 vs 30, draw=107, winner=draw, time=68/29229
230: reward=4.00 vs 0.00, win=2 vs 120, recent_win=0 vs 29, draw=108, winner=draw, time=135/29364
231: reward=4.00 vs 0.00, win=2 vs 120, recent_win=0 vs 29, draw=109, winner=draw, time=75/29439
232: reward=2.00 vs 0.00, win=2 vs 121, recent_win=0 vs 29, draw=109, winner=blue, time=157/29595
233: reward=1.00 vs 0.00, win=2 vs 122, recent_win=0 vs 30, draw=109, winner=blue, time=165/29761
234: reward=1.00 vs 0.00, win=2 vs 122, recent_win=0 vs 30, draw=110, winner=draw, time=137/29898
235: reward=6.00 vs 0.00, win=2 vs 123, recent_win=0 vs 30, draw=110, winner=blue, time=204/30101
236: reward=6.00 vs 0.00, win=2 vs 123, recent_win=0 vs 29, draw=111, winner=draw, time=73/30174
237: reward=6.00 vs 0.00, win=2 vs 123, recent_win=0 vs 28, draw=112, winner=draw, time=71/30245
238: reward=6.00 vs 0.00, win=2 vs 123, recent_win=0 vs 27, draw=113, winner=draw, time=157/30402
239: reward=1.00 vs 0.00, win=2 vs 124, recent_win=0 vs 28, draw=113, winner=blue, time=120/30522
240: reward=1.00 vs 0.00, win=2 vs 124, recent_win=0 vs 28, draw=114, winner=draw, time=77/30600
241: reward=1.00 vs 0.00, win=2 vs 124, recent_win=0 vs 27, draw=115, winner=draw, time=129/30729
242: reward=1.00 vs 0.00, win=2 vs 125, recent_win=0 vs 27, draw=115, winner=blue, time=133/30862
243: reward=3.00 vs 0.00, win=2 vs 126, recent_win=0 vs 28, draw=115, winner=blue, time=114/30976
244: reward=2.00 vs 0.00, win=2 vs 127, recent_win=0 vs 28, draw=115, winner=blue, time=147/31123
245: reward=2.00 vs 0.00, win=2 vs 127, recent_win=0 vs 27, draw=116, winner=draw, time=128/31251
246: reward=4.00 vs 0.00, win=2 vs 128, recent_win=0 vs 28, draw=116, winner=blue, time=132/31383
247: reward=4.00 vs 0.00, win=2 vs 129, recent_win=0 vs 29, draw=116, winner=blue, time=129/31512
248: reward=2.00 vs 0.00, win=2 vs 129, recent_win=0 vs 29, draw=117, winner=draw, time=124/31636
249: reward=2.00 vs 0.00, win=2 vs 129, recent_win=0 vs 29, draw=118, winner=draw, time=133/31769
250: reward=1.00 vs 0.00, win=2 vs 130, recent_win=0 vs 29, draw=118, winner=blue, time=130/31899
251: reward=1.00 vs 0.00, win=2 vs 130, recent_win=0 vs 28, draw=119, winner=draw, time=81/31980
252: reward=1.00 vs 0.00, win=2 vs 130, recent_win=0 vs 27, draw=120, winner=draw, time=77/32057
253: reward=1.00 vs 0.00, win=2 vs 130, recent_win=0 vs 27, draw=121, winner=draw, time=102/32159
254: reward=1.00 vs 0.00, win=2 vs 131, recent_win=0 vs 28, draw=121, winner=blue, time=139/32298
