154: reward=92.75 vs 0.00, winner=red, r_win=18:3:29, win=68:6:80, time=108/13022
155: reward=0.00 vs 0.00, winner=draw, r_win=17:3:30, win=68:6:81, time=91/13112
156: reward=95.21 vs 0.00, winner=red, r_win=17:3:30, win=69:6:81, time=81/13193
157: reward=0.00 vs 0.00, winner=draw, r_win=17:3:30, win=69:6:82, time=49/13242
158: reward=2.08 vs 91.20, winner=blue, r_win=17:4:29, win=69:7:82, time=119/13361
159: reward=95.61 vs 0.00, winner=red, r_win=18:4:28, win=70:7:82, time=75/13436
160: reward=0.00 vs 0.00, winner=draw, r_win=18:4:28, win=70:7:83, time=98/13535
161: reward=1.50 vs 0.15, winner=draw, r_win=18:4:28, win=70:7:84, time=143/13678
162: reward=0.00 vs 0.00, winner=draw, r_win=18:4:28, win=70:7:85, time=88/13767
163: reward=93.60 vs 0.00, winner=red, r_win=19:3:28, win=71:7:85, time=96/13863
164: reward=92.98 vs 0.00, winner=red, r_win=19:3:28, win=72:7:85, time=105/13968
165: reward=0.00 vs 0.00, winner=draw, r_win=19:3:28, win=72:7:86, time=63/14031
166: reward=0.00 vs 0.00, winner=draw, r_win=18:3:29, win=72:7:87, time=53/14084
167: reward=94.95 vs 0.00, winner=red, r_win=19:3:28, win=73:7:87, time=77/14161
168: reward=0.00 vs 0.00, winner=draw, r_win=18:3:29, win=73:7:88, time=54/14216
169: reward=0.00 vs 0.00, winner=draw, r_win=17:3:30, win=73:7:89, time=65/14281
170: reward=96.15 vs 0.00, winner=red, r_win=17:3:30, win=74:7:89, time=61/14342
171: reward=0.00 vs 0.00, winner=draw, r_win=17:3:30, win=74:7:90, time=57/14399
172: reward=95.61 vs 0.00, winner=red, r_win=18:3:29, win=75:7:90, time=75/14474
173: reward=2.08 vs 90.01, winner=blue, r_win=18:4:28, win=75:8:90, time=152/14627
174: reward=93.99 vs 0.00, winner=red, r_win=19:4:27, win=76:8:90, time=91/14717
175: reward=0.00 vs 0.00, winner=draw, r_win=18:4:28, win=76:8:91, time=92/14809
176: reward=95.68 vs 0.00, winner=red, r_win=18:4:28, win=77:8:91, time=68/14876
177: reward=92.83 vs 0.00, winner=red, r_win=19:4:27, win=78:8:91, time=107/14984
178: reward=96.02 vs 0.00, winner=red, r_win=20:4:26, win=79:8:91, time=70/15053
179: reward=0.00 vs 0.00, winner=draw, r_win=20:3:27, win=79:8:92, time=52/15105
180: reward=0.00 vs 0.00, winner=draw, r_win=19:3:28, win=79:8:93, time=59/15165
181: reward=0.00 vs 0.00, winner=draw, r_win=19:3:28, win=79:8:94, time=52/15217
182: reward=93.37 vs 0.00, winner=red, r_win=20:3:27, win=80:8:94, time=99/15316
183: reward=93.56 vs 0.00, winner=red, r_win=20:3:27, win=81:8:94, time=104/15420
184: reward=95.29 vs 0.00, winner=red, r_win=21:3:26, win=82:8:94, time=80/15500
185: reward=94.81 vs 0.00, winner=red, r_win=21:3:26, win=83:8:94, time=86/15586
186: reward=93.17 vs 0.00, winner=red, r_win=22:3:25, win=84:8:94, time=109/15695
187: reward=93.06 vs 0.00, winner=red, r_win=23:2:25, win=85:8:94, time=104/15799
188: reward=94.55 vs 0.00, winner=red, r_win=24:2:24, win=86:8:94, time=83/15882
189: reward=95.69 vs 0.00, winner=red, r_win=24:2:24, win=87:8:94, time=74/15956
190: reward=96.08 vs 0.00, winner=red, r_win=25:2:23, win=88:8:94, time=62/16018
191: reward=96.30 vs 0.00, winner=red, r_win=25:2:23, win=89:8:94, time=59/16077
192: reward=93.06 vs 0.00, winner=red, r_win=26:2:22, win=90:8:94, time=104/16181
193: reward=95.61 vs 0.00, winner=red, r_win=27:2:21, win=91:8:94, time=75/16256
194: reward=91.97 vs 0.00, winner=red, r_win=28:2:20, win=92:8:94, time=127/16383
195: reward=0.00 vs 0.00, winner=draw, r_win=28:2:20, win=92:8:95, time=51/16434
196: reward=0.00 vs 0.00, winner=draw, r_win=28:2:20, win=92:8:96, time=104/16538
197: reward=93.29 vs 0.00, winner=red, r_win=28:2:20, win=93:8:96, time=100/16639
198: reward=95.84 vs 0.00, winner=red, r_win=29:2:19, win=94:8:96, time=65/16704
199: reward=0.00 vs 0.00, winner=draw, r_win=29:2:19, win=94:8:97, time=51/16755
200: reward=1.00 vs 0.00, winner=draw, r_win=29:2:19, win=94:8:98, time=68/16823
201: reward=93.17 vs 0.00, winner=red, r_win=29:2:19, win=95:8:98, time=109/16932
202: reward=0.00 vs 0.00, winner=draw, r_win=28:2:20, win=95:8:99, time=102/17034
203: reward=95.53 vs 0.00, winner=red, r_win=29:2:19, win=96:8:99, time=76/17110
204: reward=94.39 vs 0.00, winner=red, r_win=29:2:19, win=97:8:99, time=85/17195
205: reward=95.43 vs 0.00, winner=red, r_win=30:2:18, win=98:8:99, time=71/17266
206: reward=95.53 vs 0.00, winner=red, r_win=30:2:18, win=99:8:99, time=76/17342
207: reward=96.00 vs 0.00, winner=red, r_win=31:2:17, win=100:8:99, time=63/17405
208: reward=93.52 vs 0.00, winner=red, r_win=32:1:17, win=101:8:99, time=97/17503
209: reward=0.00 vs 0.00, winner=draw, r_win=31:1:18, win=101:8:100, time=53/17556
210: reward=0.00 vs 0.00, winner=draw, r_win=31:1:18, win=101:8:101, time=61/17617
211: reward=0.00 vs 0.00, winner=draw, r_win=31:1:18, win=101:8:102, time=93/17710
212: reward=96.02 vs 0.00, winner=red, r_win=32:1:17, win=102:8:102, time=70/17779
213: reward=96.18 vs 0.00, winner=red, r_win=32:1:17, win=103:8:102, time=68/17847
214: reward=95.45 vs 0.00, winner=red, r_win=32:1:17, win=104:8:102, time=77/17924
215: reward=92.07 vs 0.00, winner=red, r_win=33:1:16, win=105:8:102, time=118/18042
216: reward=0.00 vs 0.00, winner=draw, r_win=33:1:16, win=105:8:103, time=104/18146
217: reward=0.00 vs 0.00, winner=draw, r_win=32:1:17, win=105:8:104, time=100/18247
218: reward=0.00 vs 0.00, winner=draw, r_win=32:1:17, win=105:8:105, time=107/18354
219: reward=0.00 vs 0.00, winner=draw, r_win=32:1:17, win=105:8:106, time=60/18414
220: reward=95.53 vs 0.00, winner=red, r_win=32:1:17, win=106:8:106, time=76/18490
221: reward=92.98 vs 0.00, winner=red, r_win=33:1:16, win=107:8:106, time=105/18595
222: reward=95.93 vs 0.00, winner=red, r_win=33:1:16, win=108:8:106, time=71/18666
223: reward=1.00 vs 0.00, winner=draw, r_win=33:0:17, win=108:8:107, time=94/18760
224: reward=95.19 vs 0.00, winner=red, r_win=33:0:17, win=109:8:107, time=74/18834
225: reward=0.00 vs 0.00, winner=draw, r_win=33:0:17, win=109:8:108, time=59/18893
226: reward=0.00 vs 0.00, winner=draw, r_win=32:0:18, win=109:8:109, time=87/18981
227: reward=93.21 vs 0.00, winner=red, r_win=32:0:18, win=110:8:109, time=102/19082
228: reward=95.68 vs 0.00, winner=red, r_win=32:0:18, win=111:8:109, time=68/19150
229: reward=95.45 vs 0.00, winner=red, r_win=33:0:17, win=112:8:109, time=77/19227
230: reward=93.13 vs 0.00, winner=red, r_win=34:0:16, win=113:8:109, time=103/19330
231: reward=95.60 vs 0.00, winner=red, r_win=35:0:15, win=114:8:109, time=69/19398
232: reward=94.87 vs 0.00, winner=red, r_win=35:0:15, win=115:8:109, time=78/19477
233: reward=96.02 vs 0.00, winner=red, r_win=35:0:15, win=116:8:109, time=70/19547
234: reward=94.39 vs 0.00, winner=red, r_win=35:0:15, win=117:8:109, time=85/19632
235: reward=0.00 vs 0.00, winner=draw, r_win=34:0:16, win=117:8:110, time=91/19722
236: reward=0.00 vs 0.00, winner=draw, r_win=33:0:17, win=117:8:111, time=76/19799
237: reward=92.75 vs 0.00, winner=red, r_win=33:0:17, win=118:8:111, time=108/19907
238: reward=1.00 vs 0.00, winner=draw, r_win=32:0:18, win=118:8:112, time=119/20026
239: reward=95.53 vs 0.00, winner=red, r_win=32:0:18, win=119:8:112, time=76/20102
240: reward=0.00 vs 0.00, winner=draw, r_win=31:0:19, win=119:8:113, time=63/20165
241: reward=93.37 vs 0.00, winner=red, r_win=31:0:19, win=120:8:113, time=99/20265
242: reward=92.90 vs 0.00, winner=red, r_win=31:0:19, win=121:8:113, time=106/20371
243: reward=0.00 vs 0.00, winner=draw, r_win=30:0:20, win=121:8:114, time=55/20426
244: reward=95.69 vs 0.00, winner=red, r_win=30:0:20, win=122:8:114, time=74/20500
245: reward=95.03 vs 0.00, winner=red, r_win=31:0:19, win=123:8:114, time=76/20576
246: reward=0.00 vs 0.00, winner=draw, r_win=31:0:19, win=123:8:115, time=104/20680
247: reward=93.84 vs 0.00, winner=red, r_win=31:0:19, win=124:8:115, time=93/20773
248: reward=0.00 vs 0.00, winner=draw, r_win=30:0:20, win=124:8:116, time=74/20847
249: reward=94.49 vs 0.00, winner=red, r_win=31:0:19, win=125:8:116, time=91/20938
250: reward=93.21 vs 0.00, winner=red, r_win=32:0:18, win=126:8:116, time=102/21039
251: reward=0.00 vs 0.00, winner=draw, r_win=31:0:19, win=126:8:117, time=53/21093
252: reward=2.45 vs 90.12, winner=blue, r_win=31:1:18, win=126:9:117, time=136/21228
253: reward=94.10 vs 0.00, winner=red, r_win=31:1:18, win=127:9:117, time=96/21324
254: reward=0.00 vs 0.00, winner=draw, r_win=30:1:19, win=127:9:118, time=99/21424
255: reward=95.69 vs 0.00, winner=red, r_win=30:1:19, win=128:9:118, time=74/21498
256: reward=95.45 vs 0.00, winner=red, r_win=30:1:19, win=129:9:118, time=77/21575
257: reward=0.00 vs 0.00, winner=draw, r_win=29:1:20, win=129:9:119, time=94/21669
258: reward=94.79 vs 0.00, winner=red, r_win=29:1:20, win=130:9:119, time=80/21749
259: reward=0.00 vs 0.00, winner=draw, r_win=29:1:20, win=130:9:120, time=100/21849
260: reward=1.50 vs 0.15, winner=draw, r_win=29:1:20, win=130:9:121, time=95/21944
261: reward=95.85 vs 0.00, winner=red, r_win=30:1:19, win=131:9:121, time=72/22016
262: reward=96.30 vs 0.00, winner=red, r_win=30:1:19, win=132:9:121, time=59/22075
263: reward=96.76 vs 0.00, winner=red, r_win=30:1:19, win=133:9:121, time=53/22129
264: reward=0.00 vs 0.00, winner=draw, r_win=29:1:20, win=133:9:122, time=88/22217
265: reward=0.00 vs 0.00, winner=draw, r_win=28:1:21, win=133:9:123, time=82/22299
266: reward=93.60 vs 0.00, winner=red, r_win=29:1:20, win=134:9:123, time=96/22395
267: reward=95.93 vs 0.00, winner=red, r_win=30:1:19, win=135:9:123, time=71/22466
268: reward=0.00 vs 0.00, winner=draw, r_win=30:1:19, win=135:9:124, time=102/22567
269: reward=0.00 vs 0.00, winner=draw, r_win=30:1:19, win=135:9:125, time=58/22625
270: reward=92.52 vs 0.00, winner=red, r_win=30:1:19, win=136:9:125, time=111/22737
271: reward=95.53 vs 0.00, winner=red, r_win=30:1:19, win=137:9:125, time=76/22813
272: reward=95.03 vs 0.00, winner=red, r_win=30:1:19, win=138:9:125, time=76/22890
273: reward=92.27 vs 0.00, winner=red, r_win=31:1:18, win=139:9:125, time=122/23012
274: reward=0.00 vs 0.00, winner=draw, r_win=30:1:19, win=139:9:126, time=100/23113
