192: reward=78.33 vs -31.99, winner=red, r_win=47:2:1, win=181:10:1, time=365/69547
193: reward=-31.20 vs 79.50, winner=blue, r_win=46:3:1, win=181:11:1, time=297/69844
194: reward=76.60 vs -31.06, winner=red, r_win=46:3:1, win=182:11:1, time=395/70239
195: reward=81.65 vs -33.32, winner=red, r_win=46:3:1, win=183:11:1, time=296/70534
196: reward=80.55 vs -32.88, winner=red, r_win=46:3:1, win=184:11:1, time=318/70852
197: reward=79.67 vs -32.47, winner=red, r_win=46:3:1, win=185:11:1, time=334/71185
198: reward=79.92 vs -32.63, winner=red, r_win=46:3:1, win=186:11:1, time=331/71516
199: reward=79.37 vs -32.17, winner=red, r_win=46:3:1, win=187:11:1, time=334/71850
200: reward=-33.60 vs 85.19, winner=blue, r_win=45:4:1, win=187:12:1, time=197/72047
201: reward=-32.26 vs 82.00, winner=blue, r_win=44:5:1, win=187:13:1, time=251/72298
202: reward=79.30 vs -32.32, winner=red, r_win=44:5:1, win=188:13:1, time=342/72640
203: reward=77.77 vs -31.65, winner=red, r_win=44:5:1, win=189:13:1, time=373/73012
204: reward=79.86 vs -32.42, winner=red, r_win=44:5:1, win=190:13:1, time=326/73338
205: reward=79.77 vs -32.45, winner=red, r_win=44:5:1, win=191:13:1, time=330/73667
206: reward=78.87 vs -32.09, winner=red, r_win=44:5:1, win=192:13:1, time=349/74016
207: reward=72.53 vs -29.37, winner=red, r_win=44:5:1, win=193:13:1, time=495/74511
208: reward=80.01 vs -32.48, winner=red, r_win=44:5:1, win=194:13:1, time=323/74833
209: reward=75.83 vs -30.57, winner=red, r_win=45:4:1, win=195:13:1, time=406/75239
210: reward=79.49 vs -32.46, winner=red, r_win=45:4:1, win=196:13:1, time=340/75578
211: reward=72.81 vs -29.54, winner=red, r_win=45:4:1, win=197:13:1, time=490/76068
212: reward=75.65 vs -30.74, winner=red, r_win=45:4:1, win=198:13:1, time=420/76488
213: reward=78.02 vs -31.87, winner=red, r_win=45:4:1, win=199:13:1, time=372/76859
214: reward=79.71 vs -32.37, winner=red, r_win=45:4:1, win=200:13:1, time=329/77188
215: reward=77.69 vs -31.68, winner=red, r_win=45:4:1, win=201:13:1, time=377/77564
216: reward=78.68 vs -32.01, winner=red, r_win=45:4:1, win=202:13:1, time=353/77917
217: reward=77.43 vs -31.33, winner=red, r_win=46:3:1, win=203:13:1, time=374/78291
218: reward=73.78 vs -29.69, winner=red, r_win=46:3:1, win=204:13:1, time=454/78744
219: reward=78.81 vs -31.94, winner=red, r_win=46:3:1, win=205:13:1, time=346/79090
220: reward=-36.90 vs 91.95, winner=blue, r_win=45:4:1, win=205:14:1, time=108/79198
221: reward=75.76 vs -30.61, winner=red, r_win=45:4:1, win=206:14:1, time=410/79608
222: reward=77.47 vs -31.59, winner=red, r_win=45:4:1, win=207:14:1, time=382/79989
223: reward=78.33 vs -31.99, winner=red, r_win=45:4:1, win=208:14:1, time=365/80354
224: reward=79.86 vs -32.42, winner=red, r_win=45:4:1, win=209:14:1, time=326/80679
225: reward=77.61 vs -31.71, winner=red, r_win=45:4:1, win=210:14:1, time=381/81060
226: reward=77.34 vs -31.54, winner=red, r_win=45:4:1, win=211:14:1, time=385/81445
227: reward=79.02 vs -32.27, winner=red, r_win=45:4:1, win=212:14:1, time=350/81794
228: reward=79.86 vs -32.42, winner=red, r_win=45:4:1, win=213:14:1, time=326/82120
229: reward=77.92 vs -31.77, winner=red, r_win=45:4:1, win=214:14:1, time=372/82491
230: reward=78.00 vs -31.74, winner=red, r_win=45:4:1, win=215:14:1, time=368/82859
231: reward=79.82 vs -32.53, winner=red, r_win=45:4:1, win=216:14:1, time=331/83190
232: reward=78.28 vs -31.91, winner=red, r_win=45:4:1, win=217:14:1, time=364/83553
233: reward=79.96 vs -32.59, winner=red, r_win=45:4:1, win=218:14:1, time=328/83881
234: reward=80.25 vs -32.70, winner=red, r_win=45:4:1, win=219:14:1, time=322/84202
235: reward=77.63 vs -31.53, winner=red, r_win=45:4:1, win=220:14:1, time=374/84576
236: reward=-32.16 vs 81.76, winner=blue, r_win=44:5:1, win=220:15:1, time=256/84832
237: reward=80.30 vs -32.66, winner=red, r_win=44:5:1, win=221:15:1, time=319/85150
238: reward=80.11 vs -32.70, winner=red, r_win=44:5:1, win=222:15:1, time=327/85477
239: reward=79.57 vs -32.31, winner=red, r_win=44:5:1, win=223:15:1, time=332/85808
240: reward=78.53 vs -31.89, winner=red, r_win=45:5:0, win=224:15:1, time=354/86162
241: reward=75.68 vs -30.57, winner=red, r_win=45:5:0, win=225:15:1, time=412/86574
242: reward=74.71 vs -30.24, winner=red, r_win=45:5:0, win=226:15:1, time=438/87011
243: reward=-31.20 vs 79.35, winner=blue, r_win=45:5:0, win=226:16:1, time=302/87313
244: reward=78.17 vs -31.75, winner=red, r_win=45:5:0, win=227:16:1, time=362/87674
245: reward=74.00 vs -29.96, winner=red, r_win=45:5:0, win=228:16:1, time=456/88130
246: reward=79.53 vs -32.41, winner=red, r_win=45:5:0, win=229:16:1, time=337/88467
247: reward=77.84 vs -31.79, winner=red, r_win=45:5:0, win=230:16:1, time=376/88842
248: reward=77.93 vs -31.83, winner=red, r_win=45:5:0, win=231:16:1, time=374/89216
249: reward=79.44 vs -32.44, winner=red, r_win=45:5:0, win=232:16:1, time=341/89556
250: reward=75.91 vs -30.72, winner=red, r_win=46:4:0, win=233:16:1, time=409/89965
251: reward=79.76 vs -32.39, winner=red, r_win=47:3:0, win=234:16:1, time=328/90293
252: reward=80.40 vs -32.82, winner=red, r_win=47:3:0, win=235:16:1, time=321/90613
253: reward=78.50 vs -31.94, winner=red, r_win=47:3:0, win=236:16:1, time=357/90970
254: reward=76.83 vs -31.21, winner=red, r_win=47:3:0, win=237:16:1, time=392/91361
255: reward=80.16 vs -32.66, winner=red, r_win=47:3:0, win=238:16:1, time=324/91685
256: reward=77.91 vs -31.70, winner=red, r_win=47:3:0, win=239:16:1, time=370/92055
257: reward=81.04 vs -33.08, winner=red, r_win=47:3:0, win=240:16:1, time=308/92362
258: reward=79.58 vs -32.49, winner=red, r_win=47:3:0, win=241:16:1, time=338/92700
