124: reward=0.90 vs 96.87, reward_evade=1.00 vs 2.00, win=0 vs 124, recent_win=0 vs 50, draw=0, winner=blue, time=78/10828
125: reward=0.90 vs 96.03, reward_evade=1.00 vs 1.00, win=0 vs 125, recent_win=0 vs 50, draw=0, winner=blue, time=76/10905
126: reward=0.90 vs 96.55, reward_evade=1.00 vs 2.00, win=0 vs 126, recent_win=0 vs 50, draw=0, winner=blue, time=83/10988
127: reward=0.90 vs 97.03, reward_evade=1.00 vs 2.00, win=0 vs 127, recent_win=0 vs 50, draw=0, winner=blue, time=76/11064
128: reward=0.90 vs 97.23, reward_evade=1.00 vs 1.00, win=0 vs 128, recent_win=0 vs 50, draw=0, winner=blue, time=60/11124
129: reward=0.90 vs 93.69, reward_evade=1.00 vs 2.00, win=0 vs 129, recent_win=0 vs 50, draw=0, winner=blue, time=124/11248
130: reward=0.90 vs 95.06, reward_evade=1.00 vs 2.00, win=0 vs 130, recent_win=0 vs 50, draw=0, winner=blue, time=104/11352
131: reward=0.90 vs 94.91, reward_evade=1.00 vs 1.00, win=0 vs 131, recent_win=0 vs 50, draw=0, winner=blue, time=92/11443
132: reward=0.90 vs 97.35, reward_evade=1.00 vs 2.00, win=0 vs 132, recent_win=0 vs 50, draw=0, winner=blue, time=72/11515
133: reward=0.90 vs 93.90, reward_evade=1.00 vs 1.00, win=0 vs 133, recent_win=0 vs 50, draw=0, winner=blue, time=106/11621
134: reward=0.90 vs 96.95, reward_evade=1.00 vs 2.00, win=0 vs 134, recent_win=0 vs 50, draw=0, winner=blue, time=77/11699
135: reward=0.90 vs 95.34, reward_evade=1.00 vs 2.00, win=0 vs 135, recent_win=0 vs 50, draw=0, winner=blue, time=98/11797
136: reward=0.90 vs 96.34, reward_evade=1.00 vs 3.00, win=0 vs 136, recent_win=0 vs 50, draw=0, winner=blue, time=98/11895
137: reward=0.90 vs 94.60, reward_evade=1.00 vs 2.00, win=0 vs 137, recent_win=0 vs 50, draw=0, winner=blue, time=110/12006
138: reward=0.90 vs 96.63, reward_evade=1.00 vs 2.00, win=0 vs 138, recent_win=0 vs 50, draw=0, winner=blue, time=82/12087
139: reward=0.90 vs 97.30, reward_evade=1.00 vs 1.00, win=0 vs 139, recent_win=0 vs 50, draw=0, winner=blue, time=59/12147
140: reward=0.90 vs 97.52, reward_evade=1.00 vs 2.00, win=0 vs 140, recent_win=0 vs 50, draw=0, winner=blue, time=70/12216
141: reward=0.90 vs 94.29, reward_evade=1.00 vs 1.00, win=0 vs 141, recent_win=0 vs 50, draw=0, winner=blue, time=100/12317
142: reward=0.90 vs 97.45, reward_evade=1.00 vs 1.00, win=0 vs 142, recent_win=0 vs 50, draw=0, winner=blue, time=57/12374
143: reward=0.90 vs 96.35, reward_evade=1.00 vs 1.00, win=0 vs 143, recent_win=0 vs 50, draw=0, winner=blue, time=72/12446
144: reward=0.90 vs 96.52, reward_evade=1.00 vs 1.00, win=0 vs 144, recent_win=0 vs 50, draw=0, winner=blue, time=70/12516
145: reward=0.90 vs 97.35, reward_evade=1.00 vs 2.00, win=0 vs 145, recent_win=0 vs 50, draw=0, winner=blue, time=72/12587
146: reward=0.90 vs 94.52, reward_evade=1.00 vs 1.00, win=0 vs 146, recent_win=0 vs 50, draw=0, winner=blue, time=97/12685
147: reward=0.90 vs 93.67, reward_evade=1.00 vs 1.00, win=0 vs 147, recent_win=0 vs 50, draw=0, winner=blue, time=109/12794
148: reward=0.90 vs 97.43, reward_evade=1.00 vs 2.00, win=0 vs 148, recent_win=0 vs 50, draw=0, winner=blue, time=71/12865
149: reward=0.90 vs 96.87, reward_evade=1.00 vs 2.00, win=0 vs 149, recent_win=0 vs 50, draw=0, winner=blue, time=78/12943
150: reward=0.90 vs 96.87, reward_evade=1.00 vs 2.00, win=0 vs 150, recent_win=0 vs 50, draw=0, winner=blue, time=78/13022
151: reward=0.90 vs 96.95, reward_evade=1.00 vs 2.00, win=0 vs 151, recent_win=0 vs 50, draw=0, winner=blue, time=77/13099
152: reward=0.90 vs 97.53, reward_evade=1.00 vs 1.00, win=0 vs 152, recent_win=0 vs 50, draw=0, winner=blue, time=56/13155
153: reward=0.90 vs 93.90, reward_evade=1.00 vs 1.00, win=0 vs 153, recent_win=0 vs 50, draw=0, winner=blue, time=106/13261
154: reward=0.90 vs 97.27, reward_evade=1.00 vs 2.00, win=0 vs 154, recent_win=0 vs 50, draw=0, winner=blue, time=73/13334
155: reward=0.90 vs 94.60, reward_evade=1.00 vs 1.00, win=0 vs 155, recent_win=0 vs 50, draw=0, winner=blue, time=96/13430
156: reward=0.90 vs 96.93, reward_evade=1.00 vs 1.00, win=0 vs 156, recent_win=0 vs 50, draw=0, winner=blue, time=64/13495
157: reward=0.90 vs 93.82, reward_evade=1.00 vs 2.00, win=0 vs 157, recent_win=0 vs 50, draw=0, winner=blue, time=120/13615
158: reward=0.90 vs 97.15, reward_evade=1.00 vs 1.00, win=0 vs 158, recent_win=0 vs 50, draw=0, winner=blue, time=61/13676
159: reward=0.90 vs 96.95, reward_evade=1.00 vs 2.00, win=0 vs 159, recent_win=0 vs 50, draw=0, winner=blue, time=77/13754
160: reward=0.90 vs 97.03, reward_evade=1.00 vs 2.00, win=0 vs 160, recent_win=0 vs 50, draw=0, winner=blue, time=76/13830
