107: reward=1.00 vs 0.90, win=5 vs 84, recent_win=0 vs 50, draw=18, winner=blue, time=82/9290
108: reward=1.00 vs 0.90, win=5 vs 85, recent_win=0 vs 50, draw=18, winner=blue, time=83/9373
109: reward=1.00 vs 0.90, win=5 vs 86, recent_win=0 vs 50, draw=18, winner=blue, time=102/9475
110: reward=0.95 vs 0.90, win=5 vs 87, recent_win=0 vs 50, draw=18, winner=blue, time=82/9556
111: reward=1.00 vs 0.90, win=5 vs 88, recent_win=0 vs 50, draw=18, winner=blue, time=92/9648
112: reward=1.00 vs 1.00, win=5 vs 89, recent_win=0 vs 50, draw=18, winner=blue, time=73/9721
113: reward=1.00 vs 1.00, win=5 vs 90, recent_win=0 vs 50, draw=18, winner=blue, time=61/9782
114: reward=-0.05 vs 1.00, win=5 vs 91, recent_win=0 vs 50, draw=18, winner=blue, time=63/9846
115: reward=-0.10 vs 1.00, win=5 vs 92, recent_win=0 vs 50, draw=18, winner=blue, time=61/9907
116: reward=-0.05 vs 1.00, win=5 vs 93, recent_win=0 vs 50, draw=18, winner=blue, time=80/9986
117: reward=-0.05 vs 0.90, win=5 vs 94, recent_win=0 vs 50, draw=18, winner=blue, time=82/10068
118: reward=-0.05 vs 1.00, win=5 vs 95, recent_win=0 vs 50, draw=18, winner=blue, time=75/10143
119: reward=-0.05 vs 1.00, win=5 vs 96, recent_win=0 vs 50, draw=18, winner=blue, time=63/10207
120: reward=0.95 vs 0.90, win=5 vs 97, recent_win=0 vs 50, draw=18, winner=blue, time=87/10294
121: reward=1.00 vs 0.90, win=5 vs 98, recent_win=0 vs 50, draw=18, winner=blue, time=94/10388
122: reward=0.95 vs 0.90, win=5 vs 99, recent_win=0 vs 50, draw=18, winner=blue, time=87/10475
123: reward=0.95 vs 0.80, win=5 vs 100, recent_win=0 vs 50, draw=18, winner=blue, time=105/10580
124: reward=-0.05 vs 1.00, win=5 vs 101, recent_win=0 vs 50, draw=18, winner=blue, time=65/10645
125: reward=1.00 vs 0.90, win=5 vs 102, recent_win=0 vs 50, draw=18, winner=blue, time=87/10733
126: reward=1.00 vs 1.00, win=5 vs 103, recent_win=0 vs 50, draw=18, winner=blue, time=81/10813
127: reward=1.00 vs 0.90, win=5 vs 104, recent_win=0 vs 50, draw=18, winner=blue, time=76/10890
128: reward=-0.05 vs 1.00, win=5 vs 105, recent_win=0 vs 50, draw=18, winner=blue, time=61/10951
129: reward=-0.05 vs 1.00, win=5 vs 106, recent_win=0 vs 50, draw=18, winner=blue, time=61/11012
130: reward=-0.05 vs 1.00, win=5 vs 107, recent_win=0 vs 50, draw=18, winner=blue, time=61/11073
131: reward=-0.05 vs 1.80, win=5 vs 108, recent_win=0 vs 50, draw=18, winner=blue, time=82/11155
132: reward=2.00 vs -0.20, win=5 vs 109, recent_win=0 vs 50, draw=18, winner=blue, time=85/11240
133: reward=-0.10 vs 0.90, win=5 vs 109, recent_win=0 vs 49, draw=19, winner=draw, time=70/11310
134: reward=-0.05 vs 1.00, win=5 vs 110, recent_win=0 vs 49, draw=19, winner=blue, time=61/11371
135: reward=0.95 vs 0.90, win=5 vs 111, recent_win=0 vs 49, draw=19, winner=blue, time=77/11448
136: reward=1.95 vs 0.80, win=5 vs 111, recent_win=0 vs 48, draw=20, winner=draw, time=73/11521
137: reward=2.00 vs 0.80, win=5 vs 112, recent_win=0 vs 48, draw=20, winner=blue, time=92/11613
138: reward=1.00 vs 0.90, win=5 vs 113, recent_win=0 vs 48, draw=20, winner=blue, time=76/11689
139: reward=2.00 vs -0.20, win=5 vs 114, recent_win=0 vs 48, draw=20, winner=blue, time=73/11762
140: reward=-0.10 vs 2.00, win=5 vs 115, recent_win=0 vs 48, draw=20, winner=blue, time=61/11824
141: reward=-0.05 vs 1.00, win=5 vs 116, recent_win=0 vs 48, draw=20, winner=blue, time=76/11900
142: reward=-0.05 vs 1.00, win=5 vs 117, recent_win=0 vs 48, draw=20, winner=blue, time=74/11974
143: reward=1.00 vs 0.90, win=5 vs 118, recent_win=0 vs 48, draw=20, winner=blue, time=92/12066
144: reward=1.00 vs 1.00, win=5 vs 119, recent_win=0 vs 48, draw=20, winner=blue, time=71/12136
145: reward=1.00 vs 1.00, win=5 vs 120, recent_win=0 vs 48, draw=20, winner=blue, time=65/12202
146: reward=0.95 vs 0.90, win=5 vs 121, recent_win=0 vs 48, draw=20, winner=blue, time=76/12278
147: reward=0.95 vs 1.00, win=5 vs 122, recent_win=0 vs 48, draw=20, winner=blue, time=77/12355
148: reward=1.00 vs 0.90, win=5 vs 123, recent_win=0 vs 48, draw=20, winner=blue, time=87/12443
149: reward=0.90 vs 0.90, win=5 vs 124, recent_win=0 vs 48, draw=20, winner=blue, time=93/12536
150: reward=-0.05 vs 1.00, win=5 vs 125, recent_win=0 vs 48, draw=20, winner=blue, time=71/12606
151: reward=-0.05 vs 1.00, win=5 vs 126, recent_win=0 vs 48, draw=20, winner=blue, time=61/12668
152: reward=1.00 vs 0.90, win=5 vs 127, recent_win=0 vs 48, draw=20, winner=blue, time=87/12755
153: reward=2.00 vs -0.20, win=5 vs 128, recent_win=0 vs 48, draw=20, winner=blue, time=83/12838
154: reward=0.95 vs 0.90, win=5 vs 129, recent_win=0 vs 48, draw=20, winner=blue, time=82/12920
155: reward=0.95 vs 1.00, win=5 vs 130, recent_win=0 vs 48, draw=20, winner=blue, time=72/12991
156: reward=0.95 vs 0.90, win=5 vs 131, recent_win=0 vs 48, draw=20, winner=blue, time=87/13079
157: reward=0.95 vs 0.90, win=5 vs 132, recent_win=0 vs 48, draw=20, winner=blue, time=89/13168
158: reward=-0.05 vs 1.00, win=5 vs 133, recent_win=0 vs 48, draw=20, winner=blue, time=70/13238
159: reward=0.95 vs 0.90, win=5 vs 134, recent_win=0 vs 48, draw=20, winner=blue, time=99/13337
160: reward=-0.05 vs 1.00, win=5 vs 135, recent_win=0 vs 48, draw=20, winner=blue, time=84/13421
161: reward=0.95 vs 0.90, win=5 vs 136, recent_win=0 vs 48, draw=20, winner=blue, time=87/13509
