122: reward=92.85 vs 1.00, reward_evade=0.00 vs 0.00, win=46 vs 35, recent_win=19 vs 15, draw=41, winner=draw, time=92/14463
123: reward=92.85 vs 1.00, reward_evade=0.00 vs 0.00, win=46 vs 35, recent_win=18 vs 15, draw=42, winner=draw, time=104/14566
124: reward=92.85 vs 1.00, reward_evade=0.00 vs 0.00, win=46 vs 35, recent_win=17 vs 15, draw=43, winner=draw, time=52/14619
125: reward=4.00 vs 90.55, reward_evade=0.00 vs 0.00, win=46 vs 36, recent_win=16 vs 16, draw=43, winner=blue, time=135/14753
126: reward=4.00 vs 90.55, reward_evade=0.00 vs 0.00, win=46 vs 36, recent_win=15 vs 16, draw=44, winner=draw, time=100/14854
127: reward=4.00 vs 90.16, reward_evade=0.00 vs 0.00, win=46 vs 37, recent_win=15 vs 16, draw=44, winner=blue, time=139/14993
128: reward=5.00 vs 90.23, reward_evade=0.00 vs 0.00, win=46 vs 38, recent_win=15 vs 16, draw=44, winner=blue, time=138/15131
129: reward=5.00 vs 90.23, reward_evade=0.00 vs 0.00, win=46 vs 38, recent_win=14 vs 16, draw=45, winner=draw, time=99/15230
130: reward=2.00 vs 0.80, reward_evade=0.00 vs 0.00, win=46 vs 38, recent_win=14 vs 16, draw=46, winner=draw, time=128/15358
131: reward=2.00 vs 1.00, reward_evade=0.00 vs 0.00, win=46 vs 38, recent_win=14 vs 16, draw=47, winner=draw, time=95/15453
132: reward=4.00 vs 89.44, reward_evade=0.00 vs 0.00, win=46 vs 39, recent_win=13 vs 17, draw=47, winner=blue, time=150/15603
133: reward=93.52 vs 89.44, reward_evade=0.00 vs 0.00, win=47 vs 39, recent_win=13 vs 17, draw=47, winner=red, time=125/15728
134: reward=5.00 vs 89.66, reward_evade=0.00 vs 0.00, win=47 vs 40, recent_win=13 vs 17, draw=47, winner=blue, time=162/15890
135: reward=92.49 vs -0.10, reward_evade=0.00 vs 0.00, win=48 vs 40, recent_win=14 vs 17, draw=47, winner=red, time=140/16030
136: reward=92.49 vs 1.00, reward_evade=0.00 vs 0.00, win=48 vs 40, recent_win=14 vs 17, draw=48, winner=draw, time=103/16133
137: reward=93.29 vs -0.10, reward_evade=0.00 vs 0.00, win=49 vs 40, recent_win=14 vs 17, draw=48, winner=red, time=128/16261
138: reward=2.00 vs 0.80, reward_evade=0.00 vs 0.00, win=49 vs 40, recent_win=13 vs 17, draw=49, winner=draw, time=129/16390
139: reward=94.12 vs -0.10, reward_evade=0.00 vs 0.00, win=50 vs 40, recent_win=14 vs 16, draw=49, winner=red, time=116/16506
140: reward=93.39 vs -0.10, reward_evade=0.00 vs 0.00, win=51 vs 40, recent_win=15 vs 16, draw=49, winner=red, time=128/16634
141: reward=93.39 vs 1.00, reward_evade=0.00 vs 0.00, win=51 vs 40, recent_win=15 vs 15, draw=50, winner=draw, time=121/16755
142: reward=93.39 vs 1.00, reward_evade=0.00 vs 0.00, win=51 vs 40, recent_win=15 vs 14, draw=51, winner=draw, time=98/16853
143: reward=92.13 vs -0.10, reward_evade=0.00 vs 0.00, win=52 vs 40, recent_win=15 vs 14, draw=51, winner=red, time=146/16999
144: reward=93.00 vs -0.10, reward_evade=0.00 vs 0.00, win=53 vs 40, recent_win=15 vs 14, draw=51, winner=red, time=132/17131
145: reward=96.61 vs -0.10, reward_evade=0.00 vs 0.00, win=54 vs 40, recent_win=16 vs 13, draw=51, winner=red, time=81/17212
146: reward=96.61 vs -0.10, reward_evade=0.00 vs 0.00, win=54 vs 40, recent_win=16 vs 13, draw=52, winner=draw, time=57/17269
147: reward=96.61 vs -0.10, reward_evade=0.00 vs 0.00, win=54 vs 40, recent_win=16 vs 13, draw=53, winner=draw, time=53/17322
148: reward=93.00 vs -0.10, reward_evade=0.00 vs 0.00, win=55 vs 40, recent_win=16 vs 13, draw=53, winner=red, time=132/17455
149: reward=93.82 vs -0.10, reward_evade=0.00 vs 0.00, win=56 vs 40, recent_win=17 vs 13, draw=53, winner=red, time=120/17575
