164: reward=0.40 vs 0.00, recent_win=2 vs 32, winner=draw, win=3 vs 99, draw=62, time=142/21519
165: reward=1.50 vs 90.47, recent_win=2 vs 32, winner=blue, win=3 vs 100, draw=62, time=127/21646
166: reward=0.60 vs 91.75, recent_win=1 vs 33, winner=blue, win=3 vs 101, draw=62, time=108/21754
167: reward=0.50 vs 90.03, recent_win=1 vs 33, winner=blue, win=3 vs 102, draw=62, time=133/21887
168: reward=0.40 vs 0.00, recent_win=1 vs 32, winner=draw, win=3 vs 102, draw=63, time=150/22037
169: reward=1.50 vs 90.54, recent_win=1 vs 32, winner=blue, win=3 vs 103, draw=63, time=126/22163
170: reward=1.60 vs 90.84, recent_win=1 vs 33, winner=blue, win=3 vs 104, draw=63, time=121/22285
171: reward=1.40 vs 0.00, recent_win=1 vs 32, winner=draw, win=3 vs 104, draw=64, time=144/22429
172: reward=1.40 vs 0.00, recent_win=1 vs 32, winner=draw, win=3 vs 104, draw=65, time=161/22590
173: reward=1.50 vs 90.62, recent_win=1 vs 33, winner=blue, win=3 vs 105, draw=65, time=125/22715
174: reward=1.60 vs 92.21, recent_win=1 vs 33, winner=blue, win=3 vs 106, draw=65, time=102/22816
175: reward=-0.40 vs 0.00, recent_win=1 vs 32, winner=draw, win=3 vs 106, draw=66, time=98/22915
176: reward=3.40 vs 90.32, recent_win=1 vs 32, winner=blue, win=3 vs 107, draw=66, time=129/23044
177: reward=1.40 vs 89.81, recent_win=1 vs 33, winner=blue, win=3 vs 108, draw=66, time=137/23181
178: reward=-0.30 vs 0.00, recent_win=1 vs 32, winner=draw, win=3 vs 108, draw=67, time=83/23264
179: reward=0.60 vs 91.14, recent_win=1 vs 32, winner=blue, win=3 vs 109, draw=67, time=117/23381
180: reward=0.50 vs 90.10, recent_win=1 vs 32, winner=blue, win=3 vs 110, draw=67, time=132/23513
181: reward=0.60 vs 90.99, recent_win=1 vs 33, winner=blue, win=3 vs 111, draw=67, time=119/23632
182: reward=1.40 vs 89.15, recent_win=1 vs 33, winner=blue, win=3 vs 112, draw=67, time=147/23779
183: reward=-0.30 vs 0.00, recent_win=1 vs 32, winner=draw, win=3 vs 112, draw=68, time=95/23874
