178: reward=-33.93 vs 90.58, winner=blue, r_win=4:45:1, win=17:155:6, time=391/43861
179: reward=-36.58 vs 91.95, winner=blue, r_win=4:45:1, win=17:156:6, time=190/44051
180: reward=-33.84 vs 89.34, winner=blue, r_win=4:45:1, win=17:157:6, time=341/44392
181: reward=-35.61 vs 92.03, winner=blue, r_win=4:45:1, win=17:158:6, time=277/44668
182: reward=83.58 vs -26.73, winner=red, r_win=5:44:1, win=18:158:6, time=248/44916
183: reward=-32.47 vs 88.17, winner=blue, r_win=5:44:1, win=18:159:6, time=334/45250
184: reward=-37.39 vs 94.23, winner=blue, r_win=5:44:1, win=18:160:6, time=138/45388
185: reward=-34.90 vs 91.49, winner=blue, r_win=5:44:1, win=18:161:6, time=197/45585
186: reward=-27.93 vs 84.82, winner=blue, r_win=5:44:1, win=18:162:6, time=363/45948
187: reward=-33.80 vs 89.50, winner=blue, r_win=5:44:1, win=18:163:6, time=317/46264
188: reward=-32.78 vs 88.95, winner=blue, r_win=5:44:1, win=18:164:6, time=318/46582
189: reward=-36.45 vs 93.88, winner=blue, r_win=5:44:1, win=18:165:6, time=136/46717
190: reward=82.72 vs -26.39, winner=red, r_win=6:43:1, win=19:165:6, time=264/46981
191: reward=-33.28 vs 90.20, winner=blue, r_win=6:43:1, win=19:166:6, time=293/47274
192: reward=-30.28 vs 88.70, winner=blue, r_win=6:43:1, win=19:167:6, time=293/47566
193: reward=-18.97 vs -6.97, winner=draw, r_win=6:42:2, win=19:167:7, time=262/47828
194: reward=-32.53 vs 90.32, winner=blue, r_win=6:42:2, win=19:168:7, time=281/48108
195: reward=-37.25 vs 93.87, winner=blue, r_win=5:43:2, win=19:169:7, time=143/48252
196: reward=-29.36 vs 86.39, winner=blue, r_win=5:43:2, win=19:170:7, time=340/48591
197: reward=-32.08 vs 89.20, winner=blue, r_win=5:43:2, win=19:171:7, time=303/48894
198: reward=-37.81 vs 93.77, winner=blue, r_win=5:43:2, win=19:172:7, time=122/49016
199: reward=78.35 vs -22.74, winner=red, r_win=6:42:2, win=20:172:7, time=271/49287
200: reward=-38.54 vs 95.60, winner=blue, r_win=6:42:2, win=20:173:7, time=96/49383
201: reward=-17.78 vs -10.28, winner=draw, r_win=6:41:3, win=20:173:8, time=234/49617
202: reward=-36.35 vs 91.87, winner=blue, r_win=6:41:3, win=20:174:8, time=159/49776
203: reward=-34.36 vs 91.16, winner=blue, r_win=6:41:3, win=20:175:8, time=139/49915
204: reward=-36.79 vs 92.23, winner=blue, r_win=6:41:3, win=20:176:8, time=202/50116
205: reward=-38.86 vs 95.66, winner=blue, r_win=6:41:3, win=20:177:8, time=139/50255
206: reward=-38.13 vs 94.08, winner=blue, r_win=5:42:3, win=20:178:8, time=148/50403
207: reward=-38.39 vs 94.73, winner=blue, r_win=5:42:3, win=20:179:8, time=138/50541
208: reward=-38.05 vs 94.37, winner=blue, r_win=5:42:3, win=20:180:8, time=114/50655
209: reward=85.15 vs -28.66, winner=red, r_win=6:41:3, win=21:180:8, time=186/50841
210: reward=-16.56 vs -15.06, winner=draw, r_win=6:40:4, win=21:180:9, time=168/51009
211: reward=-35.47 vs 91.67, winner=blue, r_win=6:40:4, win=21:181:9, time=449/51457
212: reward=-34.50 vs 89.00, winner=blue, r_win=6:40:4, win=21:182:9, time=359/51816
213: reward=-33.94 vs 89.85, winner=blue, r_win=6:40:4, win=21:183:9, time=310/52125
214: reward=87.38 vs -30.75, winner=red, r_win=6:40:4, win=22:183:9, time=225/52350
215: reward=-37.73 vs 93.83, winner=blue, r_win=6:40:4, win=22:184:9, time=107/52457
216: reward=-32.98 vs 88.44, winner=blue, r_win=6:40:4, win=22:185:9, time=260/52717
217: reward=-33.16 vs 89.90, winner=blue, r_win=5:41:4, win=22:186:9, time=299/53015
218: reward=-37.72 vs 92.79, winner=blue, r_win=5:41:4, win=22:187:9, time=184/53200
219: reward=-34.88 vs 89.69, winner=blue, r_win=5:41:4, win=22:188:9, time=219/53419
220: reward=-37.86 vs 93.66, winner=blue, r_win=5:41:4, win=22:189:9, time=139/53558
221: reward=-33.80 vs 89.50, winner=blue, r_win=5:41:4, win=22:190:9, time=317/53874
222: reward=-38.35 vs 95.13, winner=blue, r_win=5:41:4, win=22:191:9, time=103/53977
223: reward=-37.00 vs 93.75, winner=blue, r_win=5:41:4, win=22:192:9, time=236/54213
224: reward=-38.11 vs 94.52, winner=blue, r_win=5:41:4, win=22:193:9, time=111/54324
225: reward=-38.61 vs 95.52, winner=blue, r_win=5:41:4, win=22:194:9, time=111/54436
226: reward=-31.49 vs 87.72, winner=blue, r_win=5:42:3, win=22:195:9, time=333/54769
227: reward=-37.98 vs 94.44, winner=blue, r_win=5:42:3, win=22:196:9, time=98/54867
228: reward=-38.11 vs 94.52, winner=blue, r_win=5:42:3, win=22:197:9, time=111/54978
229: reward=-35.43 vs 91.33, winner=blue, r_win=5:42:3, win=22:198:9, time=175/55154
230: reward=-37.30 vs 91.99, winner=blue, r_win=5:42:3, win=22:199:9, time=181/55334
231: reward=-36.92 vs 93.79, winner=blue, r_win=5:42:3, win=22:200:9, time=100/55435
232: reward=-37.34 vs 93.36, winner=blue, r_win=4:43:3, win=22:201:9, time=199/55634
233: reward=-37.30 vs 92.25, winner=blue, r_win=4:43:3, win=22:202:9, time=292/55926
234: reward=-34.27 vs 90.66, winner=blue, r_win=4:43:3, win=22:203:9, time=162/56088
235: reward=-37.90 vs 93.99, winner=blue, r_win=4:43:3, win=22:204:9, time=119/56207
236: reward=-38.11 vs 95.02, winner=blue, r_win=4:43:3, win=22:205:9, time=188/56396
237: reward=-29.62 vs 87.06, winner=blue, r_win=4:43:3, win=22:206:9, time=326/56721
238: reward=-34.18 vs 90.45, winner=blue, r_win=4:43:3, win=22:207:9, time=298/57019
239: reward=-38.37 vs 94.92, winner=blue, r_win=4:43:3, win=22:208:9, time=120/57139
240: reward=-36.59 vs 92.48, winner=blue, r_win=3:44:3, win=22:209:9, time=278/57417
241: reward=75.42 vs -23.17, winner=red, r_win=4:43:3, win=23:209:9, time=350/57767
242: reward=-32.12 vs 89.30, winner=blue, r_win=4:43:3, win=23:210:9, time=301/58067
243: reward=-37.80 vs 93.76, winner=blue, r_win=4:44:2, win=23:211:9, time=245/58312
244: reward=-33.18 vs 89.95, winner=blue, r_win=4:44:2, win=23:212:9, time=298/58609
245: reward=-22.72 vs 2.78, winner=draw, r_win=4:43:3, win=23:212:10, time=390/58999
246: reward=-38.11 vs 95.03, winner=blue, r_win=4:43:3, win=23:213:10, time=76/59075
247: reward=-30.11 vs 86.28, winner=blue, r_win=4:43:3, win=23:214:10, time=353/59428
248: reward=-33.59 vs 90.98, winner=blue, r_win=4:43:3, win=23:215:10, time=278/59705
249: reward=-30.37 vs 86.94, winner=blue, r_win=3:44:3, win=23:216:10, time=339/60044
250: reward=-32.41 vs 88.03, winner=blue, r_win=3:44:3, win=23:217:10, time=337/60381
251: reward=-32.96 vs 89.66, winner=blue, r_win=3:45:2, win=23:218:10, time=154/60535
252: reward=-33.41 vs 88.53, winner=blue, r_win=3:45:2, win=23:219:10, time=337/60872
253: reward=-38.79 vs 95.98, winner=blue, r_win=3:45:2, win=23:220:10, time=105/60977
254: reward=80.56 vs -23.83, winner=red, r_win=4:44:2, win=24:220:10, time=267/61243
255: reward=-36.88 vs 93.44, winner=blue, r_win=4:44:2, win=24:221:10, time=241/61484
256: reward=-28.66 vs 84.65, winner=blue, r_win=4:44:2, win=24:222:10, time=378/61862
257: reward=-28.87 vs 85.19, winner=blue, r_win=4:44:2, win=24:223:10, time=366/62228
258: reward=-34.93 vs 91.07, winner=blue, r_win=4:44:2, win=24:224:10, time=239/62467
259: reward=-33.26 vs 88.15, winner=blue, r_win=3:45:2, win=24:225:10, time=345/62811
260: reward=-33.37 vs 89.92, winner=blue, r_win=3:46:1, win=24:226:10, time=198/63010
261: reward=-33.17 vs 85.93, winner=blue, r_win=3:46:1, win=24:227:10, time=406/63415
262: reward=80.14 vs -23.66, winner=red, r_win=4:45:1, win=25:227:10, time=275/63690
263: reward=-35.38 vs 92.19, winner=blue, r_win=4:45:1, win=25:228:10, time=219/63909
264: reward=-37.49 vs 93.22, winner=blue, r_win=3:46:1, win=25:229:10, time=116/64025
265: reward=-31.74 vs 88.11, winner=blue, r_win=3:46:1, win=25:230:10, time=346/64371
266: reward=81.89 vs -25.46, winner=red, r_win=4:45:1, win=26:230:10, time=309/64679
267: reward=-37.10 vs 91.75, winner=blue, r_win=4:45:1, win=26:231:10, time=169/64848
268: reward=-36.03 vs 92.32, winner=blue, r_win=4:45:1, win=26:232:10, time=192/65040
269: reward=-36.38 vs 91.94, winner=blue, r_win=4:45:1, win=26:233:10, time=158/65198
270: reward=-36.39 vs 90.72, winner=blue, r_win=4:45:1, win=26:234:10, time=264/65461
271: reward=-38.50 vs 96.00, winner=blue, r_win=4:45:1, win=26:235:10, time=63/65524
272: reward=-34.47 vs 90.69, winner=blue, r_win=4:45:1, win=26:236:10, time=194/65718
273: reward=-34.66 vs 91.89, winner=blue, r_win=4:45:1, win=26:237:10, time=128/65846
274: reward=-38.36 vs 95.39, winner=blue, r_win=4:45:1, win=26:238:10, time=85/65931
275: reward=-28.89 vs 82.98, winner=blue, r_win=4:45:1, win=26:239:10, time=454/66385
276: reward=80.22 vs -24.39, winner=red, r_win=5:44:1, win=27:239:10, time=264/66649
277: reward=-33.93 vs 90.33, winner=blue, r_win=5:44:1, win=27:240:10, time=262/66910
278: reward=-30.39 vs 86.98, winner=blue, r_win=5:44:1, win=27:241:10, time=338/67248
279: reward=-35.72 vs 92.54, winner=blue, r_win=5:44:1, win=27:242:10, time=126/67374
280: reward=-35.43 vs 88.56, winner=blue, r_win=5:44:1, win=27:243:10, time=286/67659
281: reward=-36.90 vs 92.49, winner=blue, r_win=5:44:1, win=27:244:10, time=197/67857
282: reward=-31.68 vs 88.21, winner=blue, r_win=5:44:1, win=27:245:10, time=323/68179
283: reward=-33.68 vs 89.21, winner=blue, r_win=5:44:1, win=27:246:10, time=323/68502
284: reward=-38.19 vs 93.72, winner=blue, r_win=5:44:1, win=27:247:10, time=185/68687
285: reward=-33.04 vs 87.60, winner=blue, r_win=5:44:1, win=27:248:10, time=357/69044
286: reward=-32.59 vs 87.72, winner=blue, r_win=5:44:1, win=27:249:10, time=254/69298
287: reward=-27.98 vs 84.96, winner=blue, r_win=5:44:1, win=27:250:10, time=360/69658
288: reward=-27.58 vs 81.95, winner=blue, r_win=5:44:1, win=27:251:10, time=442/70099
289: reward=-35.11 vs 90.52, winner=blue, r_win=5:44:1, win=27:252:10, time=188/70288
290: reward=-35.89 vs 92.73, winner=blue, r_win=5:44:1, win=27:253:10, time=138/70426
291: reward=-38.07 vs 94.68, winner=blue, r_win=4:45:1, win=27:254:10, time=95/70521
292: reward=81.32 vs -26.33, winner=red, r_win=5:44:1, win=28:254:10, time=243/70764
