175: reward=4.00 vs 1.00, reward_evade=0.00 vs 0.00, win=72 vs 48, recent_win=18 vs 15, draw=55, winner=draw, time=111/20966
176: reward=4.00 vs 1.00, reward_evade=0.00 vs 0.00, win=72 vs 48, recent_win=17 vs 15, draw=56, winner=draw, time=54/21020
177: reward=5.00 vs 89.87, reward_evade=0.00 vs 0.00, win=72 vs 49, recent_win=16 vs 16, draw=56, winner=blue, time=143/21164
178: reward=93.77 vs -0.10, reward_evade=0.00 vs 0.00, win=73 vs 49, recent_win=17 vs 15, draw=56, winner=red, time=122/21286
179: reward=93.77 vs 1.00, reward_evade=0.00 vs 0.00, win=73 vs 49, recent_win=16 vs 15, draw=57, winner=draw, time=100/21387
180: reward=93.89 vs -0.10, reward_evade=0.00 vs 0.00, win=74 vs 49, recent_win=16 vs 15, draw=57, winner=red, time=119/21506
181: reward=4.00 vs 90.60, reward_evade=0.00 vs 0.00, win=74 vs 50, recent_win=16 vs 16, draw=57, winner=blue, time=132/21638
182: reward=4.00 vs 1.00, reward_evade=0.00 vs 0.00, win=74 vs 50, recent_win=16 vs 15, draw=58, winner=draw, time=89/21728
183: reward=3.00 vs 0.70, reward_evade=0.00 vs 0.00, win=74 vs 50, recent_win=15 vs 15, draw=59, winner=draw, time=135/21862
184: reward=6.00 vs 89.01, reward_evade=0.00 vs 0.00, win=74 vs 51, recent_win=15 vs 16, draw=59, winner=blue, time=171/22033
185: reward=6.00 vs 1.00, reward_evade=0.00 vs 0.00, win=74 vs 51, recent_win=15 vs 16, draw=60, winner=draw, time=92/22125
186: reward=4.00 vs 90.16, reward_evade=0.00 vs 0.00, win=74 vs 52, recent_win=15 vs 16, draw=60, winner=blue, time=139/22264
187: reward=4.00 vs 89.80, reward_evade=0.00 vs 0.00, win=74 vs 53, recent_win=14 vs 17, draw=60, winner=blue, time=144/22409
188: reward=4.00 vs 1.00, reward_evade=0.00 vs 0.00, win=74 vs 53, recent_win=14 vs 16, draw=61, winner=draw, time=92/22500
189: reward=4.00 vs 1.00, reward_evade=0.00 vs 0.00, win=74 vs 53, recent_win=14 vs 16, draw=62, winner=draw, time=48/22548
190: reward=4.00 vs 89.87, reward_evade=0.00 vs 0.00, win=74 vs 54, recent_win=14 vs 17, draw=62, winner=blue, time=143/22692
191: reward=93.22 vs -0.10, reward_evade=0.00 vs 0.00, win=75 vs 54, recent_win=15 vs 17, draw=62, winner=red, time=129/22821
192: reward=93.22 vs 1.00, reward_evade=0.00 vs 0.00, win=75 vs 54, recent_win=15 vs 17, draw=63, winner=draw, time=50/22871
193: reward=93.22 vs 1.00, reward_evade=0.00 vs 0.00, win=75 vs 54, recent_win=15 vs 17, draw=64, winner=draw, time=52/22923
194: reward=93.22 vs 1.00, reward_evade=0.00 vs 0.00, win=75 vs 54, recent_win=15 vs 16, draw=65, winner=draw, time=106/23029
195: reward=4.00 vs 89.77, reward_evade=0.00 vs 0.00, win=75 vs 55, recent_win=14 vs 17, draw=65, winner=blue, time=143/23173
