121: reward=0.38 vs 73.99, recent_win=2 vs 41, winner=blue, win=7 vs 90, draw=24, time=441/71113
122: reward=1.38 vs 74.85, recent_win=2 vs 41, winner=blue, win=7 vs 91, draw=24, time=420/71533
123: reward=2.23 vs 72.33, recent_win=2 vs 41, winner=blue, win=7 vs 92, draw=24, time=484/72016
124: reward=0.37 vs 75.69, recent_win=2 vs 42, winner=blue, win=7 vs 93, draw=24, time=400/72416
125: reward=2.81 vs 75.99, recent_win=2 vs 42, winner=blue, win=7 vs 94, draw=24, time=393/72809
126: reward=1.87 vs 75.14, recent_win=2 vs 42, winner=blue, win=7 vs 95, draw=24, time=413/73221
127: reward=2.23 vs 71.07, recent_win=2 vs 42, winner=blue, win=7 vs 96, draw=24, time=519/73740
128: reward=0.34 vs 0.00, recent_win=2 vs 41, winner=draw, win=7 vs 96, draw=25, time=306/74045
129: reward=0.36 vs 0.00, recent_win=2 vs 40, winner=draw, win=7 vs 96, draw=26, time=367/74412
130: reward=2.86 vs 68.84, recent_win=1 vs 41, winner=blue, win=7 vs 97, draw=26, time=586/74998
131: reward=77.52 vs 0.00, recent_win=2 vs 40, winner=red, win=8 vs 97, draw=26, time=389/75386
132: reward=1.94 vs 63.73, recent_win=2 vs 41, winner=blue, win=8 vs 98, draw=26, time=776/76162
133: reward=0.37 vs 0.00, recent_win=2 vs 40, winner=draw, win=8 vs 98, draw=27, time=470/76631
134: reward=1.40 vs 0.00, recent_win=2 vs 40, winner=draw, win=8 vs 98, draw=28, time=488/77119
135: reward=0.32 vs 0.00, recent_win=2 vs 39, winner=draw, win=8 vs 98, draw=29, time=303/77422
136: reward=2.22 vs 72.37, recent_win=2 vs 39, winner=blue, win=8 vs 99, draw=29, time=483/77904
137: reward=2.46 vs 75.18, recent_win=2 vs 39, winner=blue, win=8 vs 100, draw=29, time=412/78316
138: reward=3.33 vs 54.46, recent_win=2 vs 39, winner=blue, win=8 vs 101, draw=29, time=1450/79766
139: reward=0.29 vs 84.00, recent_win=2 vs 39, winner=blue, win=8 vs 102, draw=29, time=231/79998
140: reward=0.38 vs 75.14, recent_win=2 vs 39, winner=blue, win=8 vs 103, draw=29, time=413/80410
141: reward=80.67 vs 0.00, recent_win=3 vs 38, winner=red, win=9 vs 103, draw=29, time=300/80710
142: reward=70.96 vs 0.00, recent_win=4 vs 38, winner=red, win=10 vs 103, draw=29, time=590/81299
143: reward=0.37 vs 75.14, recent_win=4 vs 38, winner=blue, win=10 vs 104, draw=29, time=413/81712
144: reward=2.70 vs 66.79, recent_win=4 vs 38, winner=blue, win=10 vs 105, draw=29, time=655/82367
145: reward=2.50 vs 68.22, recent_win=4 vs 38, winner=blue, win=10 vs 106, draw=29, time=606/82972
146: reward=3.00 vs 69.13, recent_win=4 vs 38, winner=blue, win=10 vs 107, draw=29, time=577/83549
147: reward=1.88 vs 74.07, recent_win=4 vs 38, winner=blue, win=10 vs 108, draw=29, time=439/83987
148: reward=1.35 vs 0.00, recent_win=4 vs 37, winner=draw, win=10 vs 108, draw=30, time=378/84365
149: reward=1.92 vs 0.00, recent_win=4 vs 36, winner=draw, win=10 vs 108, draw=31, time=633/84998
150: reward=78.05 vs 0.00, recent_win=5 vs 36, winner=red, win=11 vs 108, draw=31, time=377/85374
151: reward=1.43 vs 65.71, recent_win=5 vs 37, winner=blue, win=11 vs 109, draw=31, time=695/86069
152: reward=1.40 vs 71.67, recent_win=5 vs 37, winner=blue, win=11 vs 110, draw=31, time=502/86570
153: reward=0.39 vs 71.56, recent_win=5 vs 37, winner=blue, win=11 vs 111, draw=31, time=505/87075
154: reward=0.36 vs 0.00, recent_win=5 vs 36, winner=draw, win=11 vs 111, draw=32, time=407/87482
155: reward=77.30 vs 0.00, recent_win=6 vs 35, winner=red, win=12 vs 111, draw=32, time=406/87887
156: reward=2.80 vs 52.83, recent_win=6 vs 35, winner=blue, win=12 vs 112, draw=32, time=1722/89609
157: reward=78.90 vs 0.00, recent_win=7 vs 34, winner=red, win=13 vs 112, draw=32, time=358/89967
158: reward=0.36 vs 0.00, recent_win=7 vs 33, winner=draw, win=13 vs 112, draw=33, time=387/90353
159: reward=0.34 vs 80.45, recent_win=7 vs 33, winner=blue, win=13 vs 113, draw=33, time=298/90651
160: reward=2.95 vs 55.07, recent_win=6 vs 34, winner=blue, win=13 vs 114, draw=33, time=1373/92024
161: reward=1.38 vs 68.97, recent_win=6 vs 34, winner=blue, win=13 vs 115, draw=33, time=582/92606
162: reward=0.35 vs 77.60, recent_win=6 vs 35, winner=blue, win=13 vs 116, draw=33, time=357/92963
163: reward=0.38 vs 73.95, recent_win=6 vs 35, winner=blue, win=13 vs 117, draw=33, time=442/93404
164: reward=0.39 vs 0.00, recent_win=6 vs 34, winner=draw, win=13 vs 117, draw=34, time=468/93872
