156: reward=0.00 vs 92.13, recent_win=0 vs 50, winner=blue, win=4 vs 152, draw=0, time=103/13360
157: reward=0.00 vs 94.19, recent_win=0 vs 50, winner=blue, win=4 vs 153, draw=0, time=74/13434
158: reward=0.00 vs 94.43, recent_win=0 vs 50, winner=blue, win=4 vs 154, draw=0, time=71/13505
159: reward=0.00 vs 95.23, recent_win=0 vs 50, winner=blue, win=4 vs 155, draw=0, time=60/13565
160: reward=0.00 vs 91.67, recent_win=0 vs 50, winner=blue, win=4 vs 156, draw=0, time=109/13674
161: reward=0.00 vs 91.98, recent_win=0 vs 50, winner=blue, win=4 vs 157, draw=0, time=105/13779
162: reward=0.00 vs 94.03, recent_win=0 vs 50, winner=blue, win=4 vs 158, draw=0, time=76/13856
163: reward=0.00 vs 94.03, recent_win=0 vs 50, winner=blue, win=4 vs 159, draw=0, time=76/13932
164: reward=0.00 vs 93.87, recent_win=0 vs 50, winner=blue, win=4 vs 160, draw=0, time=78/14010
165: reward=0.00 vs 95.08, recent_win=0 vs 50, winner=blue, win=4 vs 161, draw=0, time=62/14073
166: reward=0.00 vs 94.43, recent_win=0 vs 50, winner=blue, win=4 vs 162, draw=0, time=71/14143
167: reward=0.00 vs 92.21, recent_win=0 vs 50, winner=blue, win=4 vs 163, draw=0, time=102/14245
168: reward=0.00 vs 93.63, recent_win=0 vs 50, winner=blue, win=4 vs 164, draw=0, time=82/14327
169: reward=0.00 vs 94.84, recent_win=0 vs 50, winner=blue, win=4 vs 165, draw=0, time=65/14392
170: reward=0.00 vs 94.11, recent_win=0 vs 50, winner=blue, win=4 vs 166, draw=0, time=75/14467
171: reward=0.00 vs 95.45, recent_win=0 vs 50, winner=blue, win=4 vs 167, draw=0, time=57/14524
172: reward=0.00 vs 93.95, recent_win=0 vs 50, winner=blue, win=4 vs 168, draw=0, time=77/14602
173: reward=0.00 vs 92.76, recent_win=0 vs 50, winner=blue, win=4 vs 169, draw=0, time=94/14696
174: reward=0.00 vs 91.75, recent_win=0 vs 50, winner=blue, win=4 vs 170, draw=0, time=108/14804
175: reward=0.00 vs 94.03, recent_win=0 vs 50, winner=blue, win=4 vs 171, draw=0, time=76/14880
176: reward=0.00 vs 91.75, recent_win=0 vs 50, winner=blue, win=4 vs 172, draw=0, time=108/14988
177: reward=0.00 vs 91.75, recent_win=0 vs 50, winner=blue, win=4 vs 173, draw=0, time=108/15097
178: reward=0.00 vs 94.19, recent_win=0 vs 50, winner=blue, win=4 vs 174, draw=0, time=74/15171
179: reward=0.00 vs 93.87, recent_win=0 vs 50, winner=blue, win=4 vs 175, draw=0, time=78/15249
180: reward=0.00 vs 92.52, recent_win=0 vs 50, winner=blue, win=4 vs 176, draw=0, time=97/15346
181: reward=0.00 vs 94.35, recent_win=0 vs 50, winner=blue, win=4 vs 177, draw=0, time=72/15418
182: reward=0.00 vs 91.29, recent_win=0 vs 50, winner=blue, win=4 vs 178, draw=0, time=115/15533
183: reward=0.00 vs 93.15, recent_win=0 vs 50, winner=blue, win=4 vs 179, draw=0, time=88/15622
184: reward=0.00 vs 91.98, recent_win=0 vs 50, winner=blue, win=4 vs 180, draw=0, time=105/15726
185: reward=0.00 vs 92.52, recent_win=0 vs 50, winner=blue, win=4 vs 181, draw=0, time=97/15824
186: reward=0.00 vs 92.60, recent_win=0 vs 50, winner=blue, win=4 vs 182, draw=0, time=96/15920
187: reward=0.00 vs 91.14, recent_win=0 vs 50, winner=blue, win=4 vs 183, draw=0, time=117/16037
188: reward=0.00 vs 94.60, recent_win=0 vs 50, winner=blue, win=4 vs 184, draw=0, time=69/16105
189: reward=0.00 vs 95.08, recent_win=0 vs 50, winner=blue, win=4 vs 185, draw=0, time=62/16168
190: reward=0.00 vs 90.69, recent_win=0 vs 50, winner=blue, win=4 vs 186, draw=0, time=124/16291
191: reward=0.00 vs 94.43, recent_win=0 vs 50, winner=blue, win=4 vs 187, draw=0, time=71/16362
192: reward=0.00 vs 91.90, recent_win=0 vs 50, winner=blue, win=4 vs 188, draw=0, time=106/16468
193: reward=0.00 vs 94.43, recent_win=0 vs 50, winner=blue, win=4 vs 189, draw=0, time=71/16539
194: reward=0.00 vs 94.19, recent_win=0 vs 50, winner=blue, win=4 vs 190, draw=0, time=74/16613
195: reward=0.00 vs 92.37, recent_win=0 vs 50, winner=blue, win=4 vs 191, draw=0, time=99/16712
