152: reward=1.50 vs 0.15, winner=draw, r_win=13:11:26, win=39:29:84, time=117/16333
153: reward=1.00 vs 0.10, winner=draw, r_win=12:11:27, win=39:29:85, time=114/16447
154: reward=94.41 vs 0.00, winner=red, r_win=12:11:27, win=40:29:85, time=92/16539
155: reward=2.08 vs 90.80, winner=blue, r_win=11:12:27, win=40:30:85, time=140/16679
156: reward=0.00 vs 0.00, winner=draw, r_win=11:12:27, win=40:30:86, time=55/16734
157: reward=0.00 vs 0.00, winner=draw, r_win=10:12:28, win=40:30:87, time=77/16811
158: reward=0.00 vs 0.00, winner=draw, r_win=10:11:29, win=40:30:88, time=62/16874
159: reward=94.18 vs 0.10, winner=red, r_win=11:11:28, win=41:30:88, time=95/16969
160: reward=1.83 vs 90.43, winner=blue, r_win=10:12:28, win=41:31:88, time=130/17099
161: reward=0.00 vs 0.00, winner=draw, r_win=9:12:29, win=41:31:89, time=106/17205
162: reward=0.00 vs 0.00, winner=draw, r_win=9:12:29, win=41:31:90, time=54/17259
163: reward=0.00 vs 0.00, winner=draw, r_win=9:12:29, win=41:31:91, time=94/17353
164: reward=95.43 vs 0.00, winner=red, r_win=10:12:28, win=42:31:91, time=71/17424
165: reward=0.00 vs 0.00, winner=draw, r_win=9:12:29, win=42:31:92, time=130/17554
166: reward=2.08 vs 89.31, winner=blue, r_win=9:12:29, win=42:32:92, time=148/17702
167: reward=95.53 vs 0.00, winner=red, r_win=10:12:28, win=43:32:92, time=76/17778
168: reward=0.00 vs 0.00, winner=draw, r_win=10:12:28, win=43:32:93, time=73/17851
169: reward=0.00 vs 0.00, winner=draw, r_win=9:12:29, win=43:32:94, time=65/17916
170: reward=93.52 vs 0.00, winner=red, r_win=9:12:29, win=44:32:94, time=97/18014
171: reward=0.00 vs 0.00, winner=draw, r_win=9:12:29, win=44:32:95, time=89/18103
172: reward=1.00 vs 0.10, winner=draw, r_win=9:12:29, win=44:32:96, time=92/18195
173: reward=1.83 vs 92.02, winner=blue, r_win=9:13:28, win=44:33:96, time=121/18316
174: reward=93.44 vs 0.00, winner=red, r_win=10:12:28, win=45:33:96, time=98/18414
175: reward=1.00 vs 0.10, winner=draw, r_win=10:12:28, win=45:33:97, time=127/18541
176: reward=2.28 vs 89.60, winner=blue, r_win=10:13:27, win=45:34:97, time=143/18685
177: reward=1.50 vs 0.15, winner=draw, r_win=10:12:28, win=45:34:98, time=131/18816
178: reward=93.94 vs 0.10, winner=red, r_win=11:11:28, win=46:34:98, time=98/18914
179: reward=94.71 vs 0.00, winner=red, r_win=11:11:28, win=47:34:98, time=81/18995
180: reward=1.50 vs 0.15, winner=draw, r_win=11:11:28, win=47:34:99, time=148/19143
181: reward=94.81 vs 0.00, winner=red, r_win=12:11:27, win=48:34:99, time=86/19229
182: reward=1.00 vs 0.10, winner=draw, r_win=11:11:28, win=48:34:100, time=143/19372
183: reward=0.00 vs 0.00, winner=draw, r_win=11:11:28, win=48:34:101, time=77/19450
184: reward=95.21 vs 0.00, winner=red, r_win=12:11:27, win=49:34:101, time=81/19531
185: reward=0.00 vs 0.00, winner=draw, r_win=12:11:27, win=49:34:102, time=73/19604
186: reward=0.00 vs 0.00, winner=draw, r_win=12:10:28, win=49:34:103, time=116/19719
187: reward=94.65 vs 0.00, winner=red, r_win=13:9:28, win=50:34:103, time=88/19808
188: reward=95.93 vs 0.00, winner=red, r_win=14:9:27, win=51:34:103, time=71/19879
189: reward=1.50 vs 0.15, winner=draw, r_win=14:8:28, win=51:34:104, time=102/19980
190: reward=93.37 vs 0.00, winner=red, r_win=15:8:27, win=52:34:104, time=99/20080
191: reward=0.00 vs 0.00, winner=draw, r_win=15:8:27, win=52:34:105, time=99/20179
192: reward=0.00 vs 0.00, winner=draw, r_win=15:7:28, win=52:34:106, time=102/20281
193: reward=0.00 vs 0.00, winner=draw, r_win=15:7:28, win=52:34:107, time=117/20398
194: reward=0.00 vs 0.00, winner=draw, r_win=14:7:29, win=52:34:108, time=97/20495
195: reward=91.60 vs 0.10, winner=red, r_win=15:7:28, win=53:34:108, time=132/20627
196: reward=95.03 vs 0.00, winner=red, r_win=16:6:28, win=54:34:108, time=76/20704
197: reward=0.00 vs 0.00, winner=draw, r_win=16:6:28, win=54:34:109, time=107/20811
198: reward=0.00 vs 0.00, winner=draw, r_win=16:5:29, win=54:34:110, time=52/20863
199: reward=2.28 vs 85.76, winner=blue, r_win=16:6:28, win=54:35:110, time=205/21068
200: reward=94.95 vs 0.00, winner=red, r_win=16:6:28, win=55:35:110, time=77/21145
201: reward=2.45 vs 89.06, winner=blue, r_win=16:7:27, win=55:36:110, time=152/21297
202: reward=0.00 vs 0.00, winner=draw, r_win=16:7:27, win=55:36:111, time=70/21367
203: reward=93.94 vs 0.00, winner=red, r_win=17:7:26, win=56:36:111, time=98/21465
204: reward=0.00 vs 0.00, winner=draw, r_win=16:7:27, win=56:36:112, time=65/21531
205: reward=0.00 vs 0.00, winner=draw, r_win=16:6:28, win=56:36:113, time=110/21641
206: reward=94.34 vs 0.00, winner=red, r_win=17:6:27, win=57:36:113, time=93/21734
207: reward=0.00 vs 0.00, winner=draw, r_win=17:6:27, win=57:36:114, time=63/21797
208: reward=2.08 vs 89.65, winner=blue, r_win=17:7:26, win=57:37:114, time=158/21955
209: reward=95.85 vs 0.00, winner=red, r_win=17:7:26, win=58:37:114, time=72/22027
210: reward=0.00 vs 0.00, winner=draw, r_win=17:6:27, win=58:37:115, time=108/22135
211: reward=93.68 vs 0.00, winner=red, r_win=18:6:26, win=59:37:115, time=95/22230
212: reward=95.85 vs 0.00, winner=red, r_win=19:6:25, win=60:37:115, time=72/22302
213: reward=94.41 vs 0.00, winner=red, r_win=20:6:24, win=61:37:115, time=92/22394
214: reward=0.00 vs 0.00, winner=draw, r_win=19:6:25, win=61:37:116, time=64/22458
215: reward=1.00 vs 0.10, winner=draw, r_win=19:6:25, win=61:37:117, time=146/22603
216: reward=92.98 vs 0.00, winner=red, r_win=20:5:25, win=62:37:117, time=105/22708
217: reward=91.49 vs 0.15, winner=red, r_win=20:5:25, win=63:37:117, time=139/22847
218: reward=95.60 vs 0.00, winner=red, r_win=21:5:24, win=64:37:117, time=69/22916
219: reward=1.00 vs 0.10, winner=draw, r_win=21:5:24, win=64:37:118, time=124/23039
220: reward=93.06 vs 0.00, winner=red, r_win=21:5:24, win=65:37:118, time=104/23143
221: reward=94.55 vs 0.00, winner=red, r_win=22:5:23, win=66:37:118, time=83/23226
222: reward=0.00 vs 0.00, winner=draw, r_win=22:5:23, win=66:37:119, time=82/23308
223: reward=1.50 vs 89.52, winner=blue, r_win=22:5:23, win=66:38:119, time=159/23467
224: reward=93.44 vs 0.00, winner=red, r_win=22:5:23, win=67:38:119, time=98/23565
225: reward=0.00 vs 0.00, winner=draw, r_win=22:5:23, win=67:38:120, time=72/23637
226: reward=0.00 vs 0.00, winner=draw, r_win=22:4:24, win=67:38:121, time=97/23734
227: reward=93.94 vs 0.10, winner=red, r_win=23:4:23, win=68:38:121, time=98/23832
228: reward=95.53 vs 0.00, winner=red, r_win=23:4:23, win=69:38:121, time=76/23909
229: reward=0.00 vs 0.00, winner=draw, r_win=22:4:24, win=69:38:122, time=80/23988
230: reward=95.93 vs 0.00, winner=red, r_win=23:4:23, win=70:38:122, time=64/24053
231: reward=1.83 vs 91.33, winner=blue, r_win=22:5:23, win=70:39:122, time=117/24170
232: reward=0.00 vs 0.00, winner=draw, r_win=22:5:23, win=70:39:123, time=132/24302
233: reward=0.00 vs 0.00, winner=draw, r_win=22:5:23, win=70:39:124, time=100/24402
234: reward=95.19 vs 0.00, winner=red, r_win=22:5:23, win=71:39:124, time=74/24477
235: reward=94.31 vs 0.00, winner=red, r_win=23:5:22, win=72:39:124, time=86/24563
236: reward=0.00 vs 0.00, winner=draw, r_win=23:5:22, win=72:39:125, time=89/24652
237: reward=94.87 vs 0.00, winner=red, r_win=23:5:22, win=73:39:125, time=78/24731
238: reward=0.00 vs 0.00, winner=draw, r_win=22:5:23, win=73:39:126, time=104/24835
239: reward=92.83 vs 0.00, winner=red, r_win=23:5:22, win=74:39:126, time=107/24942
240: reward=92.12 vs 0.10, winner=red, r_win=23:5:22, win=75:39:126, time=125/25066
241: reward=92.57 vs 0.00, winner=red, r_win=24:5:21, win=76:39:126, time=118/25184
242: reward=0.00 vs 0.00, winner=draw, r_win=24:5:21, win=76:39:127, time=65/25250
243: reward=2.28 vs 88.48, winner=blue, r_win=24:6:20, win=76:40:127, time=161/25411
244: reward=0.00 vs 0.00, winner=draw, r_win=24:6:20, win=76:40:128, time=57/25468
245: reward=0.00 vs 0.00, winner=draw, r_win=23:6:21, win=76:40:129, time=63/25531
246: reward=0.00 vs 0.00, winner=draw, r_win=22:6:22, win=76:40:130, time=75/25606
247: reward=96.15 vs 0.00, winner=red, r_win=23:6:21, win=77:40:130, time=61/25668
248: reward=94.02 vs 0.00, winner=red, r_win=24:6:20, win=78:40:130, time=97/25765
249: reward=2.08 vs 90.16, winner=blue, r_win=24:6:20, win=78:41:130, time=135/25899
250: reward=2.08 vs 87.36, winner=blue, r_win=23:7:20, win=78:42:130, time=179/26078
251: reward=93.84 vs 0.00, winner=red, r_win=24:6:20, win=79:42:130, time=93/26171
252: reward=2.08 vs 89.96, winner=blue, r_win=24:7:19, win=79:43:130, time=138/26309
253: reward=95.03 vs 0.00, winner=red, r_win=24:7:19, win=80:43:130, time=76/26385
254: reward=95.13 vs 0.00, winner=red, r_win=25:7:18, win=81:43:130, time=82/26467
255: reward=95.69 vs 0.00, winner=red, r_win=26:7:17, win=82:43:130, time=74/26541
256: reward=1.50 vs 0.15, winner=draw, r_win=25:7:18, win=82:43:131, time=111/26652
257: reward=92.90 vs 0.00, winner=red, r_win=26:7:17, win=83:43:131, time=106/26758
258: reward=1.83 vs 90.12, winner=blue, r_win=26:7:17, win=83:44:131, time=150/26908
259: reward=1.83 vs 92.01, winner=blue, r_win=25:8:17, win=83:45:131, time=107/27015
260: reward=95.45 vs 0.00, winner=red, r_win=26:8:16, win=84:45:131, time=77/27093
261: reward=0.00 vs 0.00, winner=draw, r_win=25:8:17, win=84:45:132, time=102/27194
262: reward=0.00 vs 0.00, winner=draw, r_win=24:8:18, win=84:45:133, time=81/27275
263: reward=0.00 vs 0.00, winner=draw, r_win=23:8:19, win=84:45:134, time=65/27340
264: reward=1.00 vs 0.15, winner=draw, r_win=23:8:19, win=84:45:135, time=155/27496
265: reward=95.53 vs 0.00, winner=red, r_win=24:8:18, win=85:45:135, time=76/27572
266: reward=93.68 vs 0.00, winner=red, r_win=24:8:18, win=86:45:135, time=95/27667
267: reward=0.00 vs 0.00, winner=draw, r_win=23:8:19, win=86:45:136, time=75/27742
268: reward=0.00 vs 0.00, winner=draw, r_win=22:8:20, win=86:45:137, time=57/27800
269: reward=1.83 vs 92.25, winner=blue, r_win=22:9:19, win=86:46:137, time=118/27918
270: reward=1.50 vs 0.15, winner=draw, r_win=21:9:20, win=86:46:138, time=113/28030
271: reward=2.08 vs 91.45, winner=blue, r_win=20:10:20, win=86:47:138, time=130/28161
272: reward=1.00 vs 0.00, winner=draw, r_win=20:10:20, win=86:47:139, time=81/28241
273: reward=2.93 vs 75.39, winner=blue, r_win=20:10:20, win=86:48:139, time=414/28655
274: reward=92.42 vs 0.00, winner=red, r_win=20:10:20, win=87:48:139, time=120/28775
275: reward=0.00 vs 0.00, winner=draw, r_win=20:10:20, win=87:48:140, time=98/28873
276: reward=94.34 vs 0.00, winner=red, r_win=21:10:19, win=88:48:140, time=93/28966
277: reward=95.21 vs 0.00, winner=red, r_win=21:10:19, win=89:48:140, time=81/29047
278: reward=93.44 vs 0.00, winner=red, r_win=21:10:19, win=90:48:140, time=98/29145
279: reward=2.08 vs 87.66, winner=blue, r_win=21:11:18, win=90:49:140, time=190/29335
280: reward=95.03 vs 0.00, winner=red, r_win=21:11:18, win=91:49:140, time=76/29411
281: reward=95.05 vs 0.00, winner=red, r_win=22:10:18, win=92:49:140, time=83/29494
282: reward=95.61 vs 0.00, winner=red, r_win=23:10:17, win=93:49:140, time=75/29569
283: reward=91.89 vs 0.00, winner=red, r_win=24:10:16, win=94:49:140, time=128/29697
284: reward=1.50 vs 0.15, winner=draw, r_win=23:10:17, win=94:49:141, time=158/29855
285: reward=1.50 vs 89.92, winner=blue, r_win=22:11:17, win=94:50:141, time=138/29993
286: reward=93.17 vs 0.00, winner=red, r_win=23:11:16, win=95:50:141, time=109/30102
287: reward=0.00 vs 0.00, winner=draw, r_win=22:11:17, win=95:50:142, time=54/30156
288: reward=1.83 vs 90.73, winner=blue, r_win=22:12:16, win=95:51:142, time=126/30282
289: reward=2.28 vs 90.03, winner=blue, r_win=21:13:16, win=95:52:142, time=137/30419
290: reward=95.19 vs 0.00, winner=red, r_win=21:13:16, win=96:52:142, time=74/30493
291: reward=0.00 vs 0.00, winner=draw, r_win=20:13:17, win=96:52:143, time=111/30605
292: reward=0.00 vs 0.00, winner=draw, r_win=20:13:17, win=96:52:144, time=54/30659
293: reward=0.00 vs 0.00, winner=draw, r_win=20:12:18, win=96:52:145, time=68/30726
294: reward=96.00 vs 0.00, winner=red, r_win=21:12:17, win=97:52:145, time=63/30789
295: reward=96.23 vs 0.00, winner=red, r_win=22:12:16, win=98:52:145, time=60/30850
296: reward=0.00 vs 0.00, winner=draw, r_win=22:12:16, win=98:52:146, time=60/30910
297: reward=2.28 vs 88.69, winner=blue, r_win=21:13:16, win=98:53:146, time=158/31068
298: reward=0.00 vs 0.00, winner=draw, r_win=20:13:17, win=98:53:147, time=85/31153
299: reward=1.50 vs 89.77, winner=blue, r_win=20:13:17, win=98:54:147, time=155/31308
300: reward=0.00 vs 0.00, winner=draw, r_win=20:12:18, win=98:54:148, time=98/31406
