165: reward=-1.70 vs 98.15, reward_evade=2.00 vs 18.00, win=18 vs 109, recent_win=5 vs 31, draw=38, winner=blue, time=322/96624
166: reward=87.42 vs 8.00, reward_evade=1.00 vs 8.00, win=19 vs 109, recent_win=6 vs 30, draw=38, winner=red, time=192/96815
167: reward=-1.10 vs 97.69, reward_evade=1.00 vs 12.00, win=19 vs 110, recent_win=6 vs 31, draw=38, winner=blue, time=219/97035
168: reward=-0.10 vs 11.00, reward_evade=1.00 vs 11.00, win=19 vs 110, recent_win=5 vs 31, draw=39, winner=draw, time=241/97276
169: reward=0.50 vs 100.18, reward_evade=3.00 vs 26.00, win=19 vs 111, recent_win=4 vs 32, draw=39, winner=blue, time=454/97730
170: reward=-1.10 vs 97.32, reward_evade=1.00 vs 22.00, win=19 vs 112, recent_win=4 vs 32, draw=39, winner=blue, time=428/98157
171: reward=0.40 vs 97.84, reward_evade=2.00 vs 17.00, win=19 vs 113, recent_win=4 vs 32, draw=39, winner=blue, time=306/98463
172: reward=-1.30 vs 98.28, reward_evade=2.00 vs 15.00, win=19 vs 114, recent_win=4 vs 32, draw=39, winner=blue, time=263/98725
173: reward=-1.60 vs 98.99, reward_evade=2.00 vs 18.00, win=19 vs 115, recent_win=4 vs 32, draw=39, winner=blue, time=307/99032
174: reward=-0.40 vs 14.00, reward_evade=2.00 vs 14.00, win=19 vs 115, recent_win=4 vs 32, draw=40, winner=draw, time=277/99309
175: reward=-1.30 vs 98.08, reward_evade=2.00 vs 14.00, win=19 vs 116, recent_win=4 vs 33, draw=40, winner=blue, time=248/99556
176: reward=-1.20 vs 97.20, reward_evade=2.00 vs 13.00, win=19 vs 117, recent_win=4 vs 33, draw=40, winner=blue, time=246/99802
177: reward=-1.20 vs 98.06, reward_evade=2.00 vs 13.00, win=19 vs 118, recent_win=4 vs 33, draw=40, winner=blue, time=230/100032
178: reward=-0.40 vs 14.00, reward_evade=2.00 vs 14.00, win=19 vs 118, recent_win=3 vs 33, draw=41, winner=draw, time=282/100314
179: reward=-0.10 vs 11.00, reward_evade=2.00 vs 11.00, win=19 vs 118, recent_win=3 vs 32, draw=42, winner=draw, time=227/100541
180: reward=-1.20 vs 98.12, reward_evade=2.00 vs 13.00, win=19 vs 119, recent_win=3 vs 33, draw=42, winner=blue, time=229/100770
181: reward=-1.40 vs 98.33, reward_evade=2.00 vs 15.00, win=19 vs 120, recent_win=3 vs 33, draw=42, winner=blue, time=262/101032
182: reward=-1.70 vs 112.02, reward_evade=3.00 vs 48.00, win=19 vs 121, recent_win=2 vs 34, draw=42, winner=blue, time=794/101825
183: reward=-1.10 vs 12.00, reward_evade=3.00 vs 11.00, win=19 vs 121, recent_win=2 vs 34, draw=43, winner=draw, time=338/102163
184: reward=0.00 vs 10.00, reward_evade=3.00 vs 10.00, win=19 vs 121, recent_win=2 vs 33, draw=44, winner=draw, time=206/102369
185: reward=-1.00 vs 98.32, reward_evade=3.00 vs 11.00, win=19 vs 122, recent_win=2 vs 33, draw=44, winner=blue, time=192/102561
186: reward=-1.50 vs 98.85, reward_evade=3.00 vs 16.00, win=19 vs 123, recent_win=1 vs 34, draw=44, winner=blue, time=271/102832
187: reward=-1.20 vs 98.06, reward_evade=3.00 vs 13.00, win=19 vs 124, recent_win=1 vs 35, draw=44, winner=blue, time=230/103062
188: reward=-1.00 vs 97.40, reward_evade=3.00 vs 11.00, win=19 vs 125, recent_win=1 vs 35, draw=44, winner=blue, time=207/103269
189: reward=-1.20 vs 97.94, reward_evade=3.00 vs 13.00, win=19 vs 126, recent_win=1 vs 35, draw=44, winner=blue, time=232/103502
190: reward=83.84 vs 12.00, reward_evade=1.00 vs 12.00, win=20 vs 126, recent_win=2 vs 34, draw=44, winner=red, time=247/103748
191: reward=-1.30 vs 99.25, reward_evade=1.00 vs 24.00, win=20 vs 127, recent_win=2 vs 34, draw=44, winner=blue, time=432/104180
192: reward=-3.20 vs 108.48, reward_evade=1.00 vs 43.00, win=20 vs 128, recent_win=2 vs 34, draw=44, winner=blue, time=740/104920
