135: reward=1.23 vs 90.90, winner=blue, r_win=5:27:18, win=10:75:50, time=160/16122
136: reward=1.75 vs 91.72, winner=blue, r_win=5:27:18, win=10:76:50, time=148/16269
137: reward=1.71 vs 92.79, winner=blue, r_win=4:28:18, win=10:77:50, time=129/16399
138: reward=1.23 vs 91.40, winner=blue, r_win=4:28:18, win=10:78:50, time=152/16551
139: reward=1.15 vs 1.60, winner=draw, r_win=4:28:18, win=10:78:51, time=96/16647
140: reward=1.18 vs 2.18, winner=draw, r_win=4:28:18, win=10:78:52, time=98/16745
141: reward=0.15 vs 1.50, winner=draw, r_win=4:27:19, win=10:78:53, time=76/16821
142: reward=1.71 vs 92.13, winner=blue, r_win=4:27:19, win=10:79:53, time=139/16960
143: reward=0.18 vs 1.83, winner=draw, r_win=4:27:19, win=10:79:54, time=103/17063
144: reward=1.75 vs 2.60, winner=draw, r_win=4:26:20, win=10:79:55, time=158/17221
145: reward=1.18 vs 94.06, winner=blue, r_win=4:26:20, win=10:80:55, time=107/17328
146: reward=0.18 vs 94.32, winner=blue, r_win=4:26:20, win=10:81:55, time=103/17431
147: reward=1.18 vs 1.93, winner=draw, r_win=4:25:21, win=10:81:56, time=93/17523
148: reward=0.21 vs 93.10, winner=blue, r_win=4:26:20, win=10:82:56, time=120/17644
149: reward=94.25 vs 1.60, winner=red, r_win=5:26:19, win=11:82:56, time=96/17740
150: reward=1.21 vs 2.18, winner=draw, r_win=5:26:19, win=11:82:57, time=100/17840
151: reward=1.71 vs 2.23, winner=draw, r_win=5:25:20, win=11:82:58, time=106/17946
152: reward=1.18 vs 2.18, winner=draw, r_win=5:25:20, win=11:82:59, time=141/18088
153: reward=1.18 vs 92.48, winner=blue, r_win=5:25:20, win=11:83:59, time=130/18218
154: reward=0.21 vs 2.08, winner=draw, r_win=5:25:20, win=11:83:60, time=102/18319
155: reward=1.18 vs 1.93, winner=draw, r_win=5:25:20, win=11:83:61, time=100/18420
156: reward=0.21 vs 93.58, winner=blue, r_win=5:25:20, win=11:84:61, time=117/18537
157: reward=1.18 vs 93.30, winner=blue, r_win=5:25:20, win=11:85:61, time=118/18655
158: reward=1.18 vs 1.93, winner=draw, r_win=5:24:21, win=11:85:62, time=144/18799
159: reward=1.73 vs 92.77, winner=blue, r_win=5:24:21, win=11:86:62, time=131/18931
160: reward=92.90 vs 1.00, winner=red, r_win=6:24:20, win=12:86:62, time=108/19039
161: reward=94.33 vs 0.00, winner=red, r_win=7:23:20, win=13:86:62, time=87/19126
162: reward=0.15 vs 1.50, winner=draw, r_win=7:23:20, win=13:86:63, time=71/19197
