177: reward=86.72 vs 0.00, recent_win=16 vs 33, winner=red, win=51 vs 123, draw=3, time=185/20121
178: reward=0.00 vs 90.39, recent_win=16 vs 33, winner=blue, win=51 vs 124, draw=3, time=128/20249
179: reward=0.00 vs 95.61, recent_win=16 vs 33, winner=blue, win=51 vs 125, draw=3, time=55/20304
180: reward=89.95 vs 0.00, recent_win=17 vs 32, winner=red, win=52 vs 125, draw=3, time=135/20439
181: reward=0.00 vs 92.84, recent_win=16 vs 33, winner=blue, win=52 vs 126, draw=3, time=93/20531
182: reward=88.02 vs 0.00, recent_win=17 vs 32, winner=red, win=53 vs 126, draw=3, time=164/20696
183: reward=0.00 vs 95.08, recent_win=17 vs 32, winner=blue, win=53 vs 127, draw=3, time=62/20758
184: reward=0.00 vs 95.08, recent_win=17 vs 32, winner=blue, win=53 vs 128, draw=3, time=62/20820
185: reward=87.95 vs 0.00, recent_win=18 vs 31, winner=red, win=54 vs 128, draw=3, time=165/20986
186: reward=0.00 vs 94.03, recent_win=18 vs 31, winner=blue, win=54 vs 129, draw=3, time=76/21062
187: reward=87.20 vs 0.00, recent_win=19 vs 30, winner=red, win=55 vs 129, draw=3, time=177/21239
188: reward=0.00 vs 90.77, recent_win=19 vs 30, winner=blue, win=55 vs 130, draw=3, time=122/21362
189: reward=88.66 vs 0.00, recent_win=20 vs 29, winner=red, win=56 vs 130, draw=3, time=154/21516
190: reward=0.00 vs 94.03, recent_win=19 vs 30, winner=blue, win=56 vs 131, draw=3, time=76/21593
191: reward=88.87 vs 0.00, recent_win=20 vs 29, winner=red, win=57 vs 131, draw=3, time=151/21744
192: reward=0.00 vs 93.15, recent_win=20 vs 29, winner=blue, win=57 vs 132, draw=3, time=88/21832
193: reward=87.40 vs 0.00, recent_win=20 vs 29, winner=red, win=58 vs 132, draw=3, time=174/22006
194: reward=0.00 vs 88.51, recent_win=20 vs 29, winner=blue, win=58 vs 133, draw=3, time=157/22163
195: reward=87.61 vs 0.00, recent_win=20 vs 29, winner=red, win=59 vs 133, draw=3, time=171/22334
196: reward=89.95 vs 0.00, recent_win=21 vs 28, winner=red, win=60 vs 133, draw=3, time=135/22468
197: reward=0.00 vs 94.52, recent_win=20 vs 29, winner=blue, win=60 vs 134, draw=3, time=70/22538
198: reward=89.59 vs 0.00, recent_win=21 vs 28, winner=red, win=61 vs 134, draw=3, time=140/22678
199: reward=88.94 vs 0.00, recent_win=22 vs 27, winner=red, win=62 vs 134, draw=3, time=150/22828
200: reward=0.00 vs 93.23, recent_win=22 vs 27, winner=blue, win=62 vs 135, draw=3, time=87/22915
201: reward=0.00 vs 89.59, recent_win=22 vs 27, winner=blue, win=62 vs 136, draw=3, time=140/23056
