139: reward=2.30 vs 97.28, reward_evade=3.00 vs 8.00, win=6 vs 71, recent_win=4 vs 25, draw=62, winner=blue, time=155/16332
140: reward=0.50 vs 97.05, reward_evade=1.00 vs 6.00, win=6 vs 72, recent_win=4 vs 26, draw=62, winner=blue, time=130/16462
141: reward=-0.50 vs 97.79, reward_evade=1.00 vs 6.00, win=6 vs 73, recent_win=4 vs 27, draw=62, winner=blue, time=119/16582
142: reward=1.50 vs 97.34, reward_evade=2.00 vs 6.00, win=6 vs 74, recent_win=4 vs 27, draw=62, winner=blue, time=126/16707
143: reward=3.20 vs 96.80, reward_evade=4.00 vs 9.00, win=6 vs 75, recent_win=4 vs 28, draw=62, winner=blue, time=177/16885
144: reward=1.40 vs 97.97, reward_evade=2.00 vs 7.00, win=6 vs 76, recent_win=4 vs 29, draw=62, winner=blue, time=131/17016
145: reward=6.00 vs 9.30, reward_evade=7.00 vs 10.00, win=6 vs 76, recent_win=4 vs 29, draw=63, winner=draw, time=208/17225
146: reward=1.60 vs 97.62, reward_evade=2.00 vs 6.00, win=6 vs 77, recent_win=4 vs 30, draw=63, winner=blue, time=120/17345
147: reward=5.00 vs 97.45, reward_evade=6.00 vs 11.00, win=6 vs 78, recent_win=4 vs 31, draw=63, winner=blue, time=196/17541
148: reward=0.40 vs 6.90, reward_evade=1.00 vs 6.00, win=6 vs 78, recent_win=4 vs 30, draw=64, winner=draw, time=143/17684
149: reward=-0.40 vs 5.00, reward_evade=1.00 vs 4.00, win=6 vs 78, recent_win=4 vs 30, draw=65, winner=draw, time=131/17816
150: reward=-0.40 vs 5.00, reward_evade=1.00 vs 4.00, win=6 vs 78, recent_win=3 vs 30, draw=66, winner=draw, time=96/17912
151: reward=-0.40 vs 97.19, reward_evade=1.00 vs 5.00, win=6 vs 79, recent_win=3 vs 30, draw=66, winner=blue, time=115/18027
152: reward=0.80 vs 2.00, reward_evade=1.00 vs 2.00, win=6 vs 79, recent_win=3 vs 29, draw=67, winner=draw, time=69/18095
