119: reward=5.60 vs 32.10, win=9 vs 83, recent_win=5 vs 30, draw=27, winner=blue, time=1010/81733
120: reward=5.85 vs 20.20, win=9 vs 84, recent_win=5 vs 31, draw=27, winner=blue, time=709/82442
121: reward=3.60 vs 12.70, win=9 vs 84, recent_win=5 vs 30, draw=28, winner=draw, time=429/82870
122: reward=0.70 vs 1.00, win=9 vs 84, recent_win=5 vs 29, draw=29, winner=draw, time=69/82939
123: reward=2.50 vs 13.60, win=9 vs 85, recent_win=4 vs 30, draw=29, winner=blue, time=393/83332
124: reward=2.75 vs 12.60, win=9 vs 86, recent_win=4 vs 30, draw=29, winner=blue, time=411/83742
125: reward=2.80 vs 12.60, win=9 vs 87, recent_win=4 vs 30, draw=29, winner=blue, time=427/84169
126: reward=8.10 vs 35.80, win=10 vs 87, recent_win=4 vs 30, draw=29, winner=red, time=1072/85241
127: reward=10.05 vs 38.60, win=10 vs 88, recent_win=4 vs 31, draw=29, winner=blue, time=1336/86577
128: reward=2.95 vs 10.60, win=10 vs 89, recent_win=4 vs 31, draw=29, winner=blue, time=403/86979
129: reward=6.80 vs 32.00, win=10 vs 90, recent_win=3 vs 32, draw=29, winner=blue, time=1112/88091
130: reward=13.15 vs 46.20, win=10 vs 90, recent_win=3 vs 31, draw=30, winner=draw, time=1800/89891
131: reward=1.80 vs 2.00, win=11 vs 90, recent_win=4 vs 30, draw=30, winner=red, time=98/89989
132: reward=11.60 vs 50.30, win=11 vs 91, recent_win=4 vs 30, draw=30, winner=blue, time=1713/91703
133: reward=10.35 vs 33.60, win=11 vs 92, recent_win=4 vs 30, draw=30, winner=blue, time=1233/92935
134: reward=13.55 vs 42.20, win=11 vs 92, recent_win=4 vs 29, draw=31, winner=draw, time=1800/94736
135: reward=11.90 vs 40.30, win=11 vs 93, recent_win=4 vs 29, draw=31, winner=blue, time=1603/96339
136: reward=7.70 vs 22.10, win=12 vs 93, recent_win=5 vs 28, draw=31, winner=red, time=945/97283
137: reward=9.60 vs 32.80, win=13 vs 93, recent_win=6 vs 27, draw=31, winner=red, time=1215/98498
138: reward=6.60 vs 13.20, win=13 vs 94, recent_win=6 vs 27, draw=31, winner=blue, time=708/99206
139: reward=0.80 vs 2.00, win=14 vs 94, recent_win=7 vs 27, draw=31, winner=red, time=94/99300
140: reward=3.70 vs 13.50, win=14 vs 95, recent_win=7 vs 28, draw=31, winner=blue, time=429/99729
141: reward=4.55 vs 24.30, win=14 vs 96, recent_win=7 vs 28, draw=31, winner=blue, time=774/100502
142: reward=13.50 vs 41.20, win=14 vs 96, recent_win=7 vs 28, draw=32, winner=draw, time=1800/102302
143: reward=-0.20 vs 4.00, win=14 vs 97, recent_win=7 vs 29, draw=32, winner=blue, time=97/102400
144: reward=4.90 vs 17.30, win=14 vs 98, recent_win=6 vs 30, draw=32, winner=blue, time=667/103066
145: reward=0.80 vs 2.00, win=15 vs 98, recent_win=7 vs 30, draw=32, winner=red, time=81/103147
146: reward=9.55 vs 32.80, win=15 vs 98, recent_win=7 vs 30, draw=33, winner=draw, time=1174/104321
147: reward=1.70 vs 2.80, win=15 vs 99, recent_win=7 vs 31, draw=33, winner=blue, time=136/104457
148: reward=11.00 vs 28.60, win=15 vs 100, recent_win=7 vs 32, draw=33, winner=blue, time=1185/105642
149: reward=3.20 vs 7.70, win=15 vs 100, recent_win=7 vs 32, draw=34, winner=draw, time=404/106046
150: reward=3.35 vs 3.70, win=16 vs 100, recent_win=8 vs 31, draw=34, winner=red, time=386/106431
151: reward=14.10 vs 37.20, win=16 vs 100, recent_win=8 vs 30, draw=35, winner=draw, time=1800/108232
152: reward=15.80 vs 46.90, win=16 vs 100, recent_win=8 vs 29, draw=36, winner=draw, time=1800/110032
153: reward=13.45 vs 43.20, win=16 vs 100, recent_win=8 vs 28, draw=37, winner=draw, time=1800/111832
154: reward=13.25 vs 44.20, win=16 vs 100, recent_win=8 vs 27, draw=38, winner=draw, time=1800/113632
155: reward=5.70 vs 14.30, win=16 vs 101, recent_win=8 vs 27, draw=38, winner=blue, time=686/114318
156: reward=17.05 vs 35.90, win=16 vs 101, recent_win=8 vs 26, draw=39, winner=draw, time=1800/116118
157: reward=0.80 vs 3.90, win=16 vs 102, recent_win=8 vs 27, draw=39, winner=blue, time=133/116251
158: reward=8.70 vs 11.10, win=17 vs 102, recent_win=9 vs 27, draw=39, winner=red, time=770/117021
159: reward=-0.20 vs 4.00, win=17 vs 103, recent_win=9 vs 27, draw=39, winner=blue, time=117/117138
160: reward=0.80 vs 2.90, win=17 vs 104, recent_win=9 vs 27, draw=39, winner=blue, time=107/117245
161: reward=4.20 vs 8.50, win=17 vs 105, recent_win=9 vs 28, draw=39, winner=blue, time=413/117658
162: reward=11.90 vs 40.40, win=17 vs 106, recent_win=9 vs 28, draw=39, winner=blue, time=1665/119323
163: reward=1.70 vs 3.80, win=17 vs 107, recent_win=9 vs 28, draw=39, winner=blue, time=136/119458
164: reward=10.10 vs 37.60, win=17 vs 108, recent_win=9 vs 28, draw=39, winner=blue, time=1354/120812
165: reward=6.40 vs 16.20, win=17 vs 109, recent_win=9 vs 29, draw=39, winner=blue, time=690/121502
166: reward=6.75 vs 29.00, win=17 vs 110, recent_win=9 vs 29, draw=39, winner=blue, time=1037/122538
167: reward=6.75 vs 11.20, win=17 vs 111, recent_win=9 vs 29, draw=39, winner=blue, time=658/123196
168: reward=13.05 vs 46.20, win=17 vs 111, recent_win=8 vs 29, draw=40, winner=draw, time=1800/124996
169: reward=1.90 vs 0.80, win=17 vs 112, recent_win=8 vs 29, draw=40, winner=blue, time=121/125118
170: reward=1.90 vs 0.80, win=17 vs 113, recent_win=8 vs 29, draw=40, winner=blue, time=111/125229
171: reward=11.00 vs 29.60, win=17 vs 114, recent_win=8 vs 30, draw=40, winner=blue, time=1179/126408
172: reward=-0.20 vs 4.00, win=17 vs 115, recent_win=8 vs 31, draw=40, winner=blue, time=97/126505
173: reward=8.30 vs 25.90, win=17 vs 116, recent_win=8 vs 31, draw=40, winner=blue, time=935/127440
174: reward=3.45 vs 6.60, win=17 vs 117, recent_win=8 vs 31, draw=40, winner=blue, time=347/127786
175: reward=6.90 vs 10.20, win=17 vs 118, recent_win=8 vs 31, draw=40, winner=blue, time=637/128423
176: reward=17.70 vs 28.90, win=17 vs 118, recent_win=7 vs 31, draw=41, winner=draw, time=1800/130223
177: reward=18.25 vs 24.90, win=17 vs 118, recent_win=7 vs 30, draw=42, winner=draw, time=1800/132023
178: reward=0.95 vs 24.90, win=18 vs 118, recent_win=8 vs 29, draw=42, winner=red, time=82/132105
179: reward=1.00 vs 24.90, win=19 vs 118, recent_win=9 vs 28, draw=42, winner=red, time=68/132172
180: reward=7.00 vs 9.20, win=19 vs 119, recent_win=9 vs 29, draw=42, winner=blue, time=602/132774
181: reward=14.00 vs 35.20, win=19 vs 119, recent_win=8 vs 29, draw=43, winner=draw, time=1800/134574
182: reward=3.35 vs 5.70, win=20 vs 119, recent_win=9 vs 28, draw=43, winner=red, time=324/134898
183: reward=16.55 vs 38.90, win=20 vs 119, recent_win=9 vs 27, draw=44, winner=draw, time=1800/136698
184: reward=14.00 vs 36.20, win=20 vs 119, recent_win=9 vs 27, draw=45, winner=draw, time=1800/138498
185: reward=6.65 vs 13.20, win=20 vs 120, recent_win=9 vs 27, draw=45, winner=blue, time=692/139190
186: reward=1.90 vs 0.80, win=20 vs 121, recent_win=8 vs 28, draw=45, winner=blue, time=96/139286
187: reward=0.70 vs 1.00, win=21 vs 121, recent_win=8 vs 28, draw=45, winner=red, time=74/139360
188: reward=16.05 vs 39.90, win=21 vs 121, recent_win=8 vs 27, draw=46, winner=draw, time=1800/141160
189: reward=9.70 vs 29.70, win=21 vs 122, recent_win=7 vs 28, draw=46, winner=blue, time=1330/142491
190: reward=17.40 vs 24.00, win=21 vs 123, recent_win=7 vs 28, draw=46, winner=blue, time=1740/144230
191: reward=1.80 vs 2.80, win=21 vs 124, recent_win=7 vs 28, draw=46, winner=blue, time=114/144344
192: reward=13.05 vs 25.50, win=22 vs 124, recent_win=8 vs 28, draw=46, winner=red, time=1486/145830
193: reward=12.05 vs 17.60, win=22 vs 125, recent_win=8 vs 28, draw=46, winner=blue, time=1146/146975
194: reward=16.60 vs 31.20, win=23 vs 125, recent_win=9 vs 27, draw=46, winner=red, time=1723/148699
195: reward=0.75 vs 2.90, win=23 vs 126, recent_win=8 vs 28, draw=46, winner=blue, time=111/148810
196: reward=17.45 vs 32.90, win=23 vs 126, recent_win=8 vs 28, draw=47, winner=draw, time=1800/150610
197: reward=16.95 vs 26.20, win=23 vs 126, recent_win=8 vs 27, draw=48, winner=draw, time=1709/152319
198: reward=14.40 vs 30.20, win=23 vs 126, recent_win=8 vs 26, draw=49, winner=draw, time=1800/154119
199: reward=12.05 vs 17.80, win=24 vs 126, recent_win=9 vs 26, draw=49, winner=red, time=1220/155340
200: reward=17.85 vs 27.90, win=24 vs 126, recent_win=8 vs 26, draw=50, winner=draw, time=1800/157140
201: reward=1.80 vs 1.80, win=24 vs 127, recent_win=8 vs 27, draw=50, winner=blue, time=99/157240
202: reward=12.65 vs 21.50, win=25 vs 127, recent_win=9 vs 27, draw=50, winner=red, time=1282/158522
203: reward=4.55 vs 4.50, win=25 vs 128, recent_win=9 vs 28, draw=50, winner=blue, time=428/158949
204: reward=13.00 vs 24.40, win=25 vs 129, recent_win=9 vs 29, draw=50, winner=blue, time=1472/160422
205: reward=4.55 vs 12.40, win=25 vs 130, recent_win=9 vs 29, draw=50, winner=blue, time=652/161073
206: reward=17.65 vs 28.90, win=25 vs 130, recent_win=9 vs 29, draw=51, winner=draw, time=1800/162873
207: reward=11.30 vs 16.70, win=25 vs 131, recent_win=9 vs 29, draw=51, winner=blue, time=1135/164008
208: reward=4.30 vs 7.50, win=25 vs 132, recent_win=8 vs 30, draw=51, winner=blue, time=389/164397
209: reward=18.05 vs 24.90, win=25 vs 132, recent_win=8 vs 29, draw=52, winner=draw, time=1800/166197
210: reward=8.80 vs 11.90, win=25 vs 133, recent_win=8 vs 29, draw=52, winner=blue, time=876/167073
211: reward=0.80 vs 11.90, win=26 vs 133, recent_win=9 vs 28, draw=52, winner=red, time=74/167147
212: reward=17.65 vs 24.90, win=26 vs 133, recent_win=9 vs 27, draw=53, winner=draw, time=1800/168947
213: reward=14.15 vs 25.30, win=26 vs 134, recent_win=9 vs 27, draw=53, winner=blue, time=1409/170355
214: reward=15.60 vs 22.20, win=27 vs 134, recent_win=10 vs 26, draw=53, winner=red, time=1549/171905
215: reward=3.60 vs 8.50, win=27 vs 135, recent_win=10 vs 26, draw=53, winner=blue, time=401/172305
216: reward=4.90 vs 15.30, win=27 vs 136, recent_win=10 vs 26, draw=53, winner=blue, time=672/172977
217: reward=17.85 vs 27.90, win=27 vs 136, recent_win=10 vs 25, draw=54, winner=draw, time=1800/174777
218: reward=9.20 vs 16.10, win=28 vs 136, recent_win=11 vs 25, draw=54, winner=red, time=855/175632
